,Ward Precinct ,JOHN R CONNOLLY,MARTY J WALSH,LEE BUCKLEY (WRITE-IN),DAVID JAMES WYATT (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,TWO OR MORE RACES,BIPOC,HISPANIC,ASIAN,OTHER
64,705.0,169.0,316.0,0.0,0.0,1.0,486.0,6.0,492.0,1363.0,2523.0,3051.0,0.798,0.042,0.008,0.036,0.202,0.113,0.054,0.061
65,706.0,150.0,253.0,0.0,0.0,1.0,404.0,1.0,405.0,1217.0,992.0,1409.0,0.652,0.099,0.0,0.036,0.348,0.241,0.084,0.129
66,707.0,87.0,312.0,0.0,0.0,1.0,400.0,2.0,402.0,1114.0,1267.0,2290.0,0.353,0.209,0.002,0.03,0.647,0.443,0.178,0.228
67,708.0,126.0,339.0,0.0,0.0,2.0,467.0,6.0,473.0,1064.0,1893.0,2874.0,0.516,0.113,0.007,0.017,0.484,0.174,0.175,0.171
68,709.0,130.0,317.0,0.0,0.0,1.0,448.0,0.0,448.0,1111.0,1052.0,1560.0,0.504,0.13,0.009,0.028,0.497,0.17,0.152,0.176
69,710.0,126.0,285.0,0.0,0.0,4.0,415.0,2.0,417.0,1344.0,1604.0,2650.0,0.274,0.369,0.006,0.055,0.726,0.275,0.01,0.285
70,801.0,192.0,160.0,0.0,0.0,0.0,352.0,8.0,360.0,1115.0,1998.0,2945.0,0.482,0.184,0.0,0.051,0.518,0.217,0.199,0.084
71,802.0,412.0,229.0,0.0,0.0,2.0,643.0,4.0,647.0,2364.0,3364.0,4515.0,0.536,0.17,0.003,0.025,0.464,0.196,0.133,0.132
72,803.0,143.0,172.0,0.0,0.0,2.0,317.0,6.0,323.0,1412.0,1729.0,2559.0,0.191,0.535,0.007,0.041,0.809,0.315,0.027,0.199
73,804.0,70.0,132.0,0.0,0.0,2.0,204.0,1.0,205.0,700.0,900.0,1382.0,0.146,0.58,0.002,0.053,0.854,0.356,0.015,0.205
74,805.0,120.0,324.0,0.0,0.0,4.0,448.0,10.0,458.0,1320.0,1112.0,1868.0,0.165,0.539,0.006,0.041,0.835,0.246,0.007,0.241
75,806.0,45.0,109.0,0.0,0.0,0.0,154.0,3.0,157.0,444.0,1372.0,2022.0,0.176,0.575,0.014,0.027,0.824,0.237,0.012,0.196
76,807.0,104.0,185.0,0.0,0.0,0.0,289.0,0.0,289.0,943.0,590.0,896.0,0.155,0.584,0.012,0.036,0.844,0.252,0.013,0.201
77,901.0,338.0,300.0,0.0,0.0,2.0,640.0,12.0,652.0,1813.0,2196.0,2806.0,0.653,0.038,0.01,0.073,0.347,0.163,0.163,0.064
78,902.0,516.0,184.0,0.0,0.0,0.0,700.0,6.0,706.0,2041.0,2177.0,2798.0,0.553,0.248,0.001,0.038,0.447,0.178,0.107,0.053
79,903.0,382.0,452.0,0.0,0.0,3.0,837.0,14.0,851.0,2962.0,3290.0,4714.0,0.402,0.325,0.001,0.046,0.598,0.339,0.059,0.167
80,904.0,166.0,243.0,0.0,0.0,1.0,410.0,5.0,415.0,2174.0,2874.0,4190.0,0.348,0.377,0.0,0.043,0.652,0.283,0.095,0.137
81,905.0,274.0,427.0,1.0,0.0,1.0,703.0,12.0,715.0,1992.0,3157.0,4305.0,0.388,0.392,0.001,0.029,0.612,0.16,0.11,0.08
82,1001.0,141.0,170.0,0.0,0.0,2.0,313.0,3.0,316.0,846.0,777.0,1053.0,0.461,0.272,0.002,0.044,0.539,0.252,0.131,0.091
83,1002.0,117.0,169.0,0.0,0.0,0.0,286.0,4.0,290.0,1061.0,1655.0,2182.0,0.584,0.181,0.004,0.028,0.416,0.157,0.15,0.053
84,1003.0,97.0,134.0,0.0,0.0,0.0,231.0,2.0,233.0,1005.0,1741.0,2288.0,0.646,0.11,0.005,0.019,0.354,0.085,0.188,0.032
85,1004.0,255.0,309.0,0.0,0.0,0.0,564.0,18.0,582.0,1667.0,1111.0,1580.0,0.44,0.19,0.0,0.04,0.56,0.173,0.238,0.092
86,1005.0,176.0,174.0,0.0,0.0,0.0,350.0,1.0,351.0,1229.0,2207.0,2988.0,0.542,0.195,0.004,0.029,0.458,0.152,0.148,0.082
87,1006.0,146.0,196.0,0.0,0.0,1.0,343.0,1.0,344.0,1199.0,1534.0,2507.0,0.335,0.309,0.001,0.041,0.665,0.413,0.059,0.255
88,1007.0,132.0,324.0,0.0,0.0,4.0,460.0,6.0,466.0,1751.0,1474.0,2306.0,0.383,0.272,0.0,0.038,0.618,0.44,0.04,0.267
89,1008.0,286.0,258.0,0.0,0.0,5.0,549.0,4.0,553.0,1703.0,2083.0,2943.0,0.577,0.142,0.007,0.03,0.423,0.2,0.133,0.111
90,1009.0,367.0,366.0,0.0,0.0,4.0,737.0,3.0,740.0,1950.0,1600.0,2344.0,0.546,0.149,0.006,0.03,0.455,0.296,0.098,0.173
91,1101.0,167.0,150.0,0.0,0.0,1.0,318.0,2.0,320.0,838.0,1414.0,1952.0,0.279,0.448,0.001,0.045,0.721,0.257,0.048,0.181
92,1102.0,210.0,305.0,0.0,1.0,8.0,524.0,7.0,531.0,1401.0,1536.0,2249.0,0.166,0.517,0.001,0.052,0.833,0.341,0.03,0.234
93,1103.0,151.0,222.0,0.0,0.0,1.0,374.0,2.0,376.0,1128.0,1063.0,1534.0,0.161,0.539,0.0,0.037,0.839,0.336,0.029,0.234
94,1104.0,218.0,420.0,0.0,0.0,4.0,642.0,9.0,651.0,1849.0,2269.0,3403.0,0.288,0.35,0.001,0.057,0.711,0.399,0.038,0.265
95,1105.0,201.0,310.0,0.0,0.0,2.0,513.0,10.0,523.0,1424.0,1324.0,1946.0,0.354,0.307,0.001,0.048,0.645,0.38,0.046,0.244
96,1106.0,182.0,291.0,0.0,0.0,2.0,475.0,4.0,479.0,1127.0,1395.0,1965.0,0.496,0.213,0.0,0.027,0.503,0.339,0.064,0.198
97,1107.0,320.0,354.0,0.0,0.0,6.0,680.0,4.0,684.0,1584.0,1756.0,2357.0,0.615,0.148,0.006,0.04,0.385,0.344,0.034,0.157
98,1108.0,289.0,315.0,0.0,0.0,4.0,608.0,1.0,609.0,1550.0,2236.0,3098.0,0.617,0.17,0.005,0.046,0.382,0.319,0.043,0.118
99,1109.0,196.0,281.0,0.0,0.0,1.0,478.0,3.0,481.0,936.0,925.0,1234.0,0.758,0.086,0.001,0.046,0.242,0.216,0.04,0.068
100,1110.0,231.0,311.0,0.0,0.0,2.0,544.0,3.0,547.0,1374.0,985.0,1335.0,0.73,0.091,0.004,0.055,0.269,0.282,0.033,0.087
101,1201.0,236.0,315.0,0.0,0.0,2.0,553.0,5.0,558.0,1602.0,1775.0,2723.0,0.083,0.701,0.004,0.057,0.918,0.235,0.023,0.134
102,1202.0,284.0,467.0,0.0,0.0,0.0,751.0,7.0,758.0,2126.0,2016.0,3011.0,0.123,0.739,0.0,0.031,0.876,0.247,0.01,0.096
103,1203.0,183.0,203.0,0.0,0.0,4.0,390.0,3.0,393.0,1039.0,753.0,1061.0,0.066,0.737,0.003,0.081,0.933,0.156,0.038,0.075
104,1204.0,147.0,195.0,0.0,0.0,1.0,343.0,4.0,347.0,1082.0,1204.0,2099.0,0.065,0.753,0.0,0.028,0.934,0.288,0.0,0.153
105,1205.0,122.0,177.0,0.0,0.0,0.0,299.0,6.0,305.0,784.0,608.0,909.0,0.082,0.731,0.002,0.075,0.919,0.195,0.028,0.083
106,1206.0,124.0,182.0,0.0,0.0,2.0,308.0,4.0,312.0,817.0,1043.0,1612.0,0.107,0.761,0.0,0.027,0.893,0.251,0.005,0.1
107,1207.0,318.0,471.0,0.0,0.0,4.0,793.0,8.0,801.0,2455.0,2666.0,4296.0,0.114,0.618,0.001,0.04,0.886,0.31,0.021,0.206
108,1208.0,90.0,141.0,0.0,0.0,2.0,233.0,3.0,236.0,780.0,860.0,1498.0,0.117,0.715,0.0,0.059,0.883,0.282,0.005,0.103
109,1209.0,159.0,194.0,0.0,0.0,3.0,356.0,11.0,367.0,953.0,1199.0,1890.0,0.107,0.699,0.0,0.036,0.893,0.277,0.013,0.145
110,1301.0,130.0,342.0,0.0,0.0,1.0,473.0,6.0,479.0,1357.0,1288.0,2417.0,0.116,0.631,0.005,0.032,0.884,0.325,0.023,0.193
111,1302.0,58.0,104.0,0.0,0.0,3.0,165.0,4.0,169.0,607.0,564.0,1048.0,0.123,0.614,0.001,0.031,0.877,0.33,0.025,0.206
112,1303.0,86.0,228.0,0.0,0.0,0.0,314.0,2.0,316.0,1347.0,1374.0,2649.0,0.379,0.136,0.013,0.008,0.621,0.211,0.303,0.162
113,1304.0,87.0,201.0,0.0,0.0,2.0,290.0,4.0,294.0,1005.0,1225.0,2074.0,0.133,0.541,0.004,0.027,0.867,0.329,0.017,0.277
114,1305.0,116.0,213.0,0.0,0.0,2.0,331.0,5.0,336.0,889.0,1149.0,1718.0,0.229,0.388,0.012,0.056,0.771,0.275,0.017,0.298
115,1306.0,159.0,387.0,0.0,0.0,3.0,549.0,10.0,559.0,1396.0,1326.0,1939.0,0.292,0.312,0.016,0.084,0.709,0.216,0.027,0.27
116,1307.0,121.0,468.0,0.0,0.0,3.0,592.0,4.0,596.0,1382.0,980.0,1496.0,0.54,0.064,0.002,0.034,0.459,0.098,0.244,0.116
117,1308.0,93.0,409.0,0.0,0.0,2.0,504.0,5.0,509.0,1199.0,1411.0,2167.0,0.547,0.045,0.0,0.042,0.453,0.071,0.275,0.091
118,1309.0,171.0,407.0,0.0,0.0,2.0,580.0,8.0,588.0,1304.0,1539.0,2365.0,0.412,0.172,0.005,0.057,0.588,0.129,0.172,0.182
119,1310.0,241.0,733.0,0.0,0.0,4.0,978.0,2.0,980.0,1650.0,1732.0,2819.0,0.503,0.113,0.004,0.02,0.497,0.098,0.276,0.083
120,1401.0,242.0,367.0,0.0,0.0,6.0,615.0,3.0,618.0,2329.0,2864.0,5344.0,0.085,0.596,0.027,0.041,0.915,0.293,0.013,0.235
121,1402.0,275.0,413.0,0.0,0.0,2.0,690.0,13.0,703.0,2391.0,2738.0,4401.0,0.089,0.778,0.011,0.015,0.911,0.247,0.007,0.101
122,1403.0,128.0,212.0,0.0,0.0,0.0,340.0,0.0,340.0,1228.0,1224.0,2156.0,0.079,0.663,0.0,0.036,0.921,0.255,0.018,0.201
123,1404.0,152.0,237.0,0.0,0.0,3.0,392.0,3.0,395.0,1404.0,1660.0,2613.0,0.086,0.694,0.002,0.02,0.914,0.253,0.016,0.18
124,1405.0,136.0,195.0,0.0,0.0,0.0,331.0,2.0,333.0,1063.0,1094.0,1884.0,0.065,0.862,0.0,0.033,0.935,0.116,0.018,0.022
125,1406.0,133.0,187.0,0.0,0.0,2.0,322.0,2.0,324.0,1018.0,1094.0,1815.0,0.078,0.726,0.0,0.028,0.922,0.216,0.009,0.159
126,1407.0,130.0,205.0,0.0,0.0,0.0,335.0,5.0,340.0,1186.0,1265.0,2147.0,0.086,0.852,0.027,0.008,0.914,0.276,0.0,0.026
127,1408.0,180.0,248.0,0.0,0.0,2.0,430.0,4.0,434.0,1091.0,1257.0,1950.0,0.084,0.857,0.002,0.032,0.917,0.243,0.013,0.012
128,1409.0,115.0,204.0,0.0,0.0,4.0,323.0,6.0,329.0,1333.0,1209.0,2040.0,0.091,0.846,0.026,0.01,0.909,0.275,0.001,0.027
129,1410.0,151.0,257.0,0.0,0.0,1.0,409.0,5.0,414.0,1264.0,2002.0,3151.0,0.16,0.755,0.001,0.03,0.84,0.255,0.018,0.036
130,1411.0,119.0,157.0,0.0,0.0,1.0,277.0,2.0,279.0,970.0,1405.0,2209.0,0.16,0.761,0.001,0.028,0.84,0.265,0.017,0.032
131,1412.0,93.0,156.0,0.0,0.0,0.0,249.0,1.0,250.0,722.0,706.0,1114.0,0.128,0.774,0.001,0.037,0.872,0.218,0.018,0.042
132,1413.0,141.0,181.0,0.0,0.0,2.0,324.0,4.0,328.0,988.0,1054.0,1680.0,0.049,0.822,0.0,0.053,0.951,0.125,0.019,0.057
133,1414.0,171.0,230.0,0.0,0.0,2.0,403.0,5.0,408.0,1138.0,1577.0,2555.0,0.072,0.881,0.0,0.028,0.928,0.217,0.014,0.005
134,1501.0,108.0,305.0,0.0,0.0,1.0,414.0,6.0,420.0,1525.0,1738.0,2920.0,0.12,0.493,0.004,0.046,0.88,0.202,0.023,0.315
135,1502.0,87.0,227.0,0.0,0.0,0.0,314.0,3.0,317.0,1013.0,947.0,1673.0,0.111,0.585,0.0,0.036,0.889,0.168,0.015,0.253
136,1503.0,56.0,144.0,0.0,0.0,0.0,200.0,4.0,204.0,651.0,754.0,1275.0,0.129,0.537,0.0,0.035,0.871,0.139,0.092,0.206
137,1504.0,187.0,412.0,0.0,0.0,1.0,600.0,4.0,604.0,1853.0,1909.0,3225.0,0.158,0.403,0.002,0.048,0.842,0.162,0.114,0.276
138,1505.0,117.0,234.0,0.0,0.0,2.0,353.0,3.0,356.0,1208.0,1115.0,2213.0,0.117,0.616,0.002,0.023,0.883,0.277,0.077,0.165
139,1506.0,74.0,252.0,0.0,0.0,0.0,326.0,5.0,331.0,766.0,923.0,1447.0,0.321,0.313,0.0,0.024,0.679,0.084,0.27,0.071
140,1507.0,87.0,234.0,0.0,0.0,1.0,322.0,2.0,324.0,1009.0,793.0,1542.0,0.119,0.571,0.001,0.014,0.881,0.224,0.09,0.205
141,1508.0,83.0,234.0,0.0,0.0,1.0,318.0,5.0,323.0,984.0,895.0,1659.0,0.151,0.554,0.002,0.031,0.849,0.252,0.138,0.123
142,1509.0,146.0,261.0,0.0,0.0,2.0,409.0,1.0,410.0,1080.0,1237.0,2260.0,0.135,0.535,0.001,0.019,0.865,0.195,0.148,0.161
143,1601.0,150.0,221.0,0.0,0.0,1.0,372.0,7.0,379.0,1096.0,1086.0,1614.0,0.279,0.358,0.0,0.034,0.721,0.071,0.269,0.059
144,1602.0,77.0,316.0,0.0,0.0,1.0,394.0,2.0,396.0,796.0,2767.0,4031.0,0.331,0.232,0.0,0.04,0.669,0.068,0.342,0.055
145,1603.0,159.0,346.0,0.0,0.0,3.0,508.0,2.0,510.0,1366.0,1200.0,1958.0,0.206,0.607,0.002,0.043,0.794,0.145,0.121,0.021
146,1604.0,121.0,376.0,0.0,0.0,2.0,499.0,3.0,502.0,1259.0,983.0,1361.0,0.336,0.299,0.002,0.047,0.663,0.09,0.26,0.056
147,1605.0,181.0,464.0,0.0,0.0,1.0,646.0,3.0,649.0,1389.0,1283.0,1826.0,0.317,0.27,0.001,0.045,0.683,0.081,0.309,0.058
148,1606.0,208.0,480.0,0.0,0.0,5.0,693.0,6.0,699.0,1779.0,1388.0,1867.0,0.387,0.336,0.003,0.049,0.613,0.082,0.183,0.042
149,1607.0,128.0,628.0,0.0,0.0,1.0,757.0,1.0,758.0,1226.0,1782.0,2365.0,0.379,0.328,0.004,0.049,0.621,0.099,0.189,0.051
150,1608.0,234.0,531.0,0.0,0.0,3.0,768.0,2.0,770.0,1347.0,835.0,1178.0,0.469,0.338,0.0,0.044,0.53,0.002,0.148,0.0
151,1609.0,171.0,782.0,0.0,0.0,3.0,956.0,4.0,960.0,1432.0,853.0,1154.0,0.926,0.042,0.0,0.011,0.074,0.024,0.019,0.002
