,Ward_Precinct,TITO JACKSON,MARTIN J WALSH,DONALD OSGOOD SR (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
36,407.0,85.0,164.0,0.0,0.0,249.0,2.0,251.0,1357.0,2233.0,2788.165912907619,0.604,0.088,0.005,0.211,0.05
37,408.0,90.0,171.0,0.0,0.0,261.0,2.0,263.0,1437.0,5345.0,6612.888529628171,0.612,0.068,0.002,0.227,0.032
38,409.0,55.0,66.0,0.0,0.0,121.0,0.0,121.0,1115.0,4307.0,5251.719514727965,0.576,0.16,0.002,0.146,0.073
39,410.0,34.0,27.0,0.0,0.0,61.0,0.0,61.0,781.0,5757.0,6966.732164177894,0.612,0.116,0.0,0.193,0.049
40,501.0,251.0,998.0,0.0,2.0,1251.0,15.0,1266.0,4518.0,5158.0,6621.14772157401,0.639,0.035,0.003,0.257,0.027
41,502.0,101.0,150.0,0.0,1.0,252.0,2.0,254.0,1456.0,3754.0,5406.741251410123,1.242,0.14300000000000002,0.007,0.433,0.048
42,503.0,111.0,232.0,0.0,5.0,348.0,5.0,353.0,1697.0,2276.0,2846.317644522628,0.909,0.009,0.0,0.043,0.007
43,504.0,116.0,248.0,0.0,4.0,368.0,2.0,370.0,2186.0,1776.0,2075.0647612953067,0.861,0.022,0.0,0.084,0.009
44,505.0,67.0,168.0,0.0,2.0,237.0,0.0,237.0,680.0,945.0,1185.5461633010036,0.916,0.011,0.0,0.031,0.007
45,506.0,110.0,239.0,0.0,2.0,351.0,13.0,364.0,1809.0,2196.0,2634.3985917500486,0.899,0.025,0.002,0.048,0.007
46,507.0,133.0,349.0,0.0,2.0,484.0,5.0,489.0,2122.0,2163.0,2595.619995845525,0.898,0.026,0.002,0.049,0.007
47,508.0,94.0,308.0,0.0,4.0,406.0,4.0,410.0,1909.0,2268.0,2737.136893482034,0.851,0.011,0.002,0.1,0.014
48,509.0,147.0,291.0,0.0,3.0,441.0,9.0,450.0,2663.0,3535.0,4272.465588448799,0.804,0.017,0.001,0.121,0.023
49,510.0,90.0,195.0,0.0,1.0,286.0,3.0,289.0,1967.0,4508.0,5585.40407522052,0.673,0.037,0.002,0.204,0.032
50,511.0,83.0,236.0,0.0,5.0,324.0,4.0,328.0,1167.0,1748.0,2112.9502223399186,0.888,0.017,0.0,0.059,0.008
51,601.0,235.0,712.0,0.0,10.0,957.0,17.0,974.0,5112.0,4928.0,6336.846192531551,0.736,0.09,0.0,0.087,0.041
52,602.0,77.0,285.0,0.0,3.0,365.0,11.0,376.0,1458.0,1738.0,2517.9377665886886,0.528,0.192,0.0,0.092,0.12
53,603.0,61.0,324.0,0.0,6.0,391.0,16.0,407.0,1989.0,1334.0,1450.7951132318676,0.844,0.003,0.0,0.114,0.033
54,604.0,92.0,371.0,0.0,8.0,471.0,12.0,483.0,1923.0,1986.0,2224.3073668437946,0.905,0.014,0.0,0.06,0.011
55,605.0,82.0,334.0,0.0,8.0,424.0,31.0,455.0,1736.0,1898.0,2175.0417809930946,0.913,0.011,0.0,0.052,0.007
56,606.0,60.0,448.0,10.0,0.0,518.0,27.0,545.0,1604.0,1637.0,1846.0813328489965,0.943,0.004,0.0,0.005,0.031
57,607.0,94.0,368.0,1.0,6.0,469.0,25.0,494.0,1751.0,2086.0,2400.144805424666,0.927,0.012,0.0,0.043,0.004
58,608.0,75.0,371.0,0.0,7.0,453.0,24.0,477.0,1565.0,1367.0,1565.1564181722413,0.982,0.007,0.0,0.003,0.004
59,609.0,71.0,366.0,0.0,12.0,449.0,46.0,495.0,1505.0,1907.0,2214.1298741700407,0.974,0.011,0.0,0.005,0.001
60,701.0,86.0,414.0,0.0,5.0,505.0,32.0,537.0,1324.0,1845.0,2085.07782948138,0.971,0.008,0.0,0.007,0.009
61,702.0,82.0,439.0,0.0,6.0,527.0,30.0,557.0,1737.0,1769.0,1935.3643513553484,0.939,0.015,0.0,0.023,0.018
62,703.0,98.0,520.0,0.0,17.0,635.0,34.0,669.0,2002.0,2670.0,2880.744716959417,0.937,0.021,0.0,0.031,0.011
63,704.0,64.0,330.0,0.0,13.0,407.0,19.0,426.0,1748.0,1635.0,2063.663356001882,0.774,0.116,0.0,0.049,0.057
64,705.0,92.0,279.0,1.0,8.0,380.0,17.0,397.0,1594.0,2587.0,3146.537973244643,0.8,0.067,0.0,0.081,0.041
