,Ward Precinct ,THOMAS M MENINO,MICHAEL F FLAHERTY,WILLIAM FEEGBEH (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
244,2204,184,198,0,0,382,2,384,1156,1109.0,1527.1759881118526,0.764,0.052,0.0,0.177,0.007
245,2205,126,97,0,0,223,3,226,953,1004.0,1401.6119998328131,0.751,0.03,0.0,0.154,0.047
246,2206,102,123,0,1,226,1,227,984,882.0,1138.1496392683034,0.709,0.01,0.0,0.228,0.036
247,2207,191,158,0,2,351,4,355,1477,1493.0,1840.0904284117987,0.786,0.037,0.002,0.131,0.035
248,2208,179,193,0,4,376,1,377,1394,2253.0,3051.7443854832486,0.805,0.041,0.0,0.145,0.005
249,2209,147,155,0,0,302,2,304,1392,1190.0,1524.9753262744878,0.875,0.019,0.0,0.098,0.001
250,2210,244,220,0,3,467,3,470,1664,1655.0,2258.58863723569,0.702,0.057,0.001,0.163,0.072
251,2211,168,142,0,1,311,5,316,1079,1730.0,2101.0222941101883,0.793,0.033,0.003,0.123,0.041
252,2212,192,171,0,2,365,7,372,1100,1604.0,2351.3839219401843,0.617,0.067,0.0,0.184,0.125
253,2213,144,134,0,1,279,0,279,911,958.0,1200.2651216628572,0.841,0.023,0.0,0.133,0.003
