,Ward Precinct ,THOMAS M MENINO,MICHAEL F FLAHERTY,WILLIAM FEEGBEH (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
48,509,207,260,0,2,469,1,470,2893,3501.0,4194.880541405345,0.84,0.018,0.001,0.113,0.01
49,510,156,129,0,1,286,0,286,2380,4924.0,5902.084359980943,0.744,0.029,0.001,0.189,0.019
50,511,185,194,0,3,382,0,382,1173,1674.0,2049.6251269208224,0.916,0.018,0.007,0.047,0.008
51,601,222,457,0,1,680,3,683,2533,3073.0,3984.837951821689,0.733,0.115,0.004,0.051,0.084
52,602,123,258,0,0,381,6,387,1171,1424.0,2147.96443624557,0.575,0.188,0.007,0.057,0.16
53,603,118,344,0,2,464,7,471,1430,1021.0,1204.5210063395582,0.925,0.001,0.001,0.052,0.0
54,604,165,372,0,2,539,2,541,1552,1603.0,1796.288081185333,0.935,0.01,0.0,0.041,0.008
55,605,137,397,0,5,539,5,544,1413,1571.0,1746.3181933167652,0.924,0.012,0.0,0.049,0.013
56,606,205,434,0,0,639,5,644,1362,1352.0,1480.5300952896089,0.971,0.005,0.0,0.013,0.011
57,607,158,420,0,2,580,7,587,1389,1738.0,1940.600394655232,0.94,0.009,0.001,0.038,0.009
58,608,153,488,0,3,644,6,650,1422,1199.0,1445.9572144480182,0.984,0.001,0.001,0.011,0.0
59,609,171,493,0,1,665,3,668,1374,1626.0,1832.43315852836,0.995,0.0,0.004,0.0,0.0
60,701,184,422,0,1,607,3,610,1262,1592.0,1893.4075276315457,0.98,0.002,0.001,0.012,0.002
61,702,201,489,0,3,693,2,695,1563,1454.0,1604.6316550943902,0.978,0.007,0.0,0.009,0.004
62,703,273,597,0,4,874,7,881,1871,2190.0,2425.838541735236,0.981,0.007,0.0,0.007,0.001
63,704,168,377,0,4,549,3,552,1598,1458.0,2029.481069147719,0.76,0.051,0.0,0.061,0.112
64,705,130,270,0,3,403,0,403,1238,2093.0,2757.880306776554,0.805,0.039,0.001,0.065,0.073
65,706,161,258,0,1,420,1,421,1296,946.0,1478.4146423732352,0.654,0.079,0.0,0.087,0.163
66,707,154,130,0,0,284,4,288,943,1246.0,2376.025412437458,0.349,0.276,0.002,0.208,0.15
67,708,111,201,0,2,314,3,317,926,1685.0,2526.9018073202774,0.58,0.112,0.0,0.198,0.096
68,709,168,163,0,0,331,2,333,1005,927.0,1367.2041397100572,0.576,0.117,0.0,0.175,0.112
69,710,246,81,0,0,327,3,330,1236,1169.0,2061.212957605532,0.229,0.32,0.007,0.071,0.334
70,801,156,64,0,1,221,1,222,911,1707.0,2591.856583822389,0.48,0.169,0.0,0.183,0.147
71,802,252,200,0,1,453,3,456,2045,3187.0,4495.220130484659,0.439,0.228,0.003,0.155,0.152
72,803,185,77,0,1,263,1,264,1131,1558.0,2285.696069134881,0.178,0.563,0.009,0.05,0.155
73,804,105,42,0,0,147,3,150,604,691.0,1114.2205908879444,0.128,0.583,0.011,0.042,0.176
74,805,255,87,0,1,343,4,347,1239,847.0,1470.1008139009991,0.107,0.547,0.005,0.034,0.265
75,806,100,29,0,0,129,5,134,446,1362.0,1955.6053701865883,0.173,0.577,0.01,0.04,0.162
76,807,171,81,0,0,252,3,255,901,554.0,809.9269487643014,0.146,0.62,0.006,0.025,0.163
77,901,284,181,0,2,467,6,473,1854,2178.0,2921.3259123631765,0.59,0.065,0.0,0.235,0.107
78,902,244,224,0,2,470,0,470,1937,2210.0,2829.733297344713,0.619,0.16,0.001,0.091,0.094
79,903,426,212,0,1,639,9,648,2777,2938.0,4513.065234171289,0.389,0.382,0.002,0.049,0.146
80,904,289,93,0,2,384,6,390,1868,1935.0,3137.85743598095,0.312,0.42,0.005,0.081,0.143
81,905,394,195,0,0,589,6,595,1823,2288.0,3321.505907121013,0.351,0.468,0.001,0.084,0.061
82,1001,139,88,0,0,227,0,227,845,650.0,877.7258229410415,0.416,0.279,0.007,0.107,0.143
83,1002,141,102,0,0,243,5,248,1098,1422.0,1919.597025891428,0.553,0.195,0.003,0.132,0.081
84,1003,111,106,0,1,218,3,221,1063,1629.0,2185.7516875532674,0.626,0.132,0.0,0.164,0.05
85,1004,350,135,0,1,486,7,493,1655,1241.0,1639.1742349664112,0.469,0.181,0.0,0.186,0.125
86,1005,139,156,0,0,295,9,304,1188,2323.0,2988.9434666708025,0.547,0.225,0.002,0.124,0.071
87,1006,161,100,0,3,264,3,267,1157,1500.0,2509.591515657937,0.337,0.428,0.003,0.044,0.156
88,1007,297,95,0,1,393,0,393,1610,1281.0,2239.7578255456115,0.423,0.317,0.001,0.025,0.188
89,1008,222,170,0,1,393,5,398,1660,2365.0,3005.8601430634108,0.638,0.16,0.009,0.095,0.073
90,1009,258,260,0,1,519,2,521,1807,1676.0,2340.1397333265586,0.643,0.148,0.01,0.055,0.112
91,1101,154,114,0,6,274,4,278,831,1277.0,1873.3910771596632,0.223,0.548,0.0,0.04,0.154
92,1102,272,128,0,3,403,2,405,1308,1272.0,2148.177706427165,0.143,0.587,0.001,0.033,0.186
93,1103,206,82,0,0,288,4,292,1081,878.0,1428.8889291430817,0.154,0.629,0.0,0.027,0.129
94,1104,295,150,0,3,448,6,454,1616,1867.0,3190.011335266928,0.266,0.397,0.0,0.043,0.257
95,1105,291,142,0,2,435,8,443,1485,1133.0,1813.4899155065364,0.348,0.35,0.0,0.046,0.214
96,1106,167,207,0,1,375,5,380,1103,1288.0,1810.076806912388,0.527,0.247,0.0,0.054,0.117
97,1107,235,252,0,8,495,7,502,1562,1653.0,2259.233375992058,0.607,0.208,0.003,0.042,0.107
98,1108,225,263,0,2,490,6,496,1501,1992.0,2925.104437831213,0.554,0.187,0.021,0.06,0.154
99,1109,164,227,0,1,392,1,393,978,796.0,1039.3434571785865,0.703,0.095,0.003,0.075,0.088
100,1110,189,219,0,2,410,6,416,1412,881.0,1192.0414679048963,0.66,0.132,0.004,0.066,0.107
101,1201,330,148,0,3,481,5,486,1485,1585.0,2559.8980765757915,0.074,0.711,0.004,0.022,0.127
102,1202,403,203,0,0,606,4,610,2013,1841.0,2734.788770130675,0.075,0.78,0.001,0.001,0.133
103,1203,210,89,0,0,299,0,299,916,716.0,1178.0016669676793,0.051,0.711,0.005,0.043,0.119
104,1204,179,86,0,0,265,4,269,985,914.0,1642.2909540322592,0.088,0.705,0.008,0.0,0.138
105,1205,201,75,0,0,276,3,279,754,567.0,899.64895792117,0.056,0.739,0.004,0.033,0.112
106,1206,178,64,0,1,243,4,247,755,900.0,1378.35102640512,0.078,0.762,0.003,0.001,0.128
107,1207,447,140,0,1,588,12,600,2242,2504.0,4248.028876634819,0.121,0.683,0.003,0.002,0.159
108,1208,124,62,0,0,186,0,186,733,759.0,1071.294581289121,0.075,0.837,0.0,0.0,0.087
109,1209,206,86,0,1,293,3,296,867,1080.0,1745.1033507116629,0.079,0.756,0.002,0.001,0.149
110,1301,294,91,0,0,385,3,388,1263,1108.0,2115.150024459506,0.078,0.654,0.006,0.022,0.201
111,1302,85,28,0,0,113,1,114,539,487.0,929.7902539374916,0.084,0.648,0.0,0.025,0.202
112,1303,190,97,0,0,287,0,287,1580,1349.0,2643.1367463006727,0.382,0.238,0.003,0.239,0.103
113,1304,176,65,0,0,241,1,242,948,1032.0,1709.1594525837056,0.138,0.604,0.001,0.03,0.199
114,1305,163,82,0,1,246,4,250,808,967.0,1466.4342399692905,0.289,0.405,0.002,0.044,0.229
115,1306,250,134,0,1,385,14,399,1260,1142.0,1838.897972040546,0.333,0.298,0.001,0.052,0.272
116,1307,166,251,0,1,418,3,421,1199,776.0,1278.503088925712,0.573,0.078,0.0,0.23,0.094
117,1308,192,154,0,1,347,0,347,1164,1057.0,1836.7584302402204,0.561,0.069,0.0,0.244,0.094
118,1309,212,198,0,0,410,1,411,1198,1229.0,2129.102566747254,0.419,0.197,0.001,0.156,0.193
119,1310,338,408,0,1,747,8,755,1600,1524.0,2506.516579133716,0.524,0.13,0.001,0.244,0.078
120,1401,346,88,0,0,434,1,435,1980,2482.0,4346.062530311858,0.075,0.617,0.034,0.014,0.248
121,1402,447,125,0,1,573,4,577,2171,2324.0,4344.635769766972,0.085,0.702,0.008,0.012,0.168
122,1403,244,62,0,0,306,1,307,1166,1197.0,2210.205694982784,0.043,0.711,0.002,0.025,0.198
123,1404,277,91,0,0,368,7,375,1346,1353.0,2560.409444940285,0.063,0.701,0.003,0.008,0.189
124,1405,179,64,0,0,243,2,245,970,937.0,1676.5711056829912,0.06,0.878,0.001,0.0,0.033
125,1406,212,74,0,2,288,1,289,931,1053.0,1866.5851148960232,0.051,0.749,0.003,0.02,0.154
126,1407,219,73,0,0,292,3,295,1122,1117.0,2117.3947024521226,0.115,0.667,0.013,0.017,0.172
127,1408,260,74,0,0,334,2,336,953,889.0,1625.9931801600392,0.062,0.909,0.002,0.002,0.019
128,1409,196,42,0,0,238,2,240,1133,1045.0,2003.4912271264104,0.115,0.664,0.014,0.016,0.177
129,1410,259,74,0,2,335,1,336,1182,1278.0,2888.267753830341,0.106,0.636,0.014,0.002,0.232
130,1411,139,40,0,1,180,1,181,852,888.0,2023.5750278454111,0.105,0.644,0.013,0.002,0.226
131,1412,130,49,0,0,179,0,179,668,494.0,1006.4636012348102,0.094,0.695,0.011,0.002,0.187
132,1413,196,63,0,0,259,0,259,938,903.0,1462.7359250672885,0.065,0.85,0.003,0.0,0.068
133,1414,238,74,0,1,313,6,319,1058,1211.0,2240.8953352642056,0.06,0.905,0.001,0.0,0.024
134,1501,233,101,0,0,334,5,339,1331,1462.0,2627.6617918812185,0.121,0.515,0.011,0.03,0.294
135,1502,193,42,0,1,236,4,240,895,818.0,1501.3277706754398,0.097,0.548,0.014,0.005,0.301
136,1503,116,45,0,1,162,2,164,584,638.0,1205.8775894081143,0.126,0.513,0.01,0.12,0.202
137,1504,281,121,0,3,405,2,407,1678,1677.0,3271.6818981014508,0.149,0.411,0.002,0.124,0.291
138,1505,190,74,0,1,265,3,268,1107,1155.0,2138.224086529938,0.09,0.604,0.001,0.044,0.237
139,1506,133,110,0,3,246,4,250,736,834.0,1402.669714956194,0.331,0.263,0.0,0.288,0.098
140,1507,165,71,0,0,236,2,238,897,784.0,1527.3251986440778,0.099,0.438,0.0,0.055,0.384
141,1508,174,59,0,0,233,1,234,867,910.0,1602.683059742183,0.14,0.583,0.001,0.123,0.127
142,1509,174,113,0,0,287,1,288,948,1173.0,2294.996655369492,0.123,0.459,0.0,0.147,0.251
143,1601,172,149,0,1,322,3,325,1038,1005.0,1502.9531148263934,0.301,0.306,0.008,0.23,0.126
144,1602,141,141,0,0,282,1,283,732,2567.0,3920.861109383932,0.376,0.15,0.0,0.354,0.078
