,WP,Ward,Precinct,AYANNA S PRESSLEY,MICHELLE WU,ANNISSA ESSAIBI GEORGE,MICHAEL F FLAHERTY,STEPHEN J MURPHY,ANDREA JOY CAMPBELL (WRITE-IN),JOVAN J LACET (WRITE-IN),JEAN-CLAUDE SANON (WRITE-IN),CHARLES CALVIN YANCEY (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,HISPANIC,BIPOC,TWO OR MORE RACES,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
70,801,801,801.0,80,73,57,69,46,0,0,0,0,4,329,159,122,1133,2533.0,3382.0,0.582,0.221,0.418,0.055,0.134,0.006,0.146,0.077
71,802,802,802.0,142,150,108,101,61,0,0,0,0,6,568,204,193,2432,3449.0,4464.0,0.509,0.14,0.491,0.059,0.183,0.009,0.159,0.081
72,803,803,803.0,89,57,37,49,37,1,0,0,1,1,272,216,122,1472,1801.0,2613.0,0.191,0.324,0.809,0.061,0.542,0.01,0.034,0.162
73,804,804,804.0,42,29,26,22,14,0,0,0,0,1,134,98,58,686,931.0,1420.0,0.177,0.401,0.823,0.068,0.541,0.005,0.024,0.186
74,805,805,805.0,103,67,67,79,37,0,0,0,0,16,369,195,141,1309,1300.0,2066.0,0.127,0.205,0.872,0.018,0.663,0.005,0.052,0.135
75,806,806,806.0,22,21,16,18,9,0,0,0,0,0,86,62,37,455,1422.0,2151.0,0.144,0.227,0.856,0.022,0.591,0.013,0.038,0.191
76,807,807,807.0,78,44,34,39,27,0,0,0,0,3,225,191,104,932,650.0,968.0,0.131,0.225,0.869,0.034,0.633,0.01,0.039,0.152
77,901,901,901.0,137,145,79,106,65,0,0,0,0,3,535,309,211,1813,2070.0,2777.0,0.564,0.22,0.436,0.032,0.072,0.005,0.19,0.135
78,902,902,902.0,154,156,87,93,88,0,0,0,0,4,582,242,206,1946,2194.0,2764.0,0.647,0.178,0.352,0.024,0.204,0.0,0.078,0.047
79,903,903,903.0,253,208,135,146,132,0,1,0,0,13,888,480,342,2965,3504.0,4905.0,0.378,0.301,0.622,0.02,0.348,0.0,0.066,0.189
80,904,904,904.0,110,71,42,70,54,0,0,0,0,1,348,288,159,2191,3000.0,4161.0,0.327,0.301,0.673,0.032,0.353,0.006,0.12,0.162
81,905,905,905.0,253,164,107,136,98,0,0,0,0,7,765,531,324,1991,3193.0,4111.0,0.388,0.172,0.612,0.028,0.368,0.012,0.135,0.068
82,1001,1001,1001.0,66,52,41,62,40,0,0,0,0,2,263,153,104,824,877.0,1165.0,0.468,0.311,0.532,0.033,0.239,0.002,0.125,0.132
83,1002,1002,1002.0,54,42,37,35,22,0,0,0,1,1,192,100,73,1064,1684.0,2235.0,0.548,0.221,0.452,0.027,0.16,0.005,0.171,0.089
84,1003,1003,1003.0,43,41,38,37,21,0,0,0,0,1,181,71,63,984,1669.0,2232.0,0.565,0.138,0.435,0.018,0.105,0.006,0.251,0.054
85,1004,1004,1004.0,152,126,61,104,92,0,0,0,0,8,543,265,202,1684,1258.0,1725.0,0.354,0.216,0.646,0.013,0.224,0.0,0.309,0.1
86,1005,1005,1005.0,80,63,63,55,27,0,0,0,0,2,290,98,97,1193,2274.0,2950.0,0.531,0.143,0.468,0.017,0.201,0.001,0.179,0.07
87,1006,1006,1006.0,85,67,49,38,24,0,0,0,0,1,264,132,99,1202,1734.0,2640.0,0.383,0.362,0.617,0.047,0.334,0.0,0.076,0.161
88,1007,1007,1007.0,73,55,29,52,35,0,0,0,0,2,246,122,92,1810,1762.0,2565.0,0.434,0.422,0.566,0.052,0.249,0.002,0.062,0.201
89,1008,1008,1008.0,187,168,121,146,101,0,0,0,0,12,735,297,258,1674,2213.0,2934.0,0.604,0.159,0.396,0.017,0.159,0.008,0.134,0.078
90,1009,1009,1009.0,169,137,140,72,45,0,0,0,0,0,563,197,190,1960,1818.0,2519.0,0.583,0.282,0.416,0.032,0.147,0.011,0.095,0.131
91,1101,1101,1101.0,109,84,63,38,23,0,0,0,0,4,321,211,133,864,1418.0,1892.0,0.35,0.259,0.65,0.053,0.439,0.0,0.052,0.106
92,1102,1102,1102.0,196,116,72,79,60,0,0,0,0,2,525,435,240,1476,1760.0,2460.0,0.183,0.318,0.817,0.065,0.525,0.011,0.021,0.193
93,1103,1103,1103.0,129,87,62,74,76,0,0,1,1,4,434,134,142,1183,1305.0,1828.0,0.173,0.281,0.826,0.06,0.54,0.005,0.02,0.198
94,1104,1104,1104.0,157,114,105,92,64,0,0,0,0,12,544,252,199,1899,2269.0,3204.0,0.331,0.408,0.669,0.078,0.348,0.0,0.027,0.216
95,1105,1105,1105.0,165,139,102,85,80,0,0,0,0,6,577,247,206,1440,1338.0,1882.0,0.394,0.386,0.606,0.071,0.292,0.0,0.03,0.213
96,1106,1106,1106.0,116,103,95,45,38,0,0,0,0,3,400,196,149,1179,1443.0,2012.0,0.52,0.343,0.48,0.056,0.18,0.0,0.035,0.208
97,1107,1107,1107.0,200,181,140,97,60,0,0,0,0,9,687,241,232,1566,1864.0,2492.0,0.578,0.294,0.422,0.051,0.179,0.002,0.044,0.147
98,1108,1108,1108.0,190,166,140,79,57,0,0,0,1,2,635,221,214,1523,2388.0,3292.0,0.59,0.227,0.41,0.038,0.244,0.002,0.043,0.083
99,1109,1109,1109.0,162,139,130,65,50,0,0,0,0,4,550,218,192,938,955.0,1263.0,0.763,0.126,0.238,0.039,0.103,0.001,0.043,0.052
100,1110,1110,1110.0,162,146,122,70,48,0,0,0,0,7,555,193,187,1346,1042.0,1405.0,0.691,0.174,0.31,0.038,0.149,0.001,0.044,0.077
101,1201,1201,1201.0,213,130,92,104,80,0,0,0,0,8,627,397,256,1631,2041.0,2933.0,0.076,0.292,0.924,0.071,0.657,0.04,0.013,0.144
102,1202,1202,1202.0,254,146,89,122,66,0,0,0,0,5,682,550,308,2159,2217.0,3537.0,0.141,0.278,0.859,0.068,0.661,0.0,0.003,0.127
103,1203,1203,1203.0,119,69,42,50,40,0,1,0,0,1,322,310,158,1062,923.0,1268.0,0.058,0.276,0.942,0.042,0.671,0.076,0.011,0.143
104,1204,1204,1204.0,122,65,41,49,31,0,0,0,0,1,309,295,151,1127,1161.0,1933.0,0.067,0.359,0.934,0.119,0.584,0.001,0.005,0.225
105,1205,1205,1205.0,106,69,41,50,44,0,0,0,0,6,316,312,157,780,730.0,1048.0,0.083,0.288,0.917,0.055,0.674,0.055,0.008,0.125
106,1206,1206,1206.0,112,62,44,60,37,0,0,0,1,2,318,250,142,855,1087.0,1746.0,0.119,0.299,0.881,0.076,0.647,0.0,0.004,0.155
107,1207,1207,1207.0,246,148,81,147,103,0,0,0,0,12,737,599,334,2490,3036.0,4860.0,0.16,0.305,0.84,0.11,0.558,0.003,0.005,0.164
108,1208,1208,1208.0,75,38,21,22,16,0,0,0,0,4,176,184,90,836,972.0,1579.0,0.149,0.317,0.851,0.09,0.681,0.0,0.0,0.08
109,1209,1209,1209.0,148,88,67,76,55,0,0,0,0,4,438,250,172,968,1341.0,2182.0,0.133,0.293,0.867,0.091,0.63,0.0,0.002,0.144
110,1301,1301,1301.0,133,100,67,94,75,0,0,0,0,10,479,173,163,1433,1429.0,2604.0,0.076,0.409,0.924,0.08,0.696,0.0,0.018,0.13
111,1302,1302,1302.0,38,29,23,24,18,0,0,0,0,0,132,68,50,627,648.0,1170.0,0.074,0.412,0.926,0.084,0.685,0.0,0.019,0.138
112,1303,1303,1303.0,82,50,43,64,47,0,0,0,0,3,289,139,107,1248,1413.0,2492.0,0.392,0.293,0.608,0.02,0.137,0.009,0.258,0.183
113,1304,1304,1304.0,86,56,51,43,29,0,0,0,0,2,267,169,109,1049,1455.0,2396.0,0.109,0.392,0.891,0.063,0.588,0.0,0.016,0.224
114,1305,1305,1305.0,72,50,47,41,17,0,0,0,0,0,227,145,93,956,1277.0,1929.0,0.257,0.295,0.742,0.057,0.43,0.002,0.06,0.193
115,1306,1306,1306.0,126,104,134,103,55,0,0,0,0,5,527,241,192,1412,1352.0,2047.0,0.365,0.212,0.635,0.07,0.368,0.004,0.103,0.09
116,1307,1307,1307.0,133,137,153,155,104,0,0,0,0,1,683,353,259,1431,1022.0,1298.0,0.625,0.092,0.374,0.063,0.078,0.001,0.196,0.037
117,1308,1308,1308.0,92,79,124,106,61,0,0,0,0,4,466,230,174,1222,1462.0,1906.0,0.563,0.087,0.437,0.077,0.075,0.001,0.249,0.034
118,1309,1309,1309.0,102,81,109,80,47,0,0,0,0,0,419,237,164,1298,1587.0,2268.0,0.436,0.157,0.563,0.075,0.243,0.002,0.168,0.075
119,1310,1310,1310.0,249,228,305,262,170,0,0,0,1,3,1218,598,454,1666,1784.0,2532.0,0.503,0.14,0.497,0.031,0.152,0.004,0.236,0.073
120,1401,1401,1401.0,197,117,72,112,64,0,0,0,0,5,567,485,263,2469,2699.0,4807.0,0.132,0.336,0.868,0.066,0.641,0.001,0.004,0.156
121,1402,1402,1402.0,273,115,77,121,96,0,10,0,2,-8,686,734,355,2489,2850.0,4859.0,0.119,0.337,0.881,0.038,0.718,0.004,0.007,0.114
122,1403,1403,1403.0,118,74,56,64,48,0,0,0,0,6,366,230,149,1273,1249.0,2220.0,0.085,0.352,0.915,0.082,0.651,0.0,0.014,0.168
123,1404,1404,1404.0,140,82,55,74,50,0,0,0,0,1,402,302,176,1487,1716.0,2872.0,0.146,0.323,0.854,0.075,0.701,0.0,0.002,0.077
124,1405,1405,1405.0,117,71,30,66,44,2,0,0,0,11,341,271,153,1092,1064.0,1979.0,0.082,0.158,0.918,0.024,0.861,0.0,0.008,0.025
125,1406,1406,1406.0,118,70,28,61,43,0,0,0,0,0,320,256,144,1060,1094.0,1896.0,0.073,0.351,0.927,0.052,0.658,0.0,0.017,0.2
126,1407,1407,1407.0,107,55,41,55,34,0,2,0,0,4,298,258,139,1180,1360.0,2402.0,0.117,0.36,0.883,0.01,0.744,0.009,0.007,0.112
127,1408,1408,1408.0,179,108,67,98,80,0,0,0,0,7,539,469,252,1104,1166.0,1807.0,0.049,0.161,0.951,0.053,0.852,0.0,0.001,0.045
128,1409,1409,1409.0,100,46,34,52,44,0,0,0,0,0,276,304,145,1410,1300.0,2286.0,0.116,0.353,0.884,0.013,0.747,0.009,0.007,0.107
129,1410,1410,1410.0,142,65,51,65,59,0,0,0,0,0,382,350,183,1304,2165.0,3587.0,0.103,0.247,0.897,0.051,0.792,0.003,0.013,0.039
130,1411,1411,1411.0,107,54,33,55,53,0,0,0,0,3,305,283,147,1010,1504.0,2483.0,0.097,0.245,0.903,0.054,0.795,0.003,0.012,0.04
131,1412,1412,1412.0,86,48,21,50,30,0,0,0,0,1,236,212,112,736,765.0,1258.0,0.104,0.223,0.896,0.043,0.804,0.002,0.012,0.034
132,1413,1413,1413.0,142,60,42,64,42,0,0,0,0,2,352,388,185,1038,1147.0,1861.0,0.108,0.162,0.891,0.022,0.835,0.0,0.011,0.023
133,1414,1414,1414.0,105,65,38,64,39,2,0,0,4,2,319,245,141,1166,1504.0,2479.0,0.035,0.155,0.965,0.048,0.875,0.0,0.002,0.04
134,1501,1501,1501.0,103,68,58,67,44,0,0,0,4,0,344,160,126,1515,1784.0,3042.0,0.125,0.286,0.875,0.06,0.577,0.003,0.026,0.208
135,1502,1502,1502.0,79,33,37,41,34,0,0,0,0,1,225,195,105,1022,891.0,1592.0,0.066,0.22,0.935,0.055,0.666,0.006,0.04,0.168
136,1503,1503,1503.0,30,18,25,23,20,0,0,0,0,0,116,56,43,690,693.0,1185.0,0.112,0.208,0.887,0.041,0.555,0.005,0.133,0.153
137,1504,1504,1504.0,114,88,65,93,55,0,0,1,1,2,419,229,162,1893,1930.0,3301.0,0.197,0.238,0.803,0.057,0.483,0.0,0.113,0.149
138,1505,1505,1505.0,112,53,43,54,39,0,0,0,0,3,304,280,146,1254,1326.0,2211.0,0.144,0.201,0.857,0.031,0.643,0.005,0.104,0.073
139,1506,1506,1506.0,63,57,54,95,69,0,0,0,0,6,344,228,143,750,915.0,1342.0,0.334,0.113,0.665,0.01,0.29,0.001,0.297,0.067
140,1507,1507,1507.0,83,59,61,43,31,0,0,0,0,1,278,142,105,1084,810.0,1505.0,0.103,0.179,0.898,0.043,0.62,0.003,0.126,0.106
141,1508,1508,1508.0,74,57,57,60,37,0,0,0,1,2,288,156,111,1000,1083.0,1674.0,0.197,0.191,0.803,0.021,0.551,0.005,0.164,0.062
142,1509,1509,1509.0,97,82,66,85,49,0,0,0,0,9,388,180,142,1068,1246.0,2156.0,0.149,0.178,0.851,0.03,0.527,0.002,0.196,0.096
143,1601,1601,1601.0,116,97,102,108,68,0,0,0,0,12,503,325,207,1149,1145.0,1643.0,0.293,0.13,0.707,0.022,0.311,0.002,0.293,0.079
144,1602,1602,1602.0,84,68,89,106,78,0,0,0,0,1,426,230,164,846,2887.0,4103.0,0.343,0.096,0.657,0.009,0.205,0.003,0.363,0.078
145,1603,1603,1603.0,175,106,138,138,67,0,0,0,0,8,632,400,258,1434,1181.0,1827.0,0.266,0.172,0.734,0.034,0.542,0.0,0.112,0.047
146,1604,1604,1604.0,112,88,97,126,58,0,0,0,1,8,490,282,193,1297,1093.0,1557.0,0.366,0.101,0.633,0.056,0.289,0.001,0.219,0.068
147,1605,1605,1605.0,136,110,106,138,117,0,0,0,0,3,610,218,207,1397,1390.0,1989.0,0.341,0.101,0.66,0.034,0.253,0.002,0.294,0.076
148,1606,1606,1606.0,158,109,126,136,72,0,0,0,1,10,612,336,237,1820,1556.0,2168.0,0.436,0.096,0.564,0.075,0.317,0.0,0.12,0.051
149,1607,1607,1607.0,118,101,174,211,172,5,1,0,0,1,783,421,301,1252,2035.0,2864.0,0.412,0.097,0.588,0.082,0.324,0.0,0.126,0.057
150,1608,1608,1608.0,193,158,194,207,123,1,0,0,0,8,884,448,333,1352,841.0,1093.0,0.622,0.081,0.378,0.032,0.244,0.0,0.088,0.013
151,1609,1609,1609.0,148,135,255,283,186,0,1,0,0,3,1011,669,420,1487,896.0,1164.0,0.904,0.007,0.096,0.013,0.026,0.0,0.052,0.002
152,1610,1610,1610.0,97,95,122,151,134,0,0,0,0,3,602,350,238,1309,1107.0,1365.0,0.824,0.017,0.177,0.019,0.07,0.0,0.081,0.005
153,1611,1611,1611.0,178,142,198,178,119,0,1,1,0,3,820,368,297,1409,1963.0,2550.0,0.648,0.073,0.352,0.03,0.224,0.0,0.085,0.012
154,1612,1612,1612.0,182,137,291,339,252,0,0,0,0,6,1207,749,489,1244,1789.0,2326.0,0.904,0.007,0.096,0.013,0.025,0.0,0.052,0.002
155,1701,1701,1701.0,121,76,46,63,49,0,2,0,0,1,358,306,166,1188,1408.0,2308.0,0.147,0.275,0.854,0.03,0.735,0.004,0.029,0.055
156,1702,1702,1702.0,102,57,49,56,31,0,0,0,0,3,298,266,141,804,1003.0,1576.0,0.172,0.211,0.828,0.023,0.632,0.006,0.11,0.056
157,1703,1703,1703.0,276,176,167,171,93,0,0,0,0,8,891,649,385,1783,1977.0,3129.0,0.182,0.235,0.818,0.024,0.657,0.004,0.078,0.056
158,1704,1704,1704.0,352,222,187,207,153,0,0,0,0,4,1125,811,484,1813,2487.0,3821.0,0.235,0.219,0.765,0.05,0.556,0.006,0.083,0.07
