,Ward_Precinct,MICHELLE WU,PAT PAYASO,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,DOMINGOS DAROSA,ALTHEA GARRISON,ANNISSA E GEORGE,WILLIAM A KING,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,HISPANIC,BIPOC,TWO OR MORE RACES,OTHER
33,404.0,362,37,202,271,42,98,167,38,7,1224,636,465,1797.0,1962.0,2195.0,0.729,0.164,0.0,0.083,0.098,0.271,0.015,0.009
34,405.0,228,16,166,182,13,62,124,22,7,820,552,343,1520.0,1847.0,2690.0,0.676,0.095,0.001,0.157,0.171,0.325,0.028,0.044
35,406.0,183,20,122,137,35,61,107,33,6,704,404,277,1327.0,1967.0,2689.0,0.624,0.106,0.006,0.176,0.169,0.376,0.02,0.068
36,407.0,176,18,106,148,36,62,117,26,0,689,315,251,1357.0,2233.0,2788.0,0.604,0.088,0.005,0.211,0.124,0.397,0.031,0.05
37,408.0,181,20,113,139,24,58,99,27,2,663,389,263,1437.0,5345.0,6613.0,0.612,0.068,0.002,0.227,0.102,0.388,0.04,0.032
38,409.0,63,12,34,63,20,30,36,11,1,270,214,121,1115.0,4307.0,5252.0,0.576,0.16,0.002,0.146,0.194,0.423,0.039,0.073
39,410.0,48,13,23,40,16,13,26,8,1,188,56,61,781.0,5757.0,6967.0,0.612,0.116,0.0,0.193,0.127,0.388,0.029,0.049
40,501.0,981,43,536,654,81,176,573,63,20,3127,1937,1266,4518.0,5158.0,6621.0,0.639,0.035,0.003,0.257,0.061,0.361,0.039,0.027
41,502.0,170,15,101,144,30,54,107,28,2,651,365,254,1456.0,3754.0,5407.0,1.242,0.143,0.007,0.433,0.147,0.376,0.06,0.048
42,503.0,299,13,173,208,29,67,185,21,5,1000,412,353,1697.0,2276.0,2846.0,0.909,0.009,0.0,0.043,0.061,0.092,0.033,0.007
43,504.0,292,22,175,219,37,84,202,34,5,1070,410,370,2186.0,1776.0,2075.0,0.861,0.022,0.0,0.084,0.06,0.139,0.024,0.009
44,505.0,196,11,106,129,22,39,91,15,5,614,334,237,680.0,945.0,1186.0,0.916,0.011,0.0,0.031,0.062,0.083,0.035,0.007
45,506.0,279,25,168,185,34,75,150,27,1,944,512,364,1809.0,2196.0,2634.0,0.899,0.025,0.002,0.048,0.062,0.101,0.019,0.007
46,507.0,362,37,207,261,54,102,210,46,4,1283,673,489,2122.0,2163.0,2596.0,0.898,0.026,0.002,0.049,0.062,0.102,0.018,0.007
47,508.0,313,18,164,234,29,79,168,29,11,1045,595,410,1909.0,2268.0,2737.0,0.851,0.011,0.002,0.1,0.104,0.149,0.023,0.014
48,509.0,365,44,219,267,55,81,227,37,4,1299,501,450,2663.0,3535.0,4272.0,0.804,0.017,0.001,0.121,0.1,0.196,0.033,0.023
49,510.0,201,27,119,145,42,80,127,42,5,788,368,289,1967.0,4508.0,5585.0,0.673,0.037,0.002,0.204,0.111,0.327,0.054,0.032
50,511.0,260,21,158,179,40,64,146,25,8,901,411,328,1167.0,1748.0,2113.0,0.888,0.017,0.0,0.059,0.061,0.112,0.029,0.008
51,601.0,652,53,564,510,87,156,443,68,8,2541,1355,974,5112.0,4928.0,6337.0,0.736,0.09,0.0,0.087,0.123,0.264,0.046,0.041
52,602.0,196,20,253,128,39,45,137,27,3,848,656,376,1458.0,1738.0,2518.0,0.528,0.192,0.0,0.092,0.257,0.472,0.068,0.12
53,603.0,232,20,312,165,19,52,172,35,6,1013,615,407,1989.0,1334.0,1451.0,0.844,0.003,0.0,0.114,0.053,0.156,0.007,0.033
54,604.0,256,22,356,183,31,45,199,20,12,1124,808,483,1923.0,1986.0,2224.0,0.905,0.014,0.0,0.06,0.039,0.096,0.011,0.011
55,605.0,238,28,332,177,28,61,195,25,1,1085,735,455,1736.0,1898.0,2175.0,0.913,0.011,0.0,0.052,0.044,0.087,0.017,0.007
56,606.0,291,19,457,148,16,37,187,15,12,1182,998,545,1604.0,1637.0,1846.0,0.943,0.004,0.0,0.005,0.053,0.057,0.017,0.031
57,607.0,213,30,369,163,20,43,190,18,8,1054,922,494,1751.0,2086.0,2400.0,0.927,0.012,0.0,0.043,0.035,0.073,0.014,0.004
58,608.0,264,20,388,143,21,31,200,13,9,1089,819,477,1565.0,1367.0,1565.0,0.982,0.007,0.0,0.003,0.02,0.019,0.004,0.004
59,609.0,198,20,400,99,16,23,152,17,6,931,1049,495,1505.0,1907.0,2214.0,0.974,0.011,0.0,0.005,0.014,0.025,0.009,0.001
60,701.0,218,22,428,157,14,36,234,25,8,1142,1006,537,1324.0,1845.0,2085.0,0.971,0.008,0.0,0.007,0.026,0.029,0.006,0.009
61,702.0,242,26,452,181,19,44,257,23,2,1246,982,557,1737.0,1769.0,1935.0,0.939,0.015,0.0,0.023,0.035,0.061,0.006,0.018
62,703.0,303,25,549,218,22,46,249,26,8,1446,1230,669,2002.0,2670.0,2881.0,0.937,0.021,0.0,0.031,0.026,0.063,0.0,0.011
63,704.0,194,23,324,141,22,44,154,25,3,930,774,426,1748.0,1635.0,2064.0,0.774,0.116,0.0,0.049,0.159,0.226,0.004,0.057
64,705.0,205,24,279,142,27,52,136,25,5,895,693,397,1594.0,2587.0,3147.0,0.8,0.067,0.0,0.081,0.121,0.2,0.011,0.041
65,706.0,178,20,216,123,41,40,142,30,6,796,672,367,1419.0,1038.0,1470.0,0.708,0.166,0.0,0.046,0.223,0.293,0.012,0.069
66,707.0,136,12,182,102,48,43,82,34,11,650,626,319,1223.0,1529.0,2411.0,0.408,0.26,0.0,0.157,0.368,0.592,0.068,0.107
67,708.0,163,18,190,124,36,49,194,20,3,797,599,349,1177.0,2012.0,2457.0,0.737,0.098,0.0,0.082,0.12,0.263,0.033,0.05
68,709.0,181,22,164,150,25,47,220,28,1,838,462,325,1182.0,1103.0,1358.0,0.711,0.12,0.001,0.087,0.116,0.289,0.037,0.045
69,710.0,99,20,114,110,121,53,98,31,2,648,468,279,1361.0,1775.0,2741.0,0.245,0.562,0.008,0.069,0.216,0.755,0.031,0.085
70,801.0,199,23,128,141,43,57,108,27,1,727,621,337,1268.0,2533.0,3382.0,0.582,0.134,0.006,0.146,0.221,0.418,0.055,0.077
71,802.0,379,29,264,296,52,111,213,49,20,1413,815,557,2781.0,3449.0,4464.0,0.509,0.183,0.009,0.159,0.14,0.491,0.059,0.081
72,803.0,112,15,84,137,31,79,56,24,8,546,490,259,1540.0,1801.0,2613.0,0.191,0.542,0.01,0.034,0.324,0.809,0.061,0.162
73,804.0,64,15,43,107,38,50,37,16,0,370,410,195,695.0,931.0,1420.0,0.177,0.541,0.005,0.024,0.401,0.823,0.068,0.186
74,805.0,122,22,75,152,149,66,79,26,6,697,783,370,1298.0,1300.0,2066.0,0.127,0.663,0.005,0.052,0.205,0.872,0.018,0.135
75,806.0,45,10,36,50,51,28,33,11,2,266,214,120,476.0,1422.0,2151.0,0.144,0.591,0.013,0.038,0.227,0.856,0.022,0.191
76,807.0,94,17,69,117,51,50,54,24,2,478,434,228,977.0,650.0,968.0,0.131,0.633,0.01,0.039,0.225,0.869,0.034,0.152
77,901.0,370,21,263,267,37,88,172,52,4,1274,1250,631,1894.0,2070.0,2777.0,0.564,0.072,0.005,0.19,0.22,0.436,0.032,0.135
78,902.0,400,43,244,304,45,120,221,37,9,1423,773,549,2220.0,2194.0,2764.0,0.647,0.204,0.0,0.078,0.178,0.352,0.024,0.047
