,Ward_Precinct,Unnamed: 0,Unnamed: 0.1,MICHELLE WU,PAT PAYASO,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,DOMINGOS DAROSA,ALTHEA GARRISON,ANNISSA E GEORGE,WILLIAM A KING,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,Turnout,Unnamed: 0.1.1,Precinct,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities  (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,Hispanic & Black Percentage,Black plurality (Y/N),Pressley percentage,Wu Percentage,Flaherty Percentage,Annissa Percentage,Latino plurality (Y/N),White plurality (Y/N),Asian plurality (Y/N),Year
20,206,20,20,494,50,575,357,38,103,283,49,6,1955,1485,860,2022,0.425321464,21,206,2278,2014,40,3,161,1,29,30,2278,1968,34,94,2,160,1,1,18,1.755926251,0.131694469,7.067603161,0.043898156,1.273046532,1.316944688,4.12642669,88.41088674,5.882352941,N,18.26086957,25.2685422,29.41176471,14.47570332,N,Y,N,2017
21,207,21,21,335,30,407,231,39,61,186,33,4,1326,958,571,1567,0.364390555,22,207,1359,1256,26,0,63,0,5,9,1359,1230,25,28,0,63,0,4,9,1.91317145,0,4.635761589,0,0.367917586,0.662251656,2.060338484,92.42089772,3.973509934,N,17.42081448,25.26395173,30.69381599,14.02714932,N,Y,N,2017
22,301,22,22,656,63,596,451,74,158,385,76,20,2479,1949,1107,3033,0.364985163,23,301,3998,3619,129,8,137,0,50,55,3998,3522,125,156,6,136,0,7,46,3.226613307,0.20010005,3.426713357,0,1.250625313,1.375687844,3.901950975,90.52026013,7.128564282,N,18.19281969,26.46228318,24.0419524,15.53045583,N,Y,N,2017
23,302,23,23,272,30,222,196,30,53,176,25,4,1008,844,463,1625,0.284923077,24,302,1866,1771,20,1,44,1,20,9,1866,1719,16,71,1,43,1,6,9,1.071811361,0.053590568,2.357984995,0.053590568,1.071811361,0.482315113,3.804930332,94.90889603,4.876741693,N,19.44444444,26.98412698,22.02380952,17.46031746,N,Y,N,2017
24,303,24,24,284,24,284,183,42,52,158,29,6,1062,950,503,1807,0.278361926,25,303,2362,2234,13,6,68,0,19,22,2362,2177,12,74,5,67,0,6,21,0.550381033,0.254022015,2.878916173,0,0.804403048,0.931414056,3.132938188,94.58086367,3.683319221,N,17.23163842,26.74199623,26.74199623,14.87758945,N,Y,N,2017
25,304,25,25,303,39,284,186,45,78,174,34,8,1151,1093,561,1786,0.314109742,26,304,1910,1823,14,6,37,2,9,19,1910,1766,14,69,5,37,2,4,13,0.732984293,0.314136126,1.937172775,0.104712042,0.471204188,0.994764398,3.612565445,95.44502618,4.345549738,N,16.15986099,26.32493484,24.67419635,15.11728931,N,Y,N,2017
26,305,26,26,495,61,339,342,85,131,280,66,5,1804,832,659,3073,0.214448422,27,305,4660,3353,541,4,640,0,49,73,4660,3006,536,404,4,637,0,9,64,11.60944206,0.08583691,13.73390558,0,1.051502146,1.566523605,8.669527897,71.9527897,20.27896996,N,18.9578714,27.43902439,18.79157428,15.5210643,N,Y,N,2017
27,306,27,27,569,60,371,420,59,148,353,84,11,2075,857,733,4266,0.171823722,28,306,5373,4484,246,11,455,3,79,95,5373,4291,226,284,10,454,3,18,87,4.578447795,0.20472734,8.468267262,0.055834729,1.470314536,1.768099758,5.285687698,83.45430858,9.864135492,N,20.24096386,27.42168675,17.87951807,17.01204819,N,Y,N,2017
28,307,28,28,943,71,598,682,88,228,499,64,23,3196,1700,1224,3810,0.321259843,29,307,3951,2911,233,10,629,0,96,72,3951,2788,210,262,7,627,0,9,48,5.897241205,0.253100481,15.92002025,0,2.429764617,1.822323462,6.631232599,73.67754999,12.5284738,N,21.33917397,29.50563204,18.71088861,15.61326658,N,Y,N,2017
29,308,29,29,964,57,480,637,78,160,554,72,36,3038,2186,1306,5709,0.228761604,30,308,7821,3585,377,4,3598,4,103,150,7821,3347,351,386,4,3594,3,15,121,4.820355453,0.051144355,46.00434727,0.051144355,1.31696714,1.91791331,4.935430252,45.83812812,9.755785705,N,20.96774194,31.73140224,15.79986833,18.23568137,N,N,Y,2017
30,401,30,30,553,20,319,397,36,90,303,44,4,1766,914,670,1784,0.375560538,31,401,2011,1736,70,4,129,0,35,37,2011,1667,64,102,4,129,0,18,27,3.480855296,0.198906017,6.414719045,0,1.740427648,1.839880656,5.072103431,86.32521134,8.552958727,N,22.4801812,31.31370328,18.06342016,17.15741789,N,Y,N,2017
31,402,31,31,501,38,290,397,53,150,248,54,11,1742,1050,698,3015,0.231509121,32,402,3532,2541,390,8,468,0,54,71,3532,2397,375,212,7,466,0,11,64,11.0419026,0.226500566,13.25028313,0,1.528878822,2.010192525,6.002265006,71.94224236,17.04416761,N,22.78989667,28.76004592,16.64753157,14.23650976,N,Y,N,2017
32,403,32,32,346,14,192,267,37,84,194,30,0,1164,536,425,1247,0.340817963,33,403,1337,985,211,2,81,0,27,31,1337,938,200,93,2,81,0,2,21,15.7816006,0.149588631,6.058339566,0,2.019446522,2.318623785,6.955871354,73.6724009,22.73747195,N,22.93814433,29.72508591,16.49484536,16.66666667,N,Y,N,2017
33,404,33,33,362,37,202,271,42,98,167,38,7,1224,636,465,1797,0.258764608,34,404,2256,1625,358,5,143,1,54,70,2256,1520,337,199,3,143,1,8,45,15.86879433,0.221631206,6.338652482,0.044326241,2.393617021,3.102836879,8.820921986,72.03014184,24.68971631,N,22.14052288,29.5751634,16.50326797,13.64379085,N,Y,N,2017
34,405,34,34,228,16,166,182,13,62,124,22,7,820,552,343,1520,0.225657895,35,405,2953,2098,294,5,448,1,47,60,2953,1947,282,215,5,445,1,7,51,9.955976973,0.169319336,15.17101253,0.033863867,1.591601761,2.031832035,7.28073146,71.0463935,17.23670843,N,22.19512195,27.80487805,20.24390244,15.12195122,N,Y,N,2017
35,406,35,35,183,20,122,137,35,61,107,33,6,704,404,277,1327,0.208741522,36,406,2498,1639,235,9,437,0,84,94,2498,1494,222,264,8,437,0,14,59,9.407526021,0.360288231,17.4939952,0,3.362690152,3.763010408,10.56845476,65.61248999,19.97598078,N,19.46022727,25.99431818,17.32954545,15.19886364,N,Y,N,2017
36,407,36,36,176,18,106,148,36,62,117,26,0,689,315,251,1357,0.184966839,37,407,4109,2808,291,10,745,2,114,139,4109,2631,276,329,6,742,2,12,111,7.082015089,0.243368216,18.1309321,0.048673643,2.774397664,3.382818204,8.00681431,68.33779508,15.0888294,N,21.48040639,25.54426705,15.38461538,16.98113208,N,Y,N,2017
37,408,37,37,181,20,113,139,24,58,99,27,2,663,389,263,1437,0.183020181,38,408,4521,3301,284,8,701,2,111,114,4521,3106,266,331,6,696,1,20,95,6.281796063,0.176952002,15.50541916,0.044238,2.455209025,2.521566025,7.321389073,73.01481973,13.60318514,N,20.9653092,27.30015083,17.04374057,14.9321267,N,Y,N,2017
38,409,38,38,63,12,34,63,20,30,36,11,1,270,214,121,1115,0.108520179,39,409,4347,3085,411,13,450,3,223,162,4347,2822,368,573,6,447,3,9,119,9.454796411,0.299056821,10.35196687,0.069013112,5.129974695,3.726708075,13.18150449,70.96848401,22.6363009,N,23.33333333,23.33333333,12.59259259,13.33333333,N,Y,N,2017
39,410,39,39,48,13,23,40,16,13,26,8,1,188,56,61,781,0.078104994,40,410,5545,4247,359,6,601,5,155,172,5545,4098,328,350,3,592,4,19,151,6.474301172,0.108205591,10.83859333,0.090171326,2.795311091,3.101893598,6.311992786,76.5915239,12.78629396,N,21.27659574,25.53191489,12.23404255,13.82978723,N,Y,N,2017
40,501,40,40,981,43,536,654,81,176,573,63,20,3127,1937,1266,4518,0.280212483,41,501,6467,4012,300,8,1921,1,103,122,6467,3858,277,288,7,1920,1,18,98,4.638936137,0.123704964,29.7046544,0.01546312,1.592701407,1.886500696,4.453378692,62.03803928,9.092314829,N,20.91461465,31.37192197,17.14102974,18.32427247,N,Y,N,2017
41,502,41,41,170,15,101,144,30,54,107,28,2,651,365,254,1456,0.174450549,42,502,4207,3131,194,8,606,2,130,136,4207,2904,178,401,5,601,2,11,105,4.611362016,0.190159258,14.40456382,0.047539815,3.090087949,3.232707392,9.531732826,74.42357975,14.14309484,N,22.11981567,26.11367127,15.51459293,16.43625192,N,Y,N,2017
42,503,42,42,299,13,173,208,29,67,185,21,5,1000,412,353,1697,0.208014143,43,503,1873,1744,20,0,92,0,8,9,1873,1695,17,58,0,92,0,3,8,1.067805659,0,4.911906033,0,0.427122264,0.480512547,3.096636412,93.1126535,4.164442072,N,20.8,29.9,17.3,18.5,N,Y,N,2017
43,504,43,43,292,22,175,219,37,84,202,34,5,1070,410,370,2186,0.16925892,44,504,2702,2405,70,2,153,1,29,42,2702,2324,68,106,2,152,1,12,37,2.590673575,0.074019245,5.662472243,0.037009623,1.073279053,1.554404145,3.923019985,89.00814212,6.51369356,N,20.46728972,27.28971963,16.35514019,18.87850467,N,Y,N,2017
44,505,44,44,196,11,106,129,22,39,91,15,5,614,334,237,680,0.348529412,45,505,677,636,4,1,21,0,1,14,677,624,4,17,1,21,0,1,9,0.59084195,0.147710487,3.101920236,0,0.147710487,2.067946824,2.511078287,93.94387001,3.101920236,N,21.00977199,31.9218241,17.26384365,14.82084691,N,Y,N,2017
45,506,45,45,279,25,168,185,34,75,150,27,1,944,512,364,1809,0.201216142,46,506,2212,1965,77,3,114,0,21,32,2212,1896,65,104,3,114,0,4,26,3.481012658,0.13562387,5.153707052,0,0.949367089,1.446654611,4.701627486,88.83363472,8.182640145,N,19.59745763,29.55508475,17.79661017,15.88983051,N,Y,N,2017
46,507,46,46,362,37,207,261,54,102,210,46,4,1283,673,489,2122,0.230442978,47,507,2626,2323,54,2,175,1,26,45,2626,2231,50,126,2,175,1,3,38,2.056359482,0.076161462,6.664127951,0.038080731,0.99009901,1.713632902,4.798172125,88.46153846,6.854531607,N,20.34294622,28.21512081,16.1340608,16.36788776,N,Y,N,2017
47,508,47,47,313,18,164,234,29,79,168,29,11,1045,595,410,1909,0.214772132,48,508,2585,2200,65,1,214,0,34,71,2585,2108,63,125,1,212,0,15,61,2.51450677,0.03868472,8.278529981,0,1.315280464,2.746615087,4.835589942,85.10638298,7.350096712,N,22.3923445,29.95215311,15.6937799,16.07655502,N,Y,N,2017
48,509,48,48,365,44,219,267,55,81,227,37,4,1299,501,450,2663,0.168982351,49,509,4112,3372,89,3,513,0,53,82,4112,3174,84,262,3,506,0,13,70,2.164396887,0.072957198,12.47568093,0,1.288910506,1.994163424,6.371595331,82.00389105,8.535992218,N,20.55427252,28.09853734,16.8591224,17.47498075,N,Y,N,2017
49,510,49,49,201,27,119,145,42,80,127,42,5,788,368,289,1967,0.14692425,50,510,6184,4078,207,15,1529,0,110,245,6184,3749,197,478,12,1517,0,21,210,3.347347995,0.242561449,24.72509702,0,1.778783959,3.961836999,7.729624838,65.94437257,11.07697283,N,18.40101523,25.50761421,15.10152284,16.11675127,N,Y,N,2017
50,511,50,50,260,21,158,179,40,64,146,25,8,901,411,328,1167,0.281062554,51,511,1322,1222,11,0,68,0,7,14,1322,1179,11,51,0,67,0,2,12,0.832072617,0,5.143721634,0,0.529500756,1.059001513,3.857791225,92.43570348,4.689863843,N,19.86681465,28.85682575,17.53607103,16.20421754,N,Y,N,2017
51,601,51,51,652,53,564,510,87,156,443,68,8,2541,1355,974,5112,0.190532081,52,601,4089,3123,260,7,332,2,253,112,4089,2899,190,582,4,330,2,16,66,6.358522866,0.171191,8.119344583,0.048911714,6.187331866,2.739056004,14.23330888,76.37564197,20.59183174,N,20.07083825,25.6591893,22.19598583,17.43408107,N,Y,N,2017
52,602,52,52,196,20,253,128,39,45,137,27,3,848,656,376,1458,0.257887517,53,602,1387,1089,85,1,102,0,90,20,1387,1055,66,143,1,97,0,11,14,6.128334535,0.072098053,7.354001442,0,6.488824802,1.441961067,10.31002163,78.5147801,16.43835616,N,15.09433962,23.11320755,29.83490566,16.15566038,N,Y,N,2017
53,603,53,53,232,20,312,165,19,52,172,35,6,1013,615,407,1989,0.20462544,54,603,1848,1711,22,10,78,1,8,18,1848,1686,19,38,7,78,1,3,16,1.19047619,0.541125541,4.220779221,0.054112554,0.432900433,0.974025974,2.056277056,92.58658009,3.246753247,N,16.28825271,22.90227048,30.79960513,16.9792695,N,Y,N,2017
54,604,54,54,256,22,356,183,31,45,199,20,12,1124,808,483,1923,0.251170047,55,604,1801,1666,14,4,77,0,12,28,1801,1646,14,40,2,77,0,2,20,0.777345919,0.222098834,4.275402554,0,0.666296502,1.554691838,2.22098834,92.50416435,2.998334259,N,16.28113879,22.77580071,31.67259786,17.70462633,N,Y,N,2017
55,605,55,55,238,28,332,177,28,61,195,25,1,1085,735,455,1736,0.262096774,56,605,1678,1617,8,2,31,1,11,8,1678,1598,7,28,1,31,1,5,7,0.476758045,0.119189511,1.847437426,0.059594756,0.655542312,0.476758045,1.668653159,96.3647199,2.145411204,N,16.31336406,21.93548387,30.59907834,17.97235023,N,Y,N,2017
56,606,56,56,291,19,457,148,16,37,187,15,12,1182,998,545,1604,0.339775561,57,606,1503,1459,14,1,13,0,6,10,1503,1453,12,12,1,13,0,4,8,0.931470393,0.066533599,0.864936793,0,0.399201597,0.665335995,0.798403194,97.07252162,1.729873586,N,12.52115059,24.61928934,38.66328257,15.82064298,N,Y,N,2017
57,607,57,57,213,30,369,163,20,43,190,18,8,1054,922,494,1751,0.2821245,58,607,1526,1491,7,1,12,2,3,10,1526,1477,7,20,1,12,1,0,8,0.458715596,0.065530799,0.786369594,0.131061599,0.196592398,0.655307995,1.31061599,97.70642202,1.769331586,N,15.46489564,20.20872865,35.00948767,18.02656546,N,Y,N,2017
58,608,58,58,264,20,388,143,21,31,200,13,9,1089,819,477,1565,0.304792332,59,608,1545,1518,3,1,10,0,3,10,1545,1512,3,10,1,9,0,0,10,0.194174757,0.064724919,0.647249191,0,0.194174757,0.647249191,0.647249191,98.25242718,0.841423948,N,13.13131313,24.24242424,35.62901745,18.36547291,N,Y,N,2017
59,609,59,59,198,20,400,99,16,23,152,17,6,931,1049,495,1505,0.328903654,60,609,1572,1543,17,2,1,0,4,5,1572,1530,15,18,2,1,0,1,5,1.081424936,0.127226463,0.063613232,0,0.254452926,0.318066158,1.145038168,98.15521628,2.226463104,N,10.63372718,21.26745435,42.96455424,16.32653061,N,Y,N,2017
60,701,60,60,218,22,428,157,14,36,234,25,8,1142,1006,537,1324,0.405589124,61,701,1363,1343,2,0,12,0,3,3,1363,1334,2,12,0,12,0,0,3,0.146735143,0,0.880410858,0,0.220102715,0.220102715,0.880410858,98.53264857,1.027146001,N,13.74781086,19.08931699,37.47810858,20.49036778,N,Y,N,2017
61,702,61,61,242,26,452,181,19,44,257,23,2,1246,982,557,1737,0.320667818,62,702,1769,1733,9,0,16,1,1,9,1769,1719,9,15,0,16,1,0,9,0.508762012,0,0.9044658,0.056529112,0.056529112,0.508762012,0.847936687,97.96495195,1.3566987,N,14.52648475,19.42215088,36.27608347,20.62600321,N,Y,N,2017
62,703,62,62,303,25,549,218,22,46,249,26,8,1446,1230,669,2002,0.334165834,63,703,2133,2048,15,2,32,0,18,18,2133,2019,15,48,2,31,0,2,16,0.70323488,0.093764651,1.500234412,0,0.843881857,0.843881857,2.250351617,96.01500234,2.953586498,N,15.07607192,20.95435685,37.96680498,17.21991701,N,Y,N,2017
63,704,63,63,194,23,324,141,22,44,154,25,3,930,774,426,1748,0.243707094,64,704,1829,1576,69,2,75,0,64,43,1829,1540,57,115,2,75,0,20,20,3.772553308,0.109349371,4.100601422,0,3.49917988,2.351011482,6.287588846,86.16730454,10.06014215,N,15.16129032,20.86021505,34.83870968,16.55913978,N,Y,N,2017
64,705,64,64,205,24,279,142,27,52,136,25,5,895,693,397,1594,0.249058971,65,705,1905,1407,177,5,157,2,107,50,1905,1338,138,229,3,154,2,17,24,9.291338583,0.262467192,8.241469816,0.104986877,5.6167979,2.624671916,12.02099738,73.85826772,21.31233596,N,15.86592179,22.90502793,31.17318436,15.19553073,N,Y,N,2017
65,706,65,65,178,20,216,123,41,40,142,30,6,796,672,367,1419,0.25863284,66,706,1586,1074,160,5,152,1,145,49,1586,992,130,289,1,150,1,6,17,10.08827238,0.315258512,9.583858764,0.063051702,9.142496847,3.089533417,18.22194199,67.71752837,28.31021438,N,15.45226131,22.36180905,27.13567839,17.83919598,N,Y,N,2017
66,707,66,66,136,12,182,102,48,43,82,34,11,650,626,319,1223,0.260834015,67,707,1496,572,404,14,224,3,200,79,1496,363,312,561,6,224,2,5,23,27.00534759,0.935828877,14.97326203,0.200534759,13.36898396,5.280748663,37.5,38.23529412,64.50534759,N,15.69230769,20.92307692,28,12.61538462,N,Y,N,2017
67,708,67,67,163,18,190,124,36,49,194,20,3,797,599,349,1177,0.296516568,68,708,1487,1173,97,3,137,0,59,18,1487,1132,94,99,3,137,0,6,16,6.523201076,0.201748487,9.213180901,0,3.967720242,1.210490921,6.657700067,78.88365837,13.18090114,N,15.55834379,20.45169385,23.83939774,24.3412798,N,Y,N,2017
68,709,68,68,181,22,164,150,25,47,220,28,1,838,462,325,1182,0.274957699,69,709,1551,993,159,11,221,1,128,38,1551,937,147,150,7,221,1,60,28,10.25145068,0.709219858,14.2488717,0.064474533,8.252740168,2.450032237,9.671179884,64.02321083,19.92263056,N,17.89976134,21.59904535,19.57040573,26.25298329,N,Y,N,2017
69,710,69,69,99,20,114,110,121,53,98,31,2,648,468,279,1361,0.204996326,70,710,1847,325,584,6,47,2,686,197,1847,206,540,377,3,46,1,504,170,31.61884136,0.32485111,2.544667028,0.108283703,37.14131023,10.66594478,20.41147807,17.59610179,52.03031944,Y,16.97530864,15.27777778,17.59259259,15.12345679,N,N,N,2017
70,801,70,70,199,23,128,141,43,57,108,27,1,727,621,337,1268,0.265772871,71,801,1484,598,376,3,176,4,265,62,1484,436,334,489,3,176,4,13,29,25.33692722,0.202156334,11.85983827,0.269541779,17.85714286,4.177897574,32.95148248,40.29649596,58.2884097,N,19.39477304,27.37276479,17.60660248,14.85557084,N,Y,N,2017
71,802,71,71,379,29,264,296,52,111,213,49,20,1413,815,557,2781,0.200287666,72,802,4588,2484,1212,19,598,1,189,85,4588,1889,1174,819,14,597,1,33,61,26.41673932,0.414123801,13.03400174,0.02179599,4.119442023,1.852659111,17.85091543,54.14123801,44.26765475,N,20.94833687,26.82236377,18.6836518,15.07430998,N,Y,N,2017
