,WP,Ward,Precinct,MARTIN J KEOGH,"JACK F KELLY, III",ANNISSA ESSAIBI GEORGE,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,MICHELLE WU,STEPHEN J MURPHY,JEFFREY MICHAEL ROSS,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,HISPANIC,BIPOC,TWO OR MORE RACES,NATIVE_AMERICAN,ASIAN,OTHER
121,1402,1402,1402.0,60,30,113,219,453,217,167,84,6,1349,1463,703,2391,2738.0,4401.0,0.089,0.778,0.247,0.911,0.015,0.011,0.007,0.101
122,1403,1403,1403.0,41,23,75,100,218,154,110,51,8,780,580,340,1228,1224.0,2156.0,0.079,0.663,0.255,0.921,0.036,0.0,0.018,0.201
123,1404,1404,1404.0,32,33,73,109,242,171,86,60,7,813,767,395,1404,1660.0,2613.0,0.086,0.694,0.253,0.914,0.02,0.002,0.016,0.18
124,1405,1405,1405.0,33,15,55,96,219,108,95,33,8,662,670,333,1063,1094.0,1884.0,0.065,0.862,0.116,0.935,0.033,0.0,0.018,0.022
125,1406,1406,1406.0,33,25,56,114,211,101,85,45,4,674,622,324,1018,1094.0,1815.0,0.078,0.726,0.216,0.922,0.028,0.0,0.009,0.159
126,1407,1407,1407.0,25,16,57,122,218,125,87,43,9,702,658,340,1186,1265.0,2147.0,0.086,0.852,0.276,0.914,0.008,0.027,0.0,0.026
127,1408,1408,1408.0,40,22,59,135,265,137,119,62,9,848,888,434,1091,1257.0,1950.0,0.084,0.857,0.243,0.917,0.032,0.002,0.013,0.012
128,1409,1409,1409.0,40,21,38,84,191,88,68,46,1,577,739,329,1333,1209.0,2040.0,0.091,0.846,0.275,0.909,0.01,0.026,0.001,0.027
129,1410,1410,1410.0,45,23,63,134,224,143,115,66,6,819,837,414,1264,2002.0,3151.0,0.16,0.755,0.255,0.84,0.03,0.001,0.018,0.036
130,1411,1411,1411.0,38,21,49,87,179,74,81,35,2,566,550,279,970,1405.0,2209.0,0.16,0.761,0.265,0.84,0.028,0.001,0.017,0.032
131,1412,1412,1412.0,16,16,44,73,156,66,52,20,1,444,556,250,722,706.0,1114.0,0.128,0.774,0.218,0.872,0.037,0.001,0.018,0.042
132,1413,1413,1413.0,38,13,47,97,198,115,89,43,4,644,668,328,988,1054.0,1680.0,0.049,0.822,0.125,0.951,0.053,0.0,0.019,0.057
133,1414,1414,1414.0,35,26,60,105,218,112,87,51,4,698,934,408,1138,1577.0,2555.0,0.072,0.881,0.217,0.928,0.028,0.0,0.014,0.005
134,1501,1501,1501.0,41,21,100,127,209,145,90,43,12,788,892,420,1525,1738.0,2920.0,0.12,0.493,0.202,0.88,0.046,0.004,0.023,0.315
135,1502,1502,1502.0,35,29,63,99,167,89,66,45,5,598,670,317,1013,947.0,1673.0,0.111,0.585,0.168,0.889,0.036,0.0,0.015,0.253
136,1503,1503,1503.0,23,21,47,81,91,76,54,40,3,436,380,204,651,754.0,1275.0,0.129,0.537,0.139,0.871,0.035,0.0,0.092,0.206
137,1504,1504,1504.0,84,65,121,225,293,220,140,86,13,1247,1169,604,1853,1909.0,3225.0,0.158,0.403,0.162,0.842,0.048,0.002,0.114,0.276
138,1505,1505,1505.0,42,26,69,101,183,113,88,35,4,661,763,356,1208,1115.0,2213.0,0.117,0.616,0.277,0.883,0.023,0.002,0.077,0.165
139,1506,1506,1506.0,71,64,114,164,97,96,107,35,2,750,574,331,766,923.0,1447.0,0.321,0.313,0.084,0.679,0.024,0.0,0.27,0.071
140,1507,1507,1507.0,30,18,88,121,179,142,75,55,1,709,587,324,1009,793.0,1542.0,0.119,0.571,0.224,0.881,0.014,0.001,0.09,0.205
141,1508,1508,1508.0,65,41,83,155,137,118,89,54,4,746,546,323,984,895.0,1659.0,0.151,0.554,0.252,0.849,0.031,0.002,0.138,0.123
142,1509,1509,1509.0,69,69,99,174,202,177,116,72,10,988,652,410,1080,1237.0,2260.0,0.135,0.535,0.195,0.865,0.019,0.001,0.148,0.161
143,1601,1601,1601.0,82,62,130,160,165,149,130,53,4,935,581,379,1096,1086.0,1614.0,0.279,0.358,0.071,0.721,0.034,0.0,0.269,0.059
144,1602,1602,1602.0,104,119,117,188,137,101,123,39,3,931,653,396,796,2767.0,4031.0,0.331,0.232,0.068,0.669,0.04,0.0,0.342,0.055
145,1603,1603,1603.0,90,89,167,187,266,193,133,64,4,1193,847,510,1366,1200.0,1958.0,0.206,0.607,0.145,0.794,0.043,0.002,0.121,0.021
146,1604,1604,1604.0,93,79,161,219,228,165,179,65,5,1194,814,502,1259,983.0,1361.0,0.336,0.299,0.09,0.663,0.047,0.002,0.26,0.056
147,1605,1605,1605.0,217,131,210,306,242,171,249,64,5,1595,1001,649,1389,1283.0,1826.0,0.317,0.27,0.081,0.683,0.045,0.001,0.309,0.058
148,1606,1606,1606.0,118,76,260,248,397,246,180,96,14,1635,1161,699,1779,1388.0,1867.0,0.387,0.336,0.082,0.613,0.049,0.003,0.183,0.042
149,1607,1607,1607.0,217,220,346,451,230,155,282,65,3,1969,1063,758,1226,1782.0,2365.0,0.379,0.328,0.099,0.621,0.049,0.004,0.189,0.051
150,1608,1608,1608.0,200,199,274,350,336,257,256,102,7,1981,1099,770,1347,835.0,1178.0,0.469,0.338,0.002,0.53,0.044,0.0,0.148,0.0
151,1609,1609,1609.0,372,338,420,597,250,168,385,64,0,2594,1246,960,1432,853.0,1154.0,0.926,0.042,0.024,0.074,0.011,0.0,0.019,0.002
152,1610,1610,1610.0,205,190,297,423,207,148,258,69,10,1807,961,692,1280,1145.0,1438.0,0.765,0.141,0.029,0.234,0.014,0.002,0.078,0.001
153,1611,1611,1611.0,266,212,286,445,299,291,307,128,5,2239,1021,815,1388,1941.0,2726.0,0.51,0.312,0.004,0.49,0.041,0.0,0.137,0.0
154,1612,1612,1612.0,307,401,360,599,237,143,409,70,0,2526,1138,916,1241,1704.0,2305.0,0.926,0.042,0.024,0.074,0.011,0.0,0.019,0.002
155,1701,1701,1701.0,33,14,77,99,207,123,81,69,8,711,701,353,1159,1280.0,2234.0,0.102,0.761,0.186,0.898,0.023,0.009,0.024,0.081
156,1702,1702,1702.0,36,19,56,82,153,112,58,39,9,564,540,276,793,796.0,1569.0,0.12,0.626,0.293,0.881,0.029,0.003,0.085,0.137
157,1703,1703,1703.0,58,53,173,221,445,275,151,121,10,1507,1093,650,1743,1816.0,3128.0,0.154,0.701,0.121,0.846,0.026,0.01,0.065,0.045
158,1704,1704,1704.0,134,86,198,269,531,293,268,129,6,1914,1390,826,1803,2300.0,3287.0,0.13,0.678,0.104,0.87,0.034,0.025,0.077,0.056
159,1705,1705,1705.0,16,8,38,57,141,66,50,35,6,417,495,228,874,985.0,1684.0,0.16,0.706,0.147,0.84,0.039,0.006,0.074,0.014
