,Ward/Precinct,STEPHEN J MURPHY,DOUG BENNETT,FELIX G ARROYO,TITO JACKSON,TOMAS GONZALEZ,JOHN R CONNOLLY,ANDREW P KENNEALLY,AYANNA S PRESSLEY,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
0,101,175,62,116,63,41,188,186,73,5,909,679,397,1113,534.0,960.039644976074,0.567,0.033,0.0,0.1,0.146
1,102,147,52,71,25,43,129,115,41,4,627,465,273,816,814.0,2041.5446542793864,0.667,0.023,0.001,0.057,0.026
2,103,242,88,217,93,138,217,195,127,2,1319,1081,600,1720,1422.0,3134.4631436803493,0.65,0.062,0.003,0.051,0.048
3,104,78,44,38,18,11,72,73,25,0,359,373,183,563,537.0,1721.8679524360412,0.567,0.073,0.003,0.032,0.062
4,105,116,54,82,23,34,110,157,37,4,617,527,286,960,980.0,3189.9805348669306,0.645,0.032,0.008,0.001,0.099
5,106,117,47,77,27,51,132,105,45,5,606,410,254,836,1030.0,3160.0554369112288,0.609,0.047,0.002,0.013,0.141
6,107,104,52,88,35,48,128,106,48,2,611,429,260,1046,1111.0,3088.948397214824,0.59,0.045,0.001,0.043,0.129
7,108,155,70,150,36,85,165,156,55,5,877,647,381,1413,1120.0,2730.354434335149,0.569,0.026,0.003,0.091,0.072
8,109,105,53,75,16,31,101,87,29,3,500,360,215,838,568.0,1603.071533523147,0.527,0.024,0.005,0.037,0.104
9,110,78,33,57,15,27,79,70,25,2,386,242,157,582,766.0,2295.9773133768063,0.581,0.033,0.004,0.02,0.125
10,111,257,99,118,34,47,293,207,49,2,1106,998,526,1296,1169.0,1647.7817463671431,0.804,0.018,0.0,0.035,0.058
11,112,265,94,122,49,50,288,247,72,0,1187,941,532,1315,1104.0,2417.360508561329,0.711,0.059,0.0,0.02,0.045
12,113,274,104,147,44,57,272,290,70,1,1259,1073,583,1627,1372.0,2525.706053583249,0.745,0.046,0.0,0.025,0.049
13,114,137,66,71,41,35,118,124,55,3,650,622,318,943,683.0,1426.1957943968305,0.71,0.055,0.0,0.021,0.059
14,115,0,0,1,0,0,0,0,0,0,1,3,1,223,94.0,99.46542354779484,0.424,0.352,0.0,0.0,0.092
15,201,349,219,189,109,47,406,200,148,1,1668,1180,712,1948,2748.0,3405.3202712347547,0.911,0.021,0.0,0.028,0.015
16,202,321,138,206,78,60,405,145,165,5,1523,1061,646,2339,2030.0,3137.7887391885897,0.615,0.179,0.0,0.154,0.016
17,203,263,171,172,89,45,300,140,178,4,1362,798,540,1579,1063.0,1351.811697568332,0.872,0.063,0.0,0.027,0.008
18,204,189,94,129,53,47,220,109,80,8,929,655,396,1398,1261.0,1683.063519978428,0.794,0.107,0.0,0.046,0.015
19,205,329,139,162,60,50,393,191,132,1,1457,775,558,1628,1125.0,1441.8616468427847,0.816,0.093,0.0,0.044,0.017
20,206,410,199,172,71,58,550,228,149,8,1845,1143,747,1903,1010.0,1295.3752894450354,0.838,0.069,0.0,0.042,0.02
21,207,277,120,118,43,41,283,164,99,2,1147,753,475,1286,1333.0,1567.6323618295917,0.946,0.018,0.0,0.025,0.011
22,301,503,325,318,157,137,519,225,369,12,2565,1887,1113,3487,1386.0,1603.1518694461129,0.901,0.032,0.001,0.034,0.013
23,302,168,108,125,69,56,171,69,94,0,860,732,398,1546,1762.0,1976.0047923933184,0.942,0.036,0.0,0.014,0.004
24,303,143,117,103,64,45,168,84,86,3,813,787,400,1528,2429.0,2708.792528016364,0.94,0.018,0.0,0.032,0.002
25,304,209,129,127,74,64,237,83,90,2,1015,1057,518,1616,1655.0,1830.0522183528108,0.892,0.034,0.001,0.055,0.009
26,305,399,168,345,114,78,443,125,323,3,1998,1010,752,2646,3116.0,4059.308949333325,0.708,0.078,0.003,0.184,0.013
27,306,345,293,269,120,81,418,123,296,7,1952,1068,755,3479,5412.0,6607.760651355292,0.766,0.053,0.006,0.137,0.02
28,307,452,134,447,231,155,533,163,429,9,2553,1391,986,3726,3032.0,4242.518378155484,0.551,0.098,0.0,0.217,0.127
29,308,381,116,426,240,213,417,246,322,16,2377,1387,941,3805,4970.0,7303.78795980819,0.411,0.046,0.006,0.485,0.03
30,401,281,92,288,163,83,296,84,318,1,1606,766,593,1966,1540.0,1981.795085309681,0.734,0.073,0.002,0.09,0.083
31,402,271,88,286,218,93,274,69,325,9,1633,939,643,2655,3750.0,4459.387551520278,0.727,0.155,0.005,0.056,0.053
32,403,142,47,184,136,47,172,35,205,4,972,388,340,1310,1164.0,1484.456752169635,0.637,0.193,0.007,0.069,0.079
33,404,266,91,305,207,95,282,62,334,6,1648,592,560,1943,1713.0,2147.97130626097,0.661,0.177,0.003,0.093,0.06
34,405,146,54,169,104,38,161,49,154,3,878,414,323,1550,2283.0,2708.6289604079057,0.71,0.117,0.005,0.137,0.012
35,406,142,44,144,72,65,161,50,150,6,834,386,305,1354,2094.0,2832.5801335733213,0.628,0.127,0.002,0.203,0.02
36,407,116,42,153,102,34,111,29,137,1,725,323,262,1701,2401.0,3002.4489151043986,0.69,0.09,0.0,0.17,0.03
37,408,124,24,131,67,32,122,31,104,0,635,301,234,1578,6264.0,7210.271854943775,0.758,0.063,0.0,0.13,0.029
38,409,25,9,61,48,21,14,7,24,6,215,233,112,1048,3683.0,4436.316753014857,0.604,0.16,0.003,0.12,0.081
39,410,18,12,14,10,7,17,9,17,1,105,63,42,945,5228.0,6260.470625228448,0.648,0.1,0.001,0.146,0.071
40,501,524,146,476,303,161,525,200,512,11,2858,1370,1057,3990,4768.0,6028.519632019613,0.63,0.032,0.001,0.302,0.017
41,502,184,49,187,90,68,207,43,162,3,993,515,377,2449,3777.0,4892.267613681287,1.5470000000000002,0.07500000000000001,0.003,0.28,0.076
