,Ward/Precinct,STEPHEN J MURPHY,DOUG BENNETT,FELIX G ARROYO,TITO JACKSON,TOMAS GONZALEZ,JOHN R CONNOLLY,ANDREW P KENNEALLY,AYANNA S PRESSLEY,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
42,503,229,122,197,112,43,278,60,237,2,1280,556,459,1702,2119.0,2561.156172177334,0.93,0.015,0.002,0.038,0.009
43,504,187,86,166,95,39,218,49,181,4,1025,567,398,2135,1837.0,2222.614198277982,0.893,0.022,0.01,0.062,0.006
44,505,118,71,85,45,23,120,33,104,3,602,282,221,655,821.0,1020.3147680399968,0.946,0.012,0.003,0.027,0.011
45,506,217,108,164,73,41,227,55,183,5,1073,607,420,1843,2081.0,2449.31970592007,0.894,0.006,0.001,0.073,0.013
46,507,295,115,196,119,53,325,63,237,8,1411,669,520,2133,2065.0,2429.821576362041,0.892,0.006,0.001,0.076,0.013
47,508,256,101,194,110,42,280,52,210,3,1248,664,478,2026,2199.0,2705.614029056017,0.871,0.016,0.002,0.08,0.015
48,509,242,101,200,126,53,269,66,199,17,1273,607,470,2893,3501.0,4194.880541405345,0.84,0.018,0.001,0.113,0.01
49,510,134,44,110,53,43,145,44,120,2,695,449,286,2380,4924.0,5902.084359980943,0.744,0.029,0.001,0.189,0.019
50,511,205,61,161,64,49,215,52,178,2,987,541,382,1173,1674.0,2049.6251269208224,0.916,0.018,0.007,0.047,0.008
51,601,324,195,204,111,75,365,245,199,7,1725,1007,683,2533,3073.0,3984.837951821689,0.733,0.115,0.004,0.051,0.084
52,602,217,135,95,35,34,213,156,81,3,969,579,387,1171,1424.0,2147.96443624557,0.575,0.188,0.007,0.057,0.16
53,603,281,178,114,47,37,309,226,122,6,1320,564,471,1430,1021.0,1204.5210063395582,0.925,0.001,0.001,0.052,0.0
54,604,302,154,99,51,49,278,241,105,7,1286,878,541,1552,1603.0,1796.288081185333,0.935,0.01,0.0,0.041,0.008
55,605,337,132,93,37,40,286,221,88,9,1243,933,544,1413,1571.0,1746.3181933167652,0.924,0.012,0.0,0.049,0.013
56,606,409,199,105,44,71,350,271,82,3,1534,1042,644,1362,1352.0,1480.5300952896089,0.971,0.005,0.0,0.013,0.011
57,607,383,187,90,30,43,363,242,82,5,1425,923,587,1389,1738.0,1940.600394655232,0.94,0.009,0.001,0.038,0.009
58,608,433,221,110,38,35,421,280,67,11,1616,984,650,1422,1199.0,1445.9572144480182,0.984,0.001,0.001,0.011,0.0
59,609,448,176,107,44,32,387,275,94,5,1568,1104,668,1374,1626.0,1832.43315852836,0.995,0.0,0.004,0.0,0.0
60,701,424,166,81,48,34,342,256,82,3,1436,1004,610,1262,1592.0,1893.4075276315457,0.98,0.002,0.001,0.012,0.002
61,702,455,214,115,46,49,362,350,105,7,1703,1077,695,1563,1454.0,1604.6316550943902,0.978,0.007,0.0,0.009,0.004
62,703,555,226,147,72,94,496,326,124,13,2053,1471,881,1871,2190.0,2425.838541735236,0.981,0.007,0.0,0.007,0.001
63,704,301,155,116,47,43,285,220,88,12,1267,941,552,1598,1458.0,2029.481069147719,0.76,0.051,0.0,0.061,0.112
64,705,250,100,85,55,41,226,117,82,5,961,651,403,1238,2093.0,2757.880306776554,0.805,0.039,0.001,0.065,0.073
65,706,247,97,123,61,48,203,131,87,4,1001,683,421,1296,946.0,1478.4146423732352,0.654,0.079,0.0,0.087,0.163
66,707,157,58,129,62,59,107,78,76,3,729,423,288,943,1246.0,2376.025412437458,0.349,0.276,0.002,0.208,0.15
67,708,184,78,79,36,39,171,113,81,5,786,482,317,926,1685.0,2526.9018073202774,0.58,0.112,0.0,0.198,0.096
68,709,163,58,121,61,52,176,106,140,1,878,454,333,1005,927.0,1367.2041397100572,0.576,0.117,0.0,0.175,0.112
69,710,95,38,145,115,69,75,25,71,3,636,684,330,1236,1169.0,2061.212957605532,0.229,0.32,0.007,0.071,0.334
70,801,65,23,119,69,47,82,30,68,4,507,381,222,911,1707.0,2591.856583822389,0.48,0.169,0.0,0.183,0.147
71,802,189,68,209,141,81,230,73,198,9,1198,626,456,2045,3187.0,4495.220130484659,0.439,0.228,0.003,0.155,0.152
72,803,75,11,111,133,41,59,11,102,3,546,510,264,1131,1558.0,2285.696069134881,0.178,0.563,0.009,0.05,0.155
73,804,31,8,60,87,25,30,8,44,0,293,307,150,604,691.0,1114.2205908879444,0.128,0.583,0.011,0.042,0.176
74,805,83,19,154,150,66,49,17,123,3,664,724,347,1239,847.0,1470.1008139009991,0.107,0.547,0.005,0.034,0.265
75,806,46,13,74,37,27,35,12,39,2,285,251,134,446,1362.0,1955.6053701865883,0.173,0.577,0.01,0.04,0.162
76,807,68,11,102,115,39,38,15,98,3,489,531,255,901,554.0,809.9269487643014,0.146,0.62,0.006,0.025,0.163
77,901,163,60,265,131,186,169,52,157,6,1189,703,473,1854,2178.0,2921.3259123631765,0.59,0.065,0.0,0.235,0.107
78,902,180,73,213,169,95,225,48,224,11,1238,642,470,1937,2210.0,2829.733297344713,0.619,0.16,0.001,0.091,0.094
79,903,215,61,333,308,147,131,50,285,5,1535,1057,648,2777,2938.0,4513.065234171289,0.389,0.382,0.002,0.049,0.146
80,904,90,18,197,171,92,61,13,129,1,772,788,390,1868,1935.0,3137.85743598095,0.312,0.42,0.005,0.081,0.143
81,905,126,28,291,359,142,111,15,313,2,1387,993,595,1823,2288.0,3321.505907121013,0.351,0.468,0.001,0.084,0.061
82,1001,84,25,134,92,72,77,24,79,3,590,318,227,845,650.0,877.7258229410415,0.416,0.279,0.007,0.107,0.143
83,1002,93,20,149,131,79,79,37,93,2,683,309,248,1098,1422.0,1919.597025891428,0.553,0.195,0.003,0.132,0.081
84,1003,99,8,99,92,51,90,54,65,4,562,322,221,1063,1629.0,2185.7516875532674,0.626,0.132,0.0,0.164,0.05
85,1004,215,42,281,138,101,223,59,216,2,1277,695,493,1655,1241.0,1639.1742349664112,0.469,0.181,0.0,0.186,0.125
86,1005,100,22,169,140,80,112,61,131,0,815,401,304,1188,2323.0,2988.9434666708025,0.547,0.225,0.002,0.124,0.071
87,1006,76,15,174,90,79,75,22,110,8,649,419,267,1157,1500.0,2509.591515657937,0.337,0.428,0.003,0.044,0.156
