,NEIGHBORHOOD,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
0,Roslindale,18466,0.477,0.004,0.017,0.044,0.04,0.083,0.068,0.066,0.043,0.014,0.012,0.523,0.008,0.021,0.034,0.054,0.084,0.062,0.077,0.044,0.032,0.017
1,Jamaica Plain,27127,0.464,0.004,0.026,0.061,0.071,0.078,0.06,0.054,0.035,0.012,0.005,0.535,0.005,0.038,0.076,0.074,0.076,0.047,0.071,0.047,0.015,0.016
2,Mission Hill,7275,0.524,0.067,0.223,0.062,0.039,0.024,0.024,0.027,0.027,0.011,0.005,0.476,0.078,0.157,0.062,0.031,0.025,0.024,0.026,0.031,0.013,0.02
3,Longwood,3928,0.375,0.145,0.149,0.034,0.013,0.004,0.009,0.006,0.003,0.005,0.003,0.624,0.283,0.242,0.029,0.012,0.005,0.002,0.01,0.011,0.007,0.015
4,Bay Village,935,0.495,0.031,0.03,0.049,0.105,0.041,0.078,0.073,0.034,0.026,0.0,0.505,0.039,0.077,0.082,0.07,0.049,0.06,0.041,0.04,0.026,0.002
5,Leather District,300,0.487,0.1,0.063,0.08,0.063,0.03,0.053,0.043,0.037,0.003,0.0,0.513,0.137,0.093,0.077,0.053,0.033,0.043,0.03,0.017,0.003,0.01
6,Chinatown,1548,0.488,0.091,0.059,0.076,0.068,0.032,0.056,0.048,0.035,0.006,0.0,0.513,0.125,0.091,0.078,0.054,0.036,0.046,0.033,0.021,0.006,0.008
7,North End,6188,0.509,0.003,0.054,0.153,0.093,0.051,0.029,0.045,0.03,0.02,0.002,0.491,0.002,0.063,0.15,0.064,0.057,0.027,0.04,0.036,0.017,0.011
8,Roxbury,10920,0.505,0.039,0.1,0.062,0.057,0.043,0.053,0.04,0.036,0.017,0.0,0.494,0.049,0.083,0.053,0.047,0.053,0.057,0.045,0.032,0.01,0.008
9,South End,15021,0.5,0.009,0.026,0.077,0.081,0.071,0.085,0.059,0.044,0.01,0.002,0.5,0.015,0.044,0.095,0.078,0.075,0.05,0.048,0.029,0.012,0.003
10,Back Bay,16006,0.482,0.03,0.048,0.078,0.065,0.053,0.048,0.057,0.038,0.024,0.004,0.518,0.024,0.052,0.097,0.073,0.061,0.044,0.058,0.052,0.022,0.007
11,East Boston,20876,0.525,0.011,0.033,0.066,0.075,0.09,0.06,0.048,0.03,0.011,0.007,0.475,0.014,0.028,0.056,0.062,0.065,0.053,0.042,0.028,0.016,0.017
12,Charlestown,13120,0.462,0.001,0.012,0.058,0.072,0.078,0.053,0.046,0.027,0.014,0.004,0.538,0.002,0.011,0.058,0.083,0.082,0.068,0.068,0.042,0.021,0.011
13,West End,4811,0.489,0.009,0.044,0.09,0.059,0.075,0.057,0.043,0.036,0.03,0.011,0.511,0.018,0.019,0.104,0.087,0.061,0.055,0.056,0.045,0.026,0.011
14,Beacon Hill,7899,0.475,0.006,0.019,0.11,0.085,0.048,0.036,0.061,0.033,0.028,0.002,0.525,0.002,0.036,0.104,0.09,0.068,0.054,0.05,0.047,0.024,0.012
15,Downtown,9111,0.508,0.042,0.043,0.095,0.068,0.052,0.059,0.064,0.043,0.018,0.004,0.492,0.056,0.057,0.09,0.063,0.046,0.046,0.044,0.04,0.018,0.008
16,Fenway,20402,0.465,0.129,0.134,0.06,0.042,0.027,0.019,0.023,0.01,0.006,0.005,0.535,0.136,0.188,0.078,0.046,0.027,0.015,0.018,0.009,0.006,0.002
17,Brighton,35004,0.494,0.011,0.081,0.139,0.064,0.06,0.035,0.026,0.02,0.014,0.009,0.506,0.017,0.09,0.135,0.053,0.047,0.033,0.025,0.026,0.019,0.021
18,West Roxbury,24399,0.462,0.003,0.014,0.031,0.039,0.058,0.069,0.071,0.059,0.029,0.011,0.538,0.006,0.01,0.038,0.042,0.056,0.075,0.089,0.061,0.039,0.031
19,Hyde Park,12926,0.49,0.015,0.019,0.04,0.025,0.066,0.06,0.087,0.062,0.019,0.005,0.51,0.005,0.029,0.036,0.036,0.068,0.089,0.071,0.057,0.029,0.018
20,Mattapan,2727,0.501,0.001,0.027,0.019,0.026,0.127,0.039,0.058,0.037,0.031,0.018,0.501,0.005,0.005,0.041,0.043,0.111,0.06,0.043,0.056,0.029,0.015
21,Dorchester,34123,0.508,0.01,0.033,0.076,0.059,0.074,0.06,0.062,0.035,0.017,0.006,0.492,0.015,0.03,0.067,0.073,0.063,0.047,0.053,0.045,0.02,0.01
22,South Boston Waterfront,4885,0.551,0.001,0.038,0.128,0.097,0.104,0.069,0.047,0.017,0.01,0.002,0.449,0.004,0.018,0.118,0.076,0.067,0.052,0.05,0.027,0.009,0.006
23,South Boston,28452,0.503,0.002,0.03,0.125,0.09,0.072,0.051,0.048,0.017,0.011,0.004,0.497,0.006,0.024,0.154,0.073,0.058,0.042,0.046,0.027,0.015,0.011
24,Allston,15645,0.51,0.056,0.118,0.146,0.069,0.048,0.021,0.02,0.014,0.006,0.001,0.49,0.059,0.143,0.13,0.047,0.019,0.022,0.021,0.015,0.009,0.005
25,Harbor Islands,44,0.705,0.0,0.0,0.068,0.068,0.182,0.091,0.25,0.023,0.0,0.0,0.295,0.0,0.045,0.023,0.0,0.227,0.0,0.0,0.0,0.0,0.0
