,WARD_PRECI,Total,18-44,44+
0,101,1139.0,0.6,0.334
1,102,2671.0,0.621,0.372
2,103,3433.0,0.578,0.378
3,104,2075.0,0.589,0.394
4,105,3807.0,0.566,0.373
5,106,3690.0,0.582,0.392
6,107,3450.0,0.592,0.379
7,108,2829.0,0.59,0.333
8,109,1806.0,0.542,0.374
9,110,2662.0,0.563,0.387
10,111,1869.0,0.654,0.273
11,112,2295.0,0.626,0.285
12,114,1358.0,0.629,0.284
13,115,71.0,0.606,0.254
14,201,3514.0,0.684,0.279
15,202,3455.0,0.634,0.31
16,203,1440.0,0.648,0.306
17,204,1788.0,0.639,0.327
18,205,1549.0,0.64,0.322
19,206,1350.0,0.665,0.306
20,207,1792.0,0.595,0.291
21,301,1775.0,0.689,0.241
22,302,2093.0,0.75,0.221
23,303,2994.0,0.764,0.204
24,304,2011.0,0.735,0.23
25,305,4555.0,0.702,0.264
26,306,7112.0,0.678,0.256
27,307,4288.0,0.609,0.285
28,308,8020.0,0.729,0.268
29,401,2042.0,0.602,0.328
30,402,4956.0,0.73,0.213
31,403,1611.0,0.642,0.301
32,404,2243.0,0.66,0.267
33,405,2648.0,0.813,0.153
34,406,2733.0,0.776,0.177
35,407,2825.0,0.861,0.229
36,408,6612.0,0.92,0.244
37,409,4967.0,0.902,0.254
38,410,6650.0,0.905,0.291
39,501,6322.0,0.687,0.257
40,502,1428.0,0.772,0.245
41,502,3530.0,0.782,0.225
42,503,2541.0,0.693,0.251
43,504,2198.0,0.766,0.187
44,505,1053.0,0.665,0.281
45,506,2611.0,0.723,0.221
46,507,2587.0,0.726,0.218
47,508,2846.0,0.733,0.243
48,509,4156.0,0.77,0.231
49,510,5344.0,0.878,0.251
50,511,2065.0,0.721,0.229
51,601,4903.0,0.683,0.27
52,602,2629.0,0.712,0.266
53,603,1523.0,0.706,0.252
54,604,2133.0,0.717,0.229
55,605,2055.0,0.715,0.224
56,606,1695.0,0.726,0.202
57,607,2308.0,0.716,0.225
58,608,1713.0,0.708,0.229
59,609,2225.0,0.721,0.225
60,701,2217.0,0.712,0.225
61,702,1829.0,0.732,0.215
62,703,2755.0,0.735,0.221
63,704,2087.0,0.683,0.263
64,705,3050.0,0.681,0.267
65,706,1409.0,0.647,0.288
66,707,2290.0,0.593,0.249
67,708,2874.0,0.622,0.313
68,709,1561.0,0.625,0.316
69,710,2649.0,0.628,0.311
70,801,2945.0,0.623,0.293
71,802,4515.0,0.655,0.33
72,803,2559.0,0.633,0.308
73,804,1382.0,0.653,0.286
74,805,1867.0,0.637,0.322
75,806,2022.0,0.599,0.359
76,807,896.0,0.619,0.331
77,901,2806.0,0.614,0.279
78,902,2797.0,0.702,0.281
79,903,4714.0,0.684,0.279
80,904,4191.0,0.775,0.283
81,905,4306.0,0.779,0.278
82,1001,1053.0,0.836,0.19
83,1002,2183.0,0.831,0.166
84,1003,2288.0,0.816,0.161
85,1004,1580.0,0.78,0.222
86,1005,2988.0,0.761,0.197
87,1006,2506.0,0.664,0.228
88,1007,2307.0,0.645,0.279
89,1008,2943.0,0.705,0.239
90,1009,2345.0,0.65,0.295
91,1101,1952.0,0.728,0.221
92,1102,2249.0,0.713,0.216
93,1103,1535.0,0.69,0.219
94,1104,3403.0,0.712,0.23
95,1105,1946.0,0.681,0.247
96,1106,1964.0,0.618,0.283
97,1107,2356.0,0.643,0.275
98,1108,3098.0,0.676,0.284
99,1109,1235.0,0.706,0.291
100,1110,1334.0,0.684,0.294
101,1201,2723.0,0.684,0.274
102,1202,3010.0,0.657,0.225
103,1203,1060.0,0.692,0.232
104,1204,2099.0,0.702,0.334
105,1205,910.0,0.687,0.234
106,1206,1612.0,0.671,0.274
107,1207,4298.0,0.658,0.21
108,1208,1498.0,0.677,0.24
109,1209,1890.0,0.668,0.212
110,1301,2418.0,0.694,0.278
111,1302,1048.0,0.681,0.274
112,1303,2648.0,0.763,0.204
113,1304,2074.0,0.64,0.295
114,1305,1718.0,0.623,0.315
115,1306,1940.0,0.646,0.316
116,1307,1496.0,0.627,0.315
117,1308,2167.0,0.628,0.314
118,1309,2365.0,0.641,0.314
119,1310,2819.0,0.671,0.276
120,1401,5344.0,0.694,0.332
121,1402,4401.0,0.666,0.287
122,1403,2156.0,0.663,0.295
123,1404,2614.0,0.675,0.277
124,1405,1884.0,0.641,0.28
125,1406,1816.0,0.669,0.292
126,1407,2148.0,0.651,0.289
127,1408,1951.0,0.636,0.281
128,1409,2041.0,0.651,0.292
129,1410,3152.0,0.655,0.339
130,1411,2208.0,0.654,0.337
131,1412,1114.0,0.658,0.329
132,1413,1681.0,0.666,0.304
133,1414,2555.0,0.642,0.283
134,1501,2920.0,0.647,0.339
135,1502,1673.0,0.633,0.371
136,1503,1275.0,0.615,0.331
137,1504,3225.0,0.651,0.292
138,1505,2213.0,0.631,0.335
139,1506,1447.0,0.614,0.278
140,1507,1542.0,0.63,0.319
141,1508,1659.0,0.63,0.329
