,WARD_PRECI,Median Household Income,Per Capita Income
0,101,65951,40810
1,102,61424,34128
2,103,54190,31257
3,104,54235,29589
4,105,59506,30175
5,106,49139,22631
6,107,43378,20810
7,108,51830,22113
8,109,52266,23316
9,110,61487,30996
10,111,66863,36864
11,112,60920,34557
12,113,50182,27780
13,114,50182,27780
14,115,0,7029
15,201,85313,58089
16,202,75072,51106
17,203,82648,56539
18,204,81996,55239
19,205,92434,61686
20,206,92434,61686
21,207,78242,58343
22,301,93309,79328
23,302,82476,65267
24,303,86610,70782
25,304,82375,62188
26,305,87983,65734
27,306,94210,79083
28,307,79141,65443
29,308,55423,47876
30,401,107502,85802
31,402,92392,82396
32,403,105101,81780
33,404,93375,74202
34,405,61713,56944
35,406,54102,64326
36,407,26347,46625
37,408,24160,14725
38,409,23915,30644
39,410,31007,32654
40,501,81531,72815
41,502,38433,33295
42,502,46859,64226
43,503,90148,84867
44,504,89442,86244
45,505,103644,111144
46,506,108599,110726
47,507,106877,102466
48,508,104198,105836
49,509,63839,64640
50,510,39206,46440
51,511,94029,94891
52,601,82788,47468
53,602,76325,46727
54,603,76325,46727
55,604,97248,53071
56,605,91472,44422
57,606,94812,53452
58,607,98347,49285
59,608,98347,55779
60,609,105222,45488
61,701,97083,54645
62,702,94812,53452
63,703,60802,38001
64,704,71807,43993
65,705,54281,33772
66,706,57726,38761
67,707,54609,35429
68,708,50130,32131
69,709,44876,22129
70,710,46096,23071
71,801,63176,52357
72,802,53697,43080
73,803,31233,23672
74,804,23041,16513
75,805,34887,16240
76,806,35220,16491
77,807,31311,16281
78,901,81057,69419
79,902,59108,46863
80,903,36572,26900
81,904,24861,14932
82,905,29651,20321
83,1001,38900,16414
84,1002,40128,19994
85,1003,36465,22312
86,1004,34532,62605
87,1005,35274,20738
88,1006,54914,33420
89,1007,45690,27162
90,1008,43505,50909
91,1009,79374,56127
92,1101,32535,22197
93,1102,32106,22208
94,1103,25538,18349
95,1104,38272,22970
96,1105,39460,18783
97,1106,68013,38578
98,1107,68013,30452
99,1108,55457,25775
100,1109,70029,41073
101,1110,68550,38301
102,1201,28438,18113
103,1202,24160,17696
104,1203,28840,20132
105,1204,32107,18918
106,1205,26206,18926
107,1206,26142,17789
108,1207,33641,18367
109,1208,23484,17901
110,1209,21850,17760
111,1301,29988,16953
112,1302,35978,17124
113,1303,44167,25725
114,1304,31476,15518
115,1305,46318,21826
116,1306,59839,29994
117,1307,60358,30548
118,1308,60358,30548
119,1309,59839,29994
120,1310,51005,28886
121,1401,33569,18014
122,1402,34670,18214
123,1403,27688,15390
124,1404,36611,17926
125,1405,38116,17464
126,1406,28940,15233
127,1407,29298,16289
128,1408,48827,19651
129,1409,28475,12372
130,1410,31164,16739
131,1411,36434,14798
132,1412,31024,17650
133,1413,38116,17464
134,1414,40217,17478
135,1501,44078,20664
136,1502,43046,20974
137,1503,41221,19255
138,1504,51023,24899
139,1505,42186,20001
140,1506,49116,26409
141,1507,41221,19255
142,1508,51121,24883
143,1509,41005,20110
144,1601,51121,24883
145,1602,63334,33250
146,1603,59724,29342
147,1604,56129,28249
148,1605,61736,30949
149,1606,61265,32900
150,1607,66115,35409
151,1608,64680,33640
152,1609,71178,38212
153,1610,70561,36526
154,1611,66977,34778
155,1612,75170,40910
156,1701,42558,20900
157,1702,53750,25227
158,1703,46601,21944
159,1704,60455,29669
160,1705,39452,19176
161,1706,53983,25907
162,1707,39964,20275
163,1708,50525,22472
164,1709,56676,25181
165,1710,48195,21571
166,1711,62128,31211
167,1712,49538,23480
168,1713,66888,36568
169,1714,54380,30550
170,1801,45453,22956
171,1802,37962,18482
172,1803,42674,17114
173,1804,48985,23850
174,1805,52915,23512
175,1806,50200,22691
176,1807,56488,26340
177,1808,55295,25885
178,1809,70957,33260
179,1810,64535,32378
180,1811,74056,36339
181,1812,67104,33714
182,1813,60208,29178
183,1814,60405,26715
184,1815,63284,27715
185,1816,58345,25882
186,1817,75684,32664
187,1818,64901,30285
188,1819,53780,29908
189,1820,72454,32726
190,1821,40886,18986
191,1822,68604,33259
192,1823,53719,31428
193,1901,81977,47841
194,1902,98988,64931
195,1903,108049,72177
196,1904,80451,45020
197,1905,99488,56708
198,1906,81494,45331
199,1907,76107,36997
200,1908,93631,52486
201,1909,109454,57334
202,1910,61653,30618
203,1911,65864,36036
204,1912,61166,28617
205,1913,64882,33743
206,2001,84732,51237
207,2002,70880,38314
208,2003,74476,37933
209,2004,82037,51862
210,2005,85728,43292
211,2006,106834,55318
212,2007,94722,50019
213,2008,89412,44181
214,2009,62619,33989
215,2010,86392,40616
216,2011,95717,44749
217,2012,96423,47084
218,2013,88916,44714
219,2014,94133,45069
220,2015,60450,33706
221,2016,69685,37604
222,2017,90398,45284
223,2018,96423,47084
224,2019,89407,47060
225,2020,90398,45284
226,2101,26747,64403
227,2102,34894,21716
228,2103,37070,24064
229,2104,35106,26528
230,2105,40278,26168
231,2106,44840,30048
232,2107,38668,28470
233,2108,44138,29745
234,2109,41285,29914
235,2110,38019,29659
236,2111,41256,31741
237,2112,48366,33392
238,2113,48683,30294
239,2114,47320,29775
240,2115,47549,30166
241,2116,51014,28941
242,2201,43024,26225
243,2202,43024,26225
244,2203,47027,30459
245,2204,76220,37248
246,2205,50428,30800
247,2206,49474,31035
248,2207,73615,38015
249,2208,56551,29481
250,2209,50432,29212
251,2210,63386,34562
252,2211,66864,35670
253,2212,60504,34158
254,2213,73615,38015
