,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
132,1611,851.0,410.0,63.0,26.0,81.0,14.0,36.0,77.0,8.0,10.0,7.0,18.0,441.0,0.0,2.0,69.0,16.0,96.0,51.0,18.0,15.0,17.0,0.0
133,1705,1190.0,566.0,12.0,40.0,28.0,42.0,89.0,66.0,53.0,26.0,5.0,5.0,623.0,33.0,33.0,45.0,40.0,92.0,67.0,55.0,67.0,20.0,9.0
134,1708,1728.0,806.0,19.0,61.0,35.0,70.0,140.0,89.0,91.0,29.0,6.0,1.0,922.0,63.0,46.0,57.0,60.0,130.0,79.0,79.0,114.0,25.0,20.0
135,1707,1242.0,552.0,24.0,92.0,29.0,23.0,49.0,64.0,70.0,39.0,9.0,0.0,690.0,14.0,34.0,36.0,53.0,126.0,109.0,83.0,59.0,11.0,4.0
136,1710,1895.0,842.0,32.0,128.0,43.0,42.0,81.0,96.0,123.0,69.0,13.0,1.0,1054.0,22.0,68.0,49.0,80.0,183.0,151.0,133.0,100.0,18.0,6.0
137,1712,908.0,402.0,14.0,45.0,25.0,35.0,41.0,50.0,51.0,37.0,6.0,0.0,507.0,9.0,27.0,27.0,30.0,101.0,70.0,64.0,56.0,6.0,3.0
138,1704,2228.0,990.0,26.0,85.0,60.0,93.0,123.0,117.0,178.0,113.0,18.0,5.0,1238.0,22.0,131.0,48.0,82.0,200.0,127.0,174.0,154.0,20.0,5.0
139,1802,2249.0,1124.0,17.0,100.0,117.0,67.0,116.0,116.0,144.0,96.0,35.0,12.0,1125.0,0.0,81.0,134.0,63.0,171.0,153.0,168.0,89.0,16.0,13.0
140,1821,2885.0,1343.0,9.0,73.0,120.0,97.0,220.0,174.0,192.0,106.0,66.0,1.0,1542.0,62.0,116.0,87.0,64.0,275.0,164.0,247.0,112.0,142.0,13.0
141,1807,1243.0,488.0,1.0,79.0,45.0,41.0,74.0,43.0,83.0,26.0,3.0,0.0,756.0,14.0,46.0,79.0,70.0,91.0,92.0,77.0,30.0,20.0,4.0
142,1808,3377.0,1561.0,76.0,156.0,109.0,126.0,107.0,199.0,262.0,85.0,56.0,9.0,1817.0,22.0,94.0,149.0,107.0,233.0,291.0,243.0,144.0,103.0,17.0
143,1809,883.0,376.0,7.0,67.0,7.0,11.0,39.0,50.0,45.0,20.0,4.0,1.0,509.0,2.0,47.0,12.0,18.0,115.0,63.0,76.0,50.0,14.0,14.0
144,1810,679.0,309.0,19.0,43.0,20.0,0.0,39.0,37.0,31.0,10.0,4.0,0.0,371.0,0.0,45.0,31.0,10.0,77.0,42.0,52.0,32.0,3.0,9.0
145,1811,1051.0,406.0,1.0,38.0,6.0,37.0,41.0,48.0,27.0,7.0,0.0,0.0,644.0,13.0,39.0,66.0,12.0,147.0,77.0,17.0,102.0,79.0,1.0
146,1813,810.0,415.0,13.0,36.0,48.0,8.0,57.0,70.0,54.0,20.0,19.0,4.0,395.0,4.0,23.0,10.0,33.0,71.0,50.0,64.0,24.0,23.0,8.0
147,1814,591.0,283.0,13.0,15.0,19.0,17.0,23.0,40.0,41.0,9.0,5.0,1.0,308.0,1.0,35.0,7.0,8.0,52.0,55.0,44.0,9.0,13.0,2.0
148,1822,989.0,457.0,26.0,16.0,17.0,39.0,23.0,59.0,70.0,11.0,0.0,0.0,532.0,0.0,77.0,13.0,0.0,89.0,106.0,72.0,8.0,19.0,0.0
149,1805,1515.0,698.0,39.0,73.0,38.0,63.0,32.0,86.0,118.0,39.0,25.0,4.0,818.0,11.0,42.0,68.0,41.0,98.0,144.0,107.0,70.0,50.0,7.0
150,1806,1713.0,788.0,44.0,82.0,43.0,71.0,36.0,98.0,133.0,45.0,28.0,5.0,924.0,13.0,47.0,77.0,46.0,110.0,163.0,120.0,80.0,57.0,7.0
