,WARD_PRECINCT_CODE,Year,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,Voter Turnout
119,1310.0,2011.0,1859,933,698,1606.0,1.16
120,1401.0,2011.0,794,366,290,2010.0,0.4
121,1402.0,2011.0,918,358,319,2130.0,0.43
122,1403.0,2011.0,482,166,162,1154.0,0.42
123,1404.0,2011.0,478,190,167,1247.0,0.38
124,1405.0,2011.0,369,119,122,949.0,0.39
125,1406.0,2011.0,382,130,128,927.0,0.41
126,1407.0,2011.0,330,182,128,1118.0,0.3
127,1408.0,2011.0,572,160,183,969.0,0.59
128,1409.0,2011.0,335,165,125,1136.0,0.29
129,1410.0,2011.0,486,210,174,1161.0,0.42
130,1411.0,2011.0,365,111,119,858.0,0.43
131,1412.0,2011.0,239,117,89,645.0,0.37
132,1413.0,2011.0,380,172,138,941.0,0.4
133,1414.0,2011.0,493,207,175,1051.0,0.47
134,1501.0,2011.0,551,253,201,1338.0,0.41
135,1502.0,2011.0,239,145,96,889.0,0.27
136,1503.0,2011.0,241,115,89,583.0,0.41
137,1504.0,2011.0,703,445,287,1662.0,0.42
138,1505.0,2011.0,351,189,135,1089.0,0.32
139,1506.0,2011.0,499,309,202,701.0,0.71
140,1507.0,2011.0,381,163,136,909.0,0.42
141,1508.0,2011.0,400,248,162,856.0,0.47
142,1509.0,2011.0,549,255,201,895.0,0.61
143,1601.0,2011.0,675,265,235,1011.0,0.67
144,1602.0,2011.0,521,295,204,728.0,0.72
145,1603.0,2011.0,756,336,273,1339.0,0.56
146,1604.0,2011.0,732,320,263,1174.0,0.62
147,1605.0,2011.0,1072,460,383,1332.0,0.8
148,1606.0,2011.0,930,478,352,1620.0,0.57
149,1607.0,2011.0,1377,615,498,1181.0,1.17
150,1608.0,2011.0,1393,663,514,1271.0,1.1
151,1609.0,2011.0,1782,998,695,1364.0,1.31
152,1610.0,2011.0,1187,601,447,1187.0,1.0
153,1611.0,2011.0,1581,523,526,1278.0,1.24
154,1612.0,2011.0,1979,1057,759,1239.0,1.6
155,1701.0,2011.0,375,161,134,1047.0,0.36
156,1702.0,2011.0,319,157,119,732.0,0.44
157,1703.0,2011.0,798,318,279,1551.0,0.51
158,1704.0,2011.0,1140,532,418,1706.0,0.67
159,1705.0,2011.0,249,99,87,736.0,0.34
160,1706.0,2011.0,549,279,207,1196.0,0.46
161,1707.0,2011.0,289,123,103,642.0,0.45
162,1708.0,2011.0,493,223,179,1018.0,0.48
163,1709.0,2011.0,661,275,234,830.0,0.8
164,1710.0,2011.0,679,189,217,1432.0,0.47
165,1711.0,2011.0,267,121,97,513.0,0.52
166,1712.0,2011.0,573,247,205,860.0,0.67
167,1713.0,2011.0,1395,453,462,1409.0,0.99
168,1714.0,2011.0,813,251,266,988.0,0.82
169,1801.0,2011.0,822,314,284,1831.0,0.45
170,1802.0,2011.0,659,121,195,1284.0,0.51
171,1803.0,2011.0,870,194,266,1538.0,0.57
172,1804.0,2011.0,656,216,218,1476.0,0.44
173,1805.0,2011.0,851,337,297,1521.0,0.56
174,1806.0,2011.0,907,237,286,1707.0,0.53
175,1807.0,2011.0,672,200,218,1305.0,0.51
176,1808.0,2011.0,1182,386,392,2414.0,0.49
177,1809.0,2011.0,881,323,301,1341.0,0.66
178,1810.0,2011.0,1234,450,421,1938.0,0.64
179,1811.0,2011.0,555,173,182,1247.0,0.45
180,1812.0,2011.0,857,339,299,1396.0,0.61
181,1813.0,2011.0,351,157,127,837.0,0.42
182,1814.0,2011.0,357,111,117,882.0,0.4
183,1815.0,2011.0,611,185,199,1255.0,0.49
184,1816.0,2011.0,1289,591,470,1464.0,0.88
185,1817.0,2011.0,825,295,280,1387.0,0.59
186,1818.0,2011.0,1104,452,389,1748.0,0.63
187,1819.0,2011.0,1178,374,388,2106.0,0.56
188,1820.0,2011.0,1285,523,452,1850.0,0.69
189,1821.0,2011.0,966,294,315,1810.0,0.53
190,1822.0,2011.0,1120,364,371,1528.0,0.73
191,1823.0,2011.0,470,154,156,983.0,0.48
192,1901.0,2011.0,757,223,245,1308.0,0.58
193,1902.0,2011.0,1525,567,523,1552.0,0.98
194,1903.0,2011.0,775,221,249,1082.0,0.72
195,1904.0,2011.0,960,348,327,1505.0,0.64
196,1905.0,2011.0,892,332,306,1334.0,0.67
197,1906.0,2011.0,1227,373,400,1651.0,0.74
198,1907.0,2011.0,1047,345,348,1623.0,0.65
199,1908.0,2011.0,693,223,229,858.0,0.81
200,1909.0,2011.0,537,135,168,803.0,0.67
201,1910.0,2011.0,1022,390,353,1524.0,0.67
202,1911.0,2011.0,372,200,143,1140.0,0.33
203,1912.0,2011.0,910,294,301,957.0,0.95
204,1913.0,2011.0,538,182,180,1047.0,0.51
205,2001.0,2011.0,990,358,337,1366.0,0.72
206,2002.0,2011.0,1154,386,385,1583.0,0.73
207,2003.0,2011.0,935,413,337,1646.0,0.57
208,2004.0,2011.0,983,301,321,1220.0,0.81
209,2005.0,2011.0,1218,478,424,1544.0,0.79
210,2006.0,2011.0,1568,564,533,1614.0,0.97
211,2007.0,2011.0,897,299,299,1003.0,0.89
212,2008.0,2011.0,732,264,249,1055.0,0.69
213,2009.0,2011.0,801,275,269,1206.0,0.66
214,2010.0,2011.0,1554,522,519,1768.0,0.88
215,2011.0,2011.0,717,255,243,767.0,0.93
216,2012.0,2011.0,1005,383,347,989.0,1.02
217,2013.0,2011.0,712,272,246,912.0,0.78
218,2014.0,2011.0,956,412,342,936.0,1.02
219,2015.0,2011.0,988,388,344,1723.0,0.57
220,2016.0,2011.0,1388,476,466,1696.0,0.82
221,2017.0,2011.0,1350,546,474,1777.0,0.76
222,2018.0,2011.0,945,391,334,924.0,1.02
223,2019.0,2011.0,954,338,323,972.0,0.98
224,2020.0,2011.0,1092,404,374,1582.0,0.69
225,2101.0,2011.0,253,71,81,1712.0,0.15
226,2102.0,2011.0,34,10,11,1161.0,0.03
227,2103.0,2011.0,116,32,37,1201.0,0.1
228,2104.0,2011.0,90,42,33,1010.0,0.09
229,2105.0,2011.0,179,29,52,1327.0,0.13
230,2106.0,2011.0,328,112,110,1054.0,0.31
231,2107.0,2011.0,224,72,74,1337.0,0.17
232,2108.0,2011.0,159,37,49,1619.0,0.1
233,2109.0,2011.0,298,58,89,1754.0,0.17
234,2110.0,2011.0,332,140,118,1243.0,0.27
235,2111.0,2011.0,284,88,93,1564.0,0.18
236,2112.0,2011.0,757,143,225,1615.0,0.47
237,2113.0,2011.0,1419,257,419,2014.0,0.7
238,2114.0,2011.0,91,21,28,884.0,0.1
239,2115.0,2011.0,124,28,38,1151.0,0.11
240,2116.0,2011.0,511,105,154,1591.0,0.32
241,2201.0,2011.0,598,182,195,1904.0,0.31
242,2202.0,2011.0,491,189,170,1869.0,0.26
243,2203.0,2011.0,458,186,161,1547.0,0.3
244,2204.0,2011.0,552,164,179,1067.0,0.52
245,2205.0,2011.0,243,109,88,866.0,0.28
246,2206.0,2011.0,233,59,73,917.0,0.25
247,2207.0,2011.0,532,164,174,1365.0,0.39
248,2208.0,2011.0,430,162,148,1265.0,0.34
249,2209.0,2011.0,386,118,126,1302.0,0.3
250,2210.0,2011.0,645,179,206,1504.0,0.43
251,2211.0,2011.0,379,133,128,1005.0,0.38
252,2212.0,2011.0,427,233,165,1064.0,0.4
253,2213.0,2011.0,372,156,132,833.0,0.45
254,101.0,2013.0,1348,1224,643,1236.0,1.09
255,102.0,2013.0,808,920,432,952.0,0.85
256,103.0,2013.0,1801,1655,864,1965.0,0.92
257,104.0,2013.0,499,657,289,655.0,0.76
258,105.0,2013.0,963,865,457,1074.0,0.9
259,106.0,2013.0,775,877,413,915.0,0.85
260,107.0,2013.0,901,935,459,1109.0,0.81
261,108.0,2013.0,1199,1277,619,1618.0,0.74
262,109.0,2013.0,781,843,406,945.0,0.83
263,110.0,2013.0,465,523,247,645.0,0.72
264,111.0,2013.0,1446,1618,766,1345.0,1.08
265,112.0,2013.0,1565,1571,784,1305.0,1.2
266,113.0,2013.0,1702,1982,921,1790.0,0.95
267,114.0,2013.0,938,1094,508,970.0,0.97
268,115.0,2013.0,11,29,10,148.0,0.07
269,201.0,2013.0,2083,1609,923,1943.0,1.07
270,202.0,2013.0,2136,1656,948,2757.0,0.77
271,203.0,2013.0,1864,1180,761,1550.0,1.2
272,204.0,2013.0,1364,1036,600,1478.0,0.92
273,205.0,2013.0,1717,1199,729,1603.0,1.07
274,206.0,2013.0,2232,1808,1010,1989.0,1.12
275,207.0,2013.0,1384,960,586,1348.0,1.03
276,301.0,2013.0,3126,2330,1364,3387.0,0.92
277,302.0,2013.0,1247,949,549,1587.0,0.79
278,303.0,2013.0,1005,883,472,1549.0,0.65
279,304.0,2013.0,1156,1128,571,1643.0,0.7
280,305.0,2013.0,2305,1399,926,2761.0,0.83
281,306.0,2013.0,2629,1795,1106,3957.0,0.66
282,307.0,2013.0,3433,2159,1398,3800.0,0.9
283,308.0,2013.0,2464,2872,1334,4290.0,0.57
284,401.0,2013.0,2049,1203,813,1892.0,1.08
285,402.0,2013.0,2142,1722,966,2897.0,0.74
286,403.0,2013.0,1357,803,540,1270.0,1.07
287,404.0,2013.0,1894,890,696,1929.0,0.98
288,405.0,2013.0,1113,807,480,1594.0,0.7
289,406.0,2013.0,875,685,390,1339.0,0.65
290,407.0,2013.0,841,487,332,1474.0,0.57
291,408.0,2013.0,731,465,299,1529.0,0.48
292,409.0,2013.0,284,344,157,1194.0,0.24
293,410.0,2013.0,203,105,77,840.0,0.24
294,501.0,2013.0,3488,3000,1622,4416.0,0.79
295,502.0,2013.0,557,423,245,1307.0,0.43
296,503.0,2013.0,1741,1127,717,1703.0,1.02
297,504.0,2013.0,1488,1260,687,2219.0,0.67
298,505.0,2013.0,747,561,327,660.0,1.13
299,506.0,2013.0,1468,1052,630,1753.0,0.84
300,507.0,2013.0,1731,1281,753,2185.0,0.79
301,508.0,2013.0,1699,933,658,1974.0,0.86
302,509.0,2013.0,1713,1151,716,2854.0,0.6
303,510.0,2013.0,949,735,421,2180.0,0.44
304,511.0,2013.0,1203,861,516,1200.0,1.0
305,601.0,2013.0,2563,1949,1128,3411.0,0.75
306,602.0,2013.0,993,779,443,1206.0,0.82
307,603.0,2013.0,1430,942,593,1617.0,0.88
308,604.0,2013.0,1519,1025,636,1667.0,0.91
309,605.0,2013.0,1416,1228,661,1537.0,0.92
310,606.0,2013.0,1819,1381,800,1491.0,1.22
311,607.0,2013.0,1501,1219,680,1469.0,1.02
312,608.0,2013.0,1616,1192,702,1494.0,1.08
313,609.0,2013.0,1552,1376,732,1450.0,1.07
314,701.0,2013.0,1478,1138,654,1273.0,1.16
315,702.0,2013.0,1758,1254,753,1704.0,1.03
316,703.0,2013.0,2112,1624,934,1968.0,1.07
317,704.0,2013.0,1607,1185,698,1708.0,0.94
318,705.0,2013.0,1129,839,492,1363.0,0.83
319,706.0,2013.0,921,699,405,1217.0,0.76
320,707.0,2013.0,887,721,402,1114.0,0.8
321,708.0,2013.0,1097,795,473,1064.0,1.03
322,709.0,2013.0,1089,703,448,1111.0,0.98
323,710.0,2013.0,851,817,417,1344.0,0.63
324,801.0,2013.0,637,803,360,1115.0,0.57
325,802.0,2013.0,1516,1072,647,2364.0,0.64
326,803.0,2013.0,656,636,323,1412.0,0.46
327,804.0,2013.0,404,416,205,700.0,0.58
328,805.0,2013.0,839,993,458,1320.0,0.64
329,806.0,2013.0,354,274,157,444.0,0.8
330,807.0,2013.0,577,579,289,943.0,0.61
331,901.0,2013.0,1337,1271,652,1813.0,0.74
332,902.0,2013.0,1653,1171,706,2041.0,0.81
333,903.0,2013.0,1813,1591,851,2962.0,0.61
334,904.0,2013.0,757,903,415,2174.0,0.35
335,905.0,2013.0,1590,1270,715,1992.0,0.8
336,1001.0,2013.0,678,586,316,846.0,0.8
337,1002.0,2013.0,800,360,290,1061.0,0.75
338,1003.0,2013.0,567,365,233,1005.0,0.56
339,1004.0,2013.0,1180,1148,582,1667.0,0.71
340,1005.0,2013.0,888,516,351,1229.0,0.72
341,1006.0,2013.0,743,633,344,1199.0,0.62
342,1007.0,2013.0,850,1014,466,1751.0,0.49
343,1008.0,2013.0,1359,853,553,1703.0,0.8
344,1009.0,2013.0,1891,1069,740,1950.0,0.97
345,1101.0,2013.0,757,523,320,838.0,0.9
346,1102.0,2013.0,1130,994,531,1401.0,0.81
347,1103.0,2013.0,780,724,376,1128.0,0.69
348,1104.0,2013.0,1401,1203,651,1849.0,0.76
349,1105.0,2013.0,1091,1001,523,1424.0,0.77
350,1106.0,2013.0,1159,757,479,1127.0,1.03
351,1107.0,2013.0,1743,993,684,1584.0,1.1
352,1108.0,2013.0,1629,807,609,1550.0,1.05
353,1109.0,2013.0,1274,650,481,936.0,1.36
354,1110.0,2013.0,1400,788,547,1374.0,1.02
355,1201.0,2013.0,1370,862,558,1602.0,0.86
356,1202.0,2013.0,1497,1535,758,2126.0,0.7
357,1203.0,2013.0,790,782,393,1039.0,0.76
358,1204.0,2013.0,748,640,347,1082.0,0.69
359,1205.0,2013.0,554,666,305,784.0,0.71
360,1206.0,2013.0,636,612,312,817.0,0.78
361,1207.0,2013.0,1515,1689,801,2455.0,0.62
362,1208.0,2013.0,460,484,236,780.0,0.59
363,1209.0,2013.0,845,623,367,953.0,0.89
364,1301.0,2013.0,1236,680,479,1357.0,0.91
365,1302.0,2013.0,407,269,169,607.0,0.67
366,1303.0,2013.0,625,639,316,1347.0,0.46
367,1304.0,2013.0,625,551,294,1005.0,0.62
368,1305.0,2013.0,608,736,336,889.0,0.68
369,1306.0,2013.0,1270,966,559,1396.0,0.91
370,1307.0,2013.0,1477,907,596,1382.0,1.07
371,1308.0,2013.0,1236,800,509,1199.0,1.03
372,1309.0,2013.0,1455,897,588,1304.0,1.12
373,1310.0,2013.0,2676,1244,980,1650.0,1.62
374,1401.0,2013.0,1282,1190,618,2329.0,0.55
375,1402.0,2013.0,1349,1463,703,2391.0,0.56
376,1403.0,2013.0,780,580,340,1228.0,0.64
377,1404.0,2013.0,813,767,395,1404.0,0.58
378,1405.0,2013.0,662,670,333,1063.0,0.62
379,1406.0,2013.0,674,622,324,1018.0,0.66
380,1407.0,2013.0,702,658,340,1186.0,0.59
381,1408.0,2013.0,848,888,434,1091.0,0.78
382,1409.0,2013.0,577,739,329,1333.0,0.43
