,Ward/Precint,% Of Total Ballots Cast 2009,Avg. Ballots Cast Per Precinct 2009,Precinct Ballots Cast 2009,% Of Total Ballots Cast 2019,Avg. Ballots Cast Per Precinct 2019,Precinct Ballots Cast 2019,% Change in Income
92,1102,0.004,437.756,405,0.004,263.713,290,0.08
93,1103,0.003,437.756,292,0.002,263.713,166,-0.05
94,1104,0.004,437.756,454,0.005,263.713,330,0.35
95,1105,0.004,437.756,443,0.004,263.713,270,0.16
96,1106,0.003,437.756,380,0.004,263.713,278,0.32
97,1107,0.005,437.756,502,0.005,263.713,330,0.32
98,1108,0.004,437.756,496,0.006,263.713,401,0.42
99,1109,0.004,437.756,393,0.004,263.713,263,0.33
100,1110,0.004,437.756,416,0.005,263.713,311,0.36
101,1201,0.004,437.756,486,0.005,263.713,323,0.03
102,1202,0.005,437.756,610,0.005,263.713,321,0.06
103,1203,0.003,437.756,299,0.003,263.713,185,-0.04
104,1204,0.002,437.756,269,0.003,263.713,177,-0.11
105,1205,0.003,437.756,279,0.003,263.713,173,-0.17
106,1206,0.002,437.756,247,0.002,263.713,164,0.0
107,1207,0.005,437.756,600,0.005,263.713,333,0.29
108,1208,0.002,437.756,186,0.002,263.713,105,-0.01
109,1209,0.003,437.756,296,0.003,263.713,169,0.05
110,1301,0.003,437.756,388,0.003,263.713,199,0.09
111,1302,0.001,437.756,114,0.001,263.713,64,0.22
112,1303,0.003,437.756,287,0.002,263.713,139,0.43
113,1304,0.002,437.756,242,0.002,263.713,135,0.44
114,1305,0.002,437.756,250,0.002,263.713,136,0.36
115,1306,0.004,437.756,399,0.003,263.713,211,0.36
116,1307,0.004,437.756,421,0.004,263.713,237,0.43
117,1308,0.003,437.756,347,0.003,263.713,201,0.43
118,1309,0.004,437.756,411,0.003,263.713,210,0.36
119,1310,0.007,437.756,755,0.007,263.713,477,0.34
120,1401,0.004,437.756,435,0.004,263.713,238,0.25
121,1402,0.005,437.756,577,0.004,263.713,294,0.33
122,1403,0.003,437.756,307,0.002,263.713,130,0.15
123,1404,0.003,437.756,375,0.002,263.713,135,0.09
124,1405,0.002,437.756,245,0.002,263.713,134,0.33
125,1406,0.003,437.756,289,0.002,263.713,116,0.19
126,1407,0.003,437.756,295,0.002,263.713,119,0.17
127,1408,0.003,437.756,336,0.003,263.713,178,0.14
128,1409,0.002,437.756,240,0.001,263.713,98,0.28
129,1410,0.003,437.756,336,0.002,263.713,152,0.28
