,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
0,0102,2633.0,1272.0,21.0,32.0,0.0,60.0,183.0,186.0,110.0,79.0,139.0,89.0,24.0,23.0,9.0,11.0,6.0,1360.0,150.0,38.0,59.0,39.0,56.0
1,0105,4018.0,2399.0,24.0,8.0,23.0,127.0,251.0,415.0,246.0,182.0,182.0,126.0,151.0,49.0,12.0,0.0,3.0,1617.0,81.0,84.0,182.0,84.0,10.0
2,0203,1519.0,687.0,6.0,0.0,2.0,7.0,84.0,108.0,68.0,41.0,34.0,44.0,32.0,17.0,11.0,11.0,3.0,833.0,88.0,44.0,16.0,6.0,3.0
3,0205,1679.0,744.0,3.0,0.0,0.0,16.0,103.0,138.0,80.0,43.0,49.0,40.0,37.0,14.0,12.0,6.0,0.0,936.0,128.0,79.0,20.0,0.0,7.0
4,0204,1927.0,853.0,7.0,0.0,0.0,14.0,106.0,146.0,90.0,47.0,50.0,49.0,48.0,18.0,12.0,6.0,0.0,1076.0,146.0,84.0,30.0,6.0,7.0
5,0206,1506.0,693.0,9.0,1.0,0.0,20.0,80.0,105.0,65.0,49.0,56.0,45.0,43.0,9.0,12.0,3.0,8.0,813.0,94.0,70.0,23.0,0.0,4.0
6,0303,2799.0,1413.0,2.0,6.0,14.0,130.0,502.0,261.0,81.0,52.0,13.0,48.0,78.0,28.0,30.0,22.0,3.0,1386.0,19.0,42.0,21.0,0.0,3.0
7,0304,2041.0,1068.0,5.0,25.0,51.0,77.0,320.0,252.0,67.0,43.0,20.0,20.0,40.0,19.0,27.0,3.0,4.0,972.0,8.0,31.0,28.0,2.0,1.0
8,0307,4372.0,2210.0,29.0,17.0,17.0,74.0,273.0,253.0,97.0,166.0,225.0,149.0,126.0,71.0,38.0,0.0,69.0,2161.0,73.0,96.0,172.0,37.0,64.0
9,0402,4937.0,2106.0,6.0,37.0,3.0,39.0,320.0,286.0,245.0,165.0,94.0,122.0,154.0,144.0,50.0,34.0,5.0,2831.0,91.0,43.0,22.0,12.0,48.0
10,0401,2113.0,968.0,6.0,4.0,0.0,28.0,97.0,125.0,118.0,58.0,89.0,76.0,60.0,56.0,22.0,11.0,13.0,1144.0,70.0,47.0,50.0,5.0,2.0
11,0403,1574.0,714.0,3.0,3.0,0.0,18.0,98.0,69.0,91.0,48.0,49.0,45.0,50.0,48.0,11.0,9.0,6.0,862.0,50.0,37.0,33.0,5.0,4.0
12,0405,2689.0,1448.0,208.0,69.0,156.0,115.0,309.0,130.0,47.0,44.0,30.0,49.0,39.0,15.0,27.0,22.0,13.0,1242.0,19.0,25.0,22.0,0.0,98.0
13,0406,2689.0,1407.0,123.0,102.0,134.0,126.0,279.0,86.0,98.0,44.0,51.0,66.0,33.0,14.0,34.0,29.0,15.0,1282.0,8.0,12.0,10.0,0.0,99.0
14,0404,2196.0,1025.0,1.0,0.0,32.0,20.0,230.0,192.0,79.0,59.0,80.0,29.0,52.0,78.0,3.0,1.0,1.0,1170.0,25.0,8.0,29.0,0.0,0.0
15,0408,6614.0,3041.0,1191.0,383.0,339.0,387.0,207.0,92.0,71.0,14.0,56.0,52.0,57.0,22.0,45.0,9.0,15.0,3572.0,0.0,32.0,3.0,5.0,1291.0
16,0409,5252.0,2450.0,822.0,349.0,204.0,307.0,204.0,66.0,28.0,15.0,61.0,55.0,50.0,34.0,18.0,14.0,15.0,2802.0,21.0,31.0,31.0,28.0,996.0
17,0504,2075.0,1022.0,15.0,0.0,6.0,46.0,369.0,169.0,54.0,42.0,10.0,17.0,90.0,26.0,50.0,12.0,7.0,1052.0,15.0,11.0,17.0,6.0,0.0
18,0503,2846.0,1361.0,6.0,0.0,6.0,36.0,218.0,280.0,63.0,80.0,56.0,63.0,97.0,65.0,19.0,48.0,0.0,1486.0,19.0,52.0,60.0,0.0,1.0
19,0501,6621.0,3123.0,176.0,58.0,19.0,108.0,271.0,480.0,181.0,117.0,300.0,211.0,324.0,103.0,103.0,63.0,71.0,3497.0,171.0,45.0,46.0,51.0,205.0
20,0902,2763.0,1082.0,1.0,13.0,17.0,34.0,102.0,175.0,98.0,107.0,99.0,40.0,65.0,49.0,30.0,13.0,4.0,1682.0,40.0,61.0,100.0,71.0,53.0
21,0901,2778.0,1381.0,19.0,10.0,2.0,50.0,188.0,183.0,72.0,115.0,130.0,81.0,70.0,39.0,20.0,0.0,63.0,1396.0,53.0,63.0,122.0,16.0,49.0
22,0502,3801.0,1852.0,44.0,65.0,52.0,226.0,429.0,374.0,122.0,129.0,77.0,29.0,13.0,49.0,0.0,0.0,30.0,1948.0,34.0,62.0,21.0,0.0,86.0
23,0603,1451.0,690.0,0.0,0.0,0.0,13.0,204.0,123.0,49.0,71.0,27.0,36.0,42.0,10.0,33.0,0.0,7.0,760.0,35.0,1.0,20.0,1.0,1.0
24,0605,2175.0,1128.0,1.0,13.0,2.0,78.0,291.0,222.0,75.0,41.0,120.0,25.0,46.0,10.0,6.0,3.0,5.0,1047.0,79.0,0.0,18.0,22.0,11.0
25,0606,1846.0,790.0,0.0,3.0,0.0,42.0,126.0,256.0,74.0,25.0,34.0,10.0,12.0,3.0,5.0,10.0,18.0,1057.0,47.0,0.0,12.0,15.0,0.0
26,0602,2518.0,1123.0,20.0,5.0,7.0,37.0,204.0,142.0,65.0,85.0,31.0,58.0,47.0,17.0,44.0,6.0,13.0,1395.0,65.0,35.0,86.0,34.0,25.0
27,0608,1566.0,793.0,3.0,2.0,3.0,31.0,214.0,147.0,45.0,42.0,57.0,30.0,41.0,15.0,15.0,9.0,6.0,772.0,39.0,22.0,10.0,13.0,17.0
28,0702,1935.0,888.0,3.0,8.0,0.0,23.0,211.0,180.0,120.0,46.0,12.0,37.0,35.0,27.0,15.0,6.0,9.0,1046.0,23.0,5.0,4.0,5.0,0.0
29,0706,1470.0,789.0,5.0,1.0,14.0,61.0,155.0,89.0,63.0,49.0,23.0,35.0,33.0,29.0,14.0,1.0,4.0,680.0,53.0,50.0,18.0,7.0,0.0
30,0805,2066.0,1110.0,23.0,9.0,50.0,110.0,138.0,46.0,65.0,76.0,91.0,52.0,40.0,23.0,8.0,13.0,12.0,955.0,40.0,33.0,44.0,33.0,72.0
31,0803,2612.0,1328.0,41.0,9.0,3.0,105.0,170.0,122.0,57.0,74.0,65.0,66.0,56.0,27.0,42.0,33.0,1.0,1286.0,94.0,68.0,52.0,51.0,3.0
32,1201,2933.0,1253.0,60.0,9.0,54.0,61.0,121.0,94.0,33.0,73.0,87.0,51.0,58.0,30.0,11.0,36.0,3.0,1680.0,119.0,86.0,71.0,90.0,32.0
33,0905,4112.0,1892.0,292.0,157.0,144.0,260.0,127.0,56.0,39.0,62.0,111.0,76.0,104.0,31.0,28.0,14.0,1.0,2221.0,50.0,82.0,109.0,36.0,399.0
34,1002,2235.0,1244.0,140.0,82.0,112.0,309.0,204.0,55.0,45.0,14.0,43.0,23.0,29.0,23.0,10.0,8.0,3.0,992.0,15.0,15.0,16.0,14.0,98.0
35,1001,1165.0,621.0,129.0,52.0,37.0,105.0,85.0,26.0,16.0,6.0,27.0,16.0,13.0,10.0,6.0,4.0,1.0,544.0,12.0,14.0,15.0,9.0,90.0
36,0904,4161.0,1989.0,344.0,180.0,103.0,204.0,145.0,63.0,46.0,58.0,98.0,73.0,62.0,36.0,31.0,31.0,5.0,2171.0,117.0,98.0,97.0,30.0,396.0
37,0903,4904.0,2183.0,45.0,52.0,79.0,211.0,222.0,236.0,149.0,128.0,157.0,114.0,113.0,101.0,15.0,28.0,14.0,2723.0,253.0,140.0,185.0,62.0,94.0
38,0804,1420.0,719.0,24.0,9.0,0.0,51.0,59.0,45.0,20.0,48.0,26.0,31.0,22.0,21.0,31.0,28.0,0.0,701.0,48.0,50.0,29.0,25.0,0.0
39,0806,2151.0,1237.0,37.0,2.0,28.0,136.0,202.0,86.0,79.0,64.0,102.0,71.0,49.0,23.0,20.0,9.0,5.0,913.0,27.0,32.0,49.0,39.0,47.0
40,0709,1359.0,744.0,1.0,1.0,4.0,42.0,176.0,68.0,69.0,50.0,30.0,50.0,38.0,22.0,4.0,22.0,1.0,614.0,12.0,12.0,19.0,14.0,3.0
41,0710,2740.0,1417.0,20.0,29.0,66.0,113.0,124.0,83.0,113.0,106.0,83.0,76.0,58.0,20.0,4.0,9.0,22.0,1325.0,62.0,65.0,88.0,25.0,79.0
42,0807,967.0,520.0,14.0,1.0,12.0,49.0,86.0,39.0,27.0,29.0,39.0,24.0,24.0,9.0,8.0,7.0,2.0,447.0,25.0,14.0,18.0,22.0,19.0
43,1006,2640.0,1152.0,9.0,19.0,46.0,45.0,145.0,170.0,85.0,41.0,25.0,31.0,105.0,45.0,2.0,22.0,4.0,1489.0,52.0,111.0,77.0,43.0,23.0
44,1003,2232.0,1270.0,7.0,57.0,165.0,360.0,236.0,60.0,60.0,32.0,29.0,24.0,41.0,22.0,9.0,10.0,9.0,963.0,6.0,6.0,3.0,18.0,34.0
45,1101,1892.0,886.0,34.0,7.0,49.0,165.0,57.0,57.0,31.0,35.0,57.0,58.0,85.0,31.0,13.0,4.0,2.0,1006.0,36.0,30.0,54.0,42.0,10.0
46,1007,2565.0,1192.0,12.0,3.0,11.0,60.0,190.0,190.0,83.0,57.0,47.0,45.0,89.0,23.0,17.0,11.0,11.0,1373.0,65.0,72.0,74.0,26.0,28.0
47,1209,2182.0,976.0,31.0,9.0,9.0,29.0,101.0,100.0,45.0,59.0,19.0,52.0,45.0,24.0,14.0,36.0,21.0,1205.0,47.0,77.0,85.0,57.0,12.0
48,1103,1828.0,728.0,33.0,9.0,7.0,52.0,46.0,93.0,24.0,32.0,15.0,47.0,75.0,17.0,25.0,2.0,5.0,1099.0,38.0,63.0,111.0,28.0,33.0
