,WARD_PRECI,Total,Non-Hispanic/Latino,Hispanic/Latino
0,0102,2671.0,1180.0,1490.0
1,0105,3807.0,1099.0,2707.0
2,0203,1440.0,1311.0,128.0
3,0205,1549.0,1493.0,54.0
4,0204,1788.0,1641.0,148.0
5,0206,1350.0,1289.0,60.0
6,0303,2994.0,2858.0,138.0
7,0304,2011.0,1837.0,175.0
8,0307,4288.0,3453.0,834.0
9,0402,4956.0,4674.0,283.0
10,0401,2042.0,1961.0,83.0
11,0403,1611.0,1530.0,83.0
12,0405,2648.0,2340.0,308.0
13,0406,2733.0,2392.0,342.0
14,0404,2243.0,2010.0,233.0
15,0408,6612.0,5926.0,686.0
16,0409,4967.0,4146.0,820.0
17,0504,2198.0,2028.0,170.0
18,0503,2541.0,2515.0,25.0
19,0501,6322.0,5968.0,354.0
20,0902,2797.0,2300.0,497.0
21,0901,2806.0,2349.0,457.0
22,0502,3530.0,3037.0,492.0
23,0603,1523.0,1467.0,56.0
24,0605,2055.0,1980.0,76.0
25,0606,1695.0,1666.0,29.0
26,0602,2629.0,2089.0,540.0
27,0608,1713.0,1691.0,22.0
28,0702,1829.0,1778.0,51.0
29,0706,1409.0,1069.0,339.0
30,0805,1867.0,1408.0,460.0
31,0803,2559.0,1752.0,805.0
32,1201,2723.0,2079.0,641.0
33,0905,4306.0,3616.0,690.0
34,1002,2183.0,1840.0,342.0
35,1001,1053.0,787.0,265.0
36,0904,4191.0,3004.0,1187.0
37,0903,4714.0,3116.0,1597.0
38,0804,1382.0,890.0,492.0
39,0806,2022.0,1543.0,479.0
40,0709,1561.0,1295.0,265.0
41,0710,2649.0,1921.0,729.0
42,0807,896.0,670.0,226.0
43,1006,2506.0,1471.0,1035.0
44,1003,2288.0,2094.0,194.0
45,1101,1952.0,1450.0,502.0
46,1007,2307.0,1292.0,1015.0
47,1209,1890.0,1366.0,524.0
48,1103,1535.0,1018.0,516.0
49,1105,1946.0,1205.0,740.0
50,1106,1964.0,1298.0,667.0
51,1107,2356.0,1548.0,810.0
52,1104,3403.0,2043.0,1359.0
53,1206,1612.0,1208.0,404.0
54,1204,2099.0,1493.0,605.0
55,1205,910.0,733.0,177.0
56,1301,2418.0,1630.0,785.0
57,1306,1940.0,1520.0,419.0
58,1308,2167.0,2012.0,153.0
59,1304,2074.0,1391.0,683.0
60,1302,1048.0,703.0,346.0
61,1307,1496.0,1349.0,147.0
62,1309,2365.0,2061.0,305.0
63,1305,1718.0,1247.0,472.0
64,1401,5344.0,3777.0,1566.0
65,1406,1816.0,1423.0,392.0
66,1404,2614.0,1953.0,661.0
67,1403,2156.0,1605.0,550.0
68,1503,1275.0,1098.0,177.0
69,1501,2920.0,2330.0,590.0
70,1502,1673.0,1393.0,281.0
71,1504,3225.0,2704.0,522.0
72,1505,2213.0,1601.0,612.0
73,1507,1542.0,1197.0,345.0
74,1508,1659.0,1240.0,418.0
75,1506,1447.0,1326.0,121.0
76,1509,2259.0,1819.0,440.0
77,1009,2345.0,1648.0,695.0
78,1908,1013.0,943.0,70.0
79,1906,2418.0,2094.0,323.0
80,1901,1694.0,1504.0,190.0
81,2104,1713.0,1293.0,420.0
82,2105,2965.0,2645.0,320.0
83,2107,2090.0,1835.0,255.0
84,2108,2359.0,2120.0,239.0
85,2106,1891.0,1663.0,227.0
86,2110,1543.0,1406.0,137.0
87,2115,1069.0,1007.0,61.0
88,2202,2741.0,2093.0,648.0
89,2203,2772.0,2429.0,342.0
90,2207,1806.0,1656.0,149.0
91,2213,1248.0,1145.0,104.0
92,2204,1491.0,1402.0,89.0
93,2210,2121.0,1863.0,258.0
94,1108,3098.0,2109.0,988.0
95,0705,3050.0,2707.0,345.0
96,2209,1307.0,1143.0,166.0
97,2111,2470.0,2295.0,176.0
98,2113,3139.0,2926.0,214.0
99,2206,1157.0,1040.0,115.0
100,2109,3552.0,3057.0,496.0
101,2101,3550.0,3202.0,349.0
102,1005,2988.0,2532.0,454.0
103,0704,2087.0,1740.0,347.0
104,0708,2874.0,2374.0,499.0
105,1203,1060.0,895.0,165.0
106,1202,3010.0,2269.0,743.0
107,1102,2249.0,1483.0,767.0
108,1904,2155.0,1706.0,450.0
109,1905,1613.0,1415.0,198.0
110,1903,1825.0,1614.0,212.0
111,1402,4401.0,3317.0,1085.0
112,1407,2148.0,1554.0,593.0
113,1409,2041.0,1479.0,562.0
114,1413,1681.0,1470.0,210.0
115,1412,1114.0,870.0,243.0
116,1410,3152.0,2345.0,805.0
117,1405,1884.0,1666.0,219.0
118,1414,2555.0,2001.0,554.0
119,1601,1613.0,1500.0,115.0
120,1701,2233.0,1819.0,415.0
121,1702,1569.0,1109.0,460.0
122,1607,2365.0,2131.0,233.0
123,1605,1826.0,1677.0,148.0
124,1603,1958.0,1675.0,283.0
125,1609,1154.0,1126.0,28.0
126,1706,1765.0,1588.0,178.0
127,1709,1901.0,1609.0,293.0
128,1711,852.0,756.0,95.0
129,1604,1361.0,1238.0,123.0
130,1606,1868.0,1714.0,153.0
131,1608,1178.0,1175.0,2.0
132,1611,2726.0,2716.0,10.0
133,1705,1684.0,1438.0,247.0
134,1708,2676.0,2258.0,417.0
135,1707,1453.0,1301.0,151.0
136,1710,2345.0,2097.0,246.0
137,1712,1227.0,1115.0,111.0
138,1704,3287.0,2945.0,342.0
139,1802,2622.0,2163.0,459.0
140,1821,3132.0,2763.0,369.0
141,1807,3264.0,2269.0,995.0
142,1808,5009.0,3982.0,1026.0
143,1809,2406.0,1687.0,719.0
144,1810,3046.0,2242.0,804.0
145,1811,2089.0,1584.0,504.0
146,1813,1428.0,1022.0,406.0
147,1814,1450.0,1009.0,443.0
148,1822,2789.0,1916.0,872.0
149,1805,2027.0,1694.0,333.0
150,1806,2291.0,1915.0,376.0
151,1815,2334.0,1672.0,662.0
152,1819,3637.0,2980.0,658.0
153,1911,1794.0,1304.0,491.0
154,1913,1874.0,1296.0,578.0
155,1912,1354.0,977.0,377.0
156,2004,1688.0,1554.0,134.0
157,2009,2371.0,2002.0,369.0
158,2007,1436.0,1337.0,98.0
159,2019,958.0,913.0,46.0
160,2006,2539.0,2419.0,120.0
161,2020,1740.0,1672.0,68.0
162,2013,911.0,867.0,44.0
163,2016,2011.0,1895.0,117.0
164,2010,2534.0,2311.0,222.0
165,2005,3791.0,3461.0,331.0
166,1703,3128.0,2750.0,379.0
167,1110,1334.0,957.0,377.0
168,1109,1235.0,968.0,267.0
169,1902,2415.0,2292.0,122.0
170,2017,4605.0,4432.0,171.0
171,2015,2294.0,1939.0,355.0
172,1910,2988.0,2097.0,892.0
173,1801,3398.0,2675.0,723.0
174,1714,1504.0,1407.0,98.0
175,1804,2557.0,2078.0,477.0
176,2012,1657.0,1573.0,84.0
177,2014,1436.0,1352.0,84.0
178,1820,3278.0,2510.0,767.0
179,2018,1363.0,1294.0,69.0
180,2001,1816.0,1673.0,143.0
181,1207,4298.0,2963.0,1330.0
182,1411,2208.0,1623.0,585.0
183,1907,4384.0,3166.0,1219.0
184,1803,3360.0,2981.0,380.0
185,1408,1951.0,1479.0,473.0
186,1909,1130.0,948.0,181.0
187,1208,1498.0,1074.0,423.0
188,0207,1792.0,1742.0,50.0
189,0202,3455.0,2613.0,842.0
190,0306,7112.0,6525.0,585.0
191,0302,2093.0,2061.0,33.0
192,2103,2584.0,2191.0,393.0
193,2114,1054.0,971.0,82.0
194,2201,8534.0,7137.0,1396.0
195,2205,1431.0,1158.0,272.0
196,2212,2253.0,1834.0,419.0
197,2211,2085.0,1892.0,193.0
198,2208,2732.0,2492.0,240.0
199,2116,6154.0,5694.0,459.0
200,2112,1993.0,1837.0,155.0
201,0510,5344.0,4734.0,611.0
202,2102,4209.0,3745.0,465.0
203,1310,2819.0,2545.0,276.0
204,1303,2648.0,2089.0,560.0
205,1610,1439.0,1396.0,41.0
206,1713,2675.0,2638.0,37.0
207,1612,2304.0,2249.0,56.0
208,1602,4031.0,3756.0,275.0
209,0604,2133.0,2054.0,77.0
210,0607,2308.0,2228.0,80.0
211,0701,2217.0,2186.0,31.0
212,0609,2225.0,2169.0,57.0
213,0707,2290.0,1276.0,1014.0
214,0703,2755.0,2666.0,89.0
215,0308,8020.0,7573.0,448.0
216,0801,2945.0,2306.0,638.0
217,0601,4903.0,4360.0,544.0
218,0305,4555.0,4086.0,469.0
219,0201,3514.0,3286.0,230.0
220,0108,2829.0,1009.0,1821.0
221,0103,3433.0,1494.0,1941.0
222,0106,3690.0,1057.0,2633.0
223,0109,1806.0,553.0,1253.0
224,0107,3450.0,1062.0,2387.0
225,0101,1139.0,670.0,467.0
226,0114,1358.0,804.0,554.0
227,0112,2295.0,1362.0,931.0
228,0511,2065.0,1966.0,97.0
229,0505,1053.0,1044.0,10.0
230,0110,2662.0,773.0,1889.0
