,WARD_PRECI,Median Household Income,Per Capita Income
0,101,93699,52756
1,102,81150,46397
2,103,72098,43693
3,104,70361,41089
4,105,76775,40514
5,106,55989,30036
6,107,48738,28996
7,108,56037,28604
8,109,55571,30377
9,110,73488,41073
10,111,79438,50653
11,112,81197,45081
12,113,61660,32333
13,114,61660,32333
14,115,0,8930
15,201,112741,74470
16,202,87660,68340
17,203,119741,73158
18,204,100823,70290
19,205,134370,75792
20,206,134370,75792
21,207,105905,75038
22,301,120311,107432
23,302,104441,85982
24,303,111813,93927
25,304,109571,85877
26,305,103671,81508
27,306,109913,93346
28,307,86173,84509
29,308,71872,64531
30,401,118360,109634
31,402,112658,110534
32,403,113051,102348
33,404,101041,96783
34,405,70496,70321
35,406,58412,70874
36,407,32806,39053
37,408,29437,18938
38,409,25456,23031
39,410,36321,27148
40,501,89603,93688
41,502,49867,39153
42,502,55561,54435
43,503,115506,102043
44,504,106211,96740
45,505,120922,114882
46,506,135261,125426
47,507,134231,127709
48,508,125362,127447
49,509,74989,78658
50,510,48910,48122
51,511,112005,102578
52,601,112993,70201
53,602,99368,73710
54,603,99368,73710
55,604,137604,75229
56,605,136173,59090
57,606,137045,68900
58,607,136311,63296
59,608,136311,72798
60,609,136448,54833
61,701,135860,69054
62,702,137045,68900
63,703,86903,49614
64,704,99450,57912
65,705,72876,47150
66,706,80478,54498
67,707,76308,48616
68,708,68012,44479
69,709,56207,27835
70,710,58833,30732
71,801,71383,64634
72,802,59958,54079
73,803,41273,26325
74,804,26271,18078
75,805,41507,21649
76,806,41132,18815
77,807,38902,20407
78,901,82912,84833
79,902,59607,59215
80,903,38816,35953
81,904,26942,17222
82,905,32150,22127
83,1001,41014,22456
84,1002,45979,26700
85,1003,46722,26688
86,1004,44802,45637
87,1005,42066,26010
88,1006,66026,39754
89,1007,55240,32903
90,1008,52792,44308
91,1009,90651,55353
92,1101,36200,25524
93,1102,35196,25133
94,1103,26812,21020
95,1104,42976,27073
96,1105,46111,23093
97,1106,93900,54449
98,1107,93900,42365
99,1108,79840,36344
100,1109,96105,59077
101,1110,93882,53865
102,1201,32847,21290
103,1202,30977,21202
104,1203,32131,22018
105,1204,37689,21837
106,1205,29964,22820
107,1206,32949,21392
108,1207,43014,24008
109,1208,26390,21396
110,1209,31982,22770
111,1301,38737,20908
112,1302,43819,23245
113,1303,58290,35816
114,1304,38371,22876
115,1305,56838,30687
116,1306,80203,43466
117,1307,80870,41771
118,1308,80870,41771
119,1309,80203,43466
120,1310,68510,40337
121,1401,39059,21204
122,1402,41258,21238
123,1403,30475,17842
124,1404,41265,20694
125,1405,49674,21150
126,1406,31514,18256
127,1407,32148,19148
128,1408,55052,26458
129,1409,31125,13871
130,1410,38506,19137
131,1411,42190,16864
132,1412,40964,19163
133,1413,49674,21150
134,1414,44658,19682
135,1501,50218,27557
136,1502,45986,21612
137,1503,43634,21328
138,1504,62924,35075
139,1505,48793,22455
140,1506,66121,37548
141,1507,43634,21328
142,1508,61682,29568
143,1509,52620,25340
144,1601,61682,29568
145,1602,80646,40098
146,1603,65798,31753
147,1604,66084,32348
148,1605,74545,39435
149,1606,75335,38235
150,1607,81877,44120
151,1608,78464,39580
152,1609,88309,47496
153,1610,87912,46983
154,1611,85165,42612
155,1612,92214,51571
156,1701,51088,24644
157,1702,64448,29044
158,1703,55574,26348
159,1704,74014,35720
160,1705,45855,23153
161,1706,62355,29224
162,1707,48372,23606
163,1708,58805,26472
164,1709,64054,28012
165,1710,57703,24410
166,1711,72536,35019
167,1712,64126,29638
168,1713,88108,45780
169,1714,75388,38756
170,1801,62769,30977
171,1802,50235,23176
172,1803,51424,23039
173,1804,65898,32184
174,1805,63464,30750
175,1806,62995,28518
176,1807,64615,31883
177,1808,68250,29414
178,1809,89091,37618
179,1810,81419,36191
180,1811,90589,42773
181,1812,91770,38132
182,1813,79539,33804
183,1814,72870,28962
184,1815,73965,31560
185,1816,69653,31704
186,1817,79156,37636
187,1818,80374,35657
188,1819,74205,32506
189,1820,89906,36478
190,1821,53553,24849
191,1822,85034,37767
192,1823,76008,32026
193,1901,97945,57549
194,1902,120540,62843
195,1903,125502,70770
196,1904,97049,54066
197,1905,131678,73223
198,1906,108603,60066
199,1907,91393,45773
200,1908,121445,67982
201,1909,131452,68075
202,1910,74459,34968
203,1911,85977,40854
204,1912,67342,34668
205,1913,78620,38277
206,2001,106617,56043
207,2002,91077,44560
208,2003,82101,41490
209,2004,106222,50167
210,2005,98071,50346
211,2006,121629,58458
212,2007,112071,56193
213,2008,108026,54013
214,2009,75216,38530
215,2010,95885,50012
216,2011,109888,55088
217,2012,115839,55707
218,2013,105139,53392
219,2014,101616,50283
220,2015,65367,37208
221,2016,71418,42305
222,2017,112138,53914
223,2018,115839,55707
224,2019,110429,56582
225,2020,112138,53914
226,2101,41606,52045
227,2102,48606,28655
228,2103,55629,33342
229,2104,52119,35559
230,2105,58035,37010
231,2106,68759,38982
232,2107,57241,38433
233,2108,64363,40445
234,2109,66070,40324
235,2110,60712,39468
236,2111,62478,41689
237,2112,68195,45786
238,2113,76024,41517
239,2114,67282,40684
240,2115,73729,41071
241,2116,77920,41378
242,2201,68858,34549
243,2202,68858,34549
244,2203,74973,39882
245,2204,114402,52532
246,2205,79751,40896
247,2206,74761,38585
248,2207,107462,49722
249,2208,87159,41784
250,2209,78010,38142
251,2210,92347,44440
252,2211,97798,43252
253,2212,87962,41217
254,2213,107462,49722
