,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
229,0505,1053.0,511.0,0.0,0.0,3.0,18.0,82.0,99.0,31.0,39.0,15.0,34.0,21.0,40.0,8.0,6.0,0.0,543.0,32.0,20.0,19.0,5.0,0.0
230,0110,2662.0,1542.0,32.0,39.0,23.0,74.0,163.0,211.0,143.0,154.0,67.0,145.0,73.0,24.0,11.0,10.0,3.0,1120.0,73.0,118.0,49.0,45.0,20.0
231,0111,1869.0,959.0,7.0,28.0,25.0,60.0,144.0,77.0,64.0,51.0,79.0,62.0,48.0,0.0,12.0,27.0,9.0,910.0,74.0,29.0,30.0,28.0,18.0
232,1004,1580.0,723.0,27.0,43.0,61.0,114.0,93.0,21.0,51.0,56.0,26.0,25.0,26.0,12.0,15.0,6.0,5.0,856.0,21.0,88.0,32.0,16.0,13.0
233,0802,4515.0,2517.0,17.0,14.0,13.0,184.0,529.0,300.0,187.0,324.0,237.0,138.0,82.0,58.0,66.0,57.0,18.0,1998.0,129.0,45.0,85.0,5.0,32.0
234,2011,1021.0,478.0,8.0,2.0,1.0,10.0,18.0,42.0,35.0,37.0,45.0,48.0,42.0,14.0,7.0,2.0,10.0,540.0,36.0,23.0,39.0,24.0,4.0
235,2008,1724.0,812.0,5.0,1.0,15.0,3.0,69.0,85.0,94.0,67.0,70.0,49.0,26.0,14.0,8.0,19.0,24.0,913.0,53.0,70.0,56.0,31.0,28.0
236,0410,6650.0,2548.0,691.0,323.0,227.0,367.0,237.0,78.0,91.0,83.0,54.0,46.0,39.0,29.0,21.0,7.0,11.0,4103.0,29.0,121.0,44.0,43.0,1344.0
237,0407,2825.0,1430.0,328.0,150.0,115.0,193.0,194.0,62.0,52.0,40.0,35.0,35.0,72.0,17.0,15.0,15.0,6.0,1395.0,11.0,12.0,1.0,9.0,388.0
238,1008,2943.0,1541.0,26.0,64.0,55.0,112.0,288.0,177.0,156.0,30.0,57.0,86.0,56.0,30.0,23.0,33.0,41.0,1402.0,71.0,46.0,9.0,24.0,45.0
239,0301,1775.0,929.0,21.0,8.0,4.0,78.0,163.0,124.0,56.0,57.0,70.0,45.0,71.0,37.0,21.0,30.0,15.0,846.0,16.0,11.0,8.0,3.0,36.0
240,0507,2587.0,1152.0,42.0,26.0,22.0,37.0,182.0,153.0,101.0,47.0,61.0,28.0,76.0,64.0,36.0,27.0,7.0,1435.0,21.0,29.0,18.0,19.0,89.0
241,0508,2846.0,1379.0,138.0,30.0,35.0,92.0,252.0,182.0,96.0,93.0,95.0,81.0,51.0,21.0,39.0,6.0,5.0,1467.0,47.0,11.0,14.0,9.0,64.0
242,0506,2611.0,1168.0,41.0,26.0,22.0,38.0,183.0,158.0,101.0,49.0,63.0,31.0,76.0,65.0,35.0,27.0,6.0,1443.0,22.0,30.0,18.0,18.0,86.0
243,0509,4156.0,1953.0,248.0,102.0,64.0,134.0,342.0,226.0,123.0,106.0,103.0,100.0,85.0,31.0,41.0,21.0,15.0,2202.0,43.0,19.0,20.0,8.0,207.0
244,1812,2560.0,1223.0,1.0,24.0,18.0,99.0,125.0,134.0,25.0,72.0,165.0,109.0,51.0,22.0,14.0,43.0,4.0,1338.0,82.0,77.0,132.0,53.0,0.0
245,1823,1569.0,628.0,6.0,19.0,10.0,26.0,60.0,19.0,40.0,27.0,47.0,44.0,41.0,9.0,0.0,5.0,9.0,940.0,159.0,62.0,24.0,45.0,4.0
246,2003,3757.0,1560.0,12.0,49.0,20.0,68.0,137.0,51.0,102.0,71.0,116.0,91.0,112.0,33.0,5.0,18.0,38.0,2195.0,323.0,139.0,58.0,91.0,11.0
247,1816,3300.0,1602.0,80.0,35.0,9.0,45.0,72.0,74.0,96.0,174.0,153.0,72.0,114.0,30.0,42.0,17.0,19.0,1699.0,100.0,74.0,124.0,30.0,35.0
248,1817,2356.0,1144.0,55.0,25.0,7.0,37.0,51.0,56.0,71.0,122.0,110.0,53.0,79.0,21.0,31.0,12.0,13.0,1212.0,72.0,54.0,85.0,21.0,24.0
249,1818,3229.0,1586.0,53.0,28.0,17.0,85.0,117.0,96.0,98.0,115.0,108.0,112.0,95.0,47.0,24.0,35.0,37.0,1644.0,81.0,112.0,121.0,29.0,24.0
250,0502A,1428.0,681.0,64.0,48.0,17.0,64.0,152.0,126.0,71.0,18.0,33.0,22.0,10.0,0.0,0.0,4.0,4.0,748.0,26.0,0.0,6.0,5.0,42.0
251,0115,71.0,34.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,5.0,3.0,4.0,8.0,2.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,1.0
252,0104,2075.0,1144.0,10.0,24.0,30.0,72.0,121.0,134.0,135.0,67.0,83.0,195.0,34.0,12.0,8.0,6.0,8.0,931.0,39.0,59.0,51.0,45.0,12.0
253,2002,2514.0,1186.0,31.0,5.0,4.0,21.0,135.0,113.0,111.0,81.0,97.0,89.0,51.0,34.0,13.0,8.0,10.0,1327.0,109.0,28.0,39.0,60.0,14.0
