,WARD_PRECI,Total,Non-Hispanic/Latino,Hispanic/Latino
0,0102,2042.0,941.0,1099.0
1,0105,3190.0,1148.0,2042.0
2,0203,1353.0,1258.0,95.0
3,0205,1442.0,1344.0,98.0
4,0204,1682.0,1523.0,160.0
5,0206,1295.0,1221.0,75.0
6,0303,2707.0,2675.0,32.0
7,0304,1830.0,1746.0,85.0
8,0307,4243.0,3367.0,876.0
9,0402,4460.0,4069.0,390.0
10,0401,1981.0,1780.0,203.0
11,0403,1484.0,1328.0,157.0
12,0405,2709.0,2503.0,205.0
13,0406,2833.0,2604.0,229.0
14,0404,2148.0,1958.0,190.0
15,0408,7211.0,6886.0,325.0
16,0409,4436.0,3898.0,538.0
17,0504,2223.0,2114.0,109.0
18,0503,2560.0,2545.0,15.0
19,0501,6029.0,5804.0,224.0
20,0902,2829.0,2255.0,574.0
21,0901,2922.0,2385.0,537.0
22,0502,3452.0,3125.0,327.0
23,0603,1204.0,1190.0,14.0
24,0605,1746.0,1707.0,40.0
25,0606,1480.0,1463.0,17.0
26,0602,2148.0,1690.0,458.0
27,0608,1446.0,1438.0,7.0
28,0702,1604.0,1580.0,25.0
29,0706,1479.0,1155.0,324.0
30,0805,1471.0,1228.0,241.0
31,0803,2285.0,1636.0,649.0
32,1201,2560.0,1977.0,584.0
33,0905,3321.0,2646.0,675.0
34,1002,1920.0,1636.0,283.0
35,1001,878.0,664.0,214.0
36,0904,3137.0,2153.0,985.0
37,0903,4513.0,3304.0,1210.0
38,0804,1114.0,713.0,400.0
39,0806,1956.0,1625.0,330.0
40,0709,1366.0,1237.0,131.0
41,0710,2061.0,1734.0,328.0
42,0807,809.0,650.0,159.0
43,1006,2510.0,1720.0,788.0
44,1003,2186.0,1965.0,221.0
45,1101,1873.0,1341.0,533.0
46,1007,2239.0,1287.0,953.0
47,1209,1745.0,1294.0,451.0
48,1103,1428.0,1049.0,381.0
49,1105,1813.0,1089.0,724.0
50,1106,1810.0,1265.0,544.0
51,1107,2259.0,1677.0,582.0
52,1104,3190.0,1777.0,1414.0
53,1206,1378.0,1073.0,305.0
54,1204,1642.0,1221.0,420.0
55,1205,900.0,733.0,167.0
56,1301,2114.0,1451.0,663.0
57,1306,1838.0,1531.0,307.0
58,1308,1837.0,1715.0,121.0
59,1304,1709.0,1161.0,548.0
60,1302,930.0,634.0,296.0
61,1307,1279.0,1187.0,92.0
62,1309,2130.0,1877.0,251.0
63,1305,1466.0,1121.0,344.0
64,1401,4346.0,3092.0,1253.0
65,1406,1867.0,1522.0,345.0
66,1404,2560.0,1966.0,594.0
67,1403,2211.0,1718.0,493.0
68,1503,1206.0,989.0,217.0
69,1501,2628.0,2029.0,598.0
70,1502,1502.0,1146.0,357.0
71,1504,3272.0,2699.0,573.0
72,1505,2139.0,1581.0,557.0
73,1507,1527.0,1102.0,425.0
74,1508,1603.0,1281.0,322.0
75,1506,1403.0,1281.0,122.0
76,1509,2295.0,1802.0,493.0
77,1009,2341.0,1669.0,671.0
78,1908,894.0,866.0,27.0
79,1906,1999.0,1771.0,228.0
80,1901,1658.0,1361.0,296.0
81,2104,1946.0,1554.0,391.0
82,2105,3248.0,2839.0,409.0
83,2107,2315.0,2056.0,259.0
84,2108,2749.0,2599.0,151.0
85,2106,1968.0,1759.0,206.0
86,2110,1707.0,1591.0,116.0
87,2115,925.0,850.0,73.0
88,2202,3007.0,2433.0,573.0
89,2203,2836.0,2480.0,355.0
90,2207,1840.0,1644.0,196.0
91,2213,1200.0,1137.0,64.0
92,2204,1527.0,1465.0,63.0
93,2210,2259.0,1959.0,300.0
94,1108,2926.0,2108.0,816.0
95,0705,2757.0,2463.0,294.0
96,2209,1524.0,1465.0,59.0
97,2111,2515.0,2317.0,196.0
98,2113,3117.0,2878.0,239.0
99,2206,1139.0,1050.0,87.0
100,2109,4089.0,3722.0,368.0
101,2101,3158.0,2868.0,289.0
102,1005,2989.0,2618.0,370.0
