,NEIGHBORHOOD,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
0,Roslindale,7458,0.431,0.015,0.048,0.032,0.025,0.052,0.05,0.05,0.019,0.01,0.001,0.57,0.012,0.046,0.049,0.034,0.086,0.071,0.064,0.045,0.021,0.011
1,Jamaica Plain,7500,0.431,0.015,0.044,0.045,0.025,0.042,0.035,0.046,0.037,0.017,0.001,0.569,0.019,0.049,0.034,0.056,0.05,0.085,0.079,0.051,0.015,0.013
2,Mission Hill,2640,0.441,0.012,0.066,0.032,0.014,0.027,0.047,0.061,0.019,0.009,0.002,0.559,0.031,0.067,0.055,0.021,0.055,0.053,0.064,0.037,0.036,0.016
3,Longwood,697,0.385,0.006,0.129,0.019,0.011,0.023,0.014,0.065,0.013,0.0,0.0,0.614,0.05,0.221,0.088,0.029,0.036,0.02,0.026,0.003,0.011,0.0
4,Bay Village,33,0.636,0.0,0.061,0.0,0.303,0.0,0.061,0.061,0.121,0.0,0.0,0.364,0.03,0.091,0.03,0.0,0.0,0.03,0.03,0.091,0.0,0.0
5,Leather District,16,0.625,0.062,0.125,0.0,0.062,0.0,0.125,0.062,0.062,0.0,0.0,0.375,0.062,0.125,0.062,0.0,0.0,0.062,0.062,0.0,0.062,0.0
6,Chinatown,81,0.593,0.049,0.123,0.025,0.062,0.025,0.086,0.086,0.074,0.012,0.0,0.395,0.049,0.111,0.049,0.0,0.0,0.037,0.049,0.025,0.037,0.012
7,North End,99,0.788,0.03,0.051,0.061,0.081,0.182,0.212,0.111,0.03,0.01,0.0,0.212,0.02,0.051,0.01,0.081,0.01,0.03,0.02,0.0,0.0,0.0
8,Roxbury,27914,0.438,0.013,0.037,0.038,0.017,0.047,0.059,0.051,0.027,0.013,0.003,0.561,0.015,0.046,0.05,0.049,0.054,0.088,0.064,0.041,0.025,0.011
9,South End,2772,0.468,0.019,0.064,0.035,0.035,0.062,0.049,0.042,0.016,0.01,0.006,0.531,0.025,0.026,0.034,0.022,0.106,0.077,0.065,0.049,0.026,0.012
10,Back Bay,1349,0.446,0.064,0.061,0.033,0.053,0.042,0.033,0.036,0.016,0.012,0.0,0.556,0.033,0.034,0.031,0.064,0.065,0.096,0.092,0.016,0.044,0.018
11,East Boston,965,0.621,0.009,0.089,0.067,0.094,0.076,0.107,0.023,0.05,0.029,0.0,0.381,0.006,0.053,0.023,0.042,0.056,0.034,0.028,0.006,0.004,0.002
12,Charlestown,1529,0.414,0.0,0.052,0.031,0.046,0.035,0.015,0.031,0.02,0.0,0.0,0.587,0.0,0.04,0.079,0.05,0.046,0.054,0.053,0.006,0.0,0.0
13,West End,251,0.825,0.052,0.235,0.131,0.06,0.068,0.131,0.112,0.036,0.004,0.0,0.171,0.004,0.028,0.0,0.0,0.064,0.02,0.028,0.028,0.004,0.0
14,Beacon Hill,143,0.594,0.007,0.014,0.007,0.105,0.112,0.112,0.231,0.007,0.0,0.0,0.392,0.007,0.014,0.0,0.091,0.203,0.063,0.0,0.0,0.0,0.0
15,Downtown,497,0.748,0.052,0.105,0.042,0.093,0.143,0.123,0.111,0.046,0.016,0.0,0.249,0.04,0.076,0.02,0.002,0.02,0.018,0.032,0.008,0.02,0.002
16,Fenway,1985,0.449,0.086,0.116,0.041,0.049,0.03,0.022,0.027,0.022,0.0,0.0,0.55,0.105,0.163,0.034,0.032,0.041,0.048,0.056,0.007,0.016,0.002
17,Brighton,1909,0.415,0.0,0.082,0.119,0.015,0.049,0.056,0.035,0.026,0.006,0.0,0.584,0.009,0.197,0.048,0.042,0.019,0.027,0.065,0.029,0.021,0.006
18,West Roxbury,3361,0.381,0.0,0.045,0.032,0.001,0.037,0.058,0.035,0.043,0.002,0.007,0.619,0.0,0.007,0.078,0.081,0.068,0.046,0.054,0.009,0.01,0.043
19,Hyde Park,16546,0.477,0.016,0.047,0.038,0.025,0.061,0.074,0.059,0.023,0.014,0.004,0.522,0.009,0.035,0.033,0.034,0.072,0.086,0.069,0.037,0.026,0.008
20,Mattapan,20139,0.477,0.008,0.036,0.045,0.035,0.064,0.053,0.059,0.041,0.017,0.003,0.523,0.009,0.037,0.042,0.031,0.086,0.07,0.073,0.045,0.022,0.006
21,Dorchester,59093,0.458,0.019,0.042,0.04,0.034,0.056,0.063,0.045,0.023,0.008,0.004,0.542,0.018,0.042,0.045,0.035,0.075,0.07,0.059,0.038,0.016,0.009
22,South Boston Waterfront,389,0.391,0.015,0.018,0.018,0.015,0.044,0.041,0.031,0.008,0.003,0.0,0.607,0.018,0.044,0.031,0.018,0.098,0.103,0.018,0.0,0.0,0.003
23,South Boston,2571,0.469,0.008,0.039,0.04,0.03,0.071,0.055,0.035,0.018,0.012,0.005,0.528,0.018,0.032,0.037,0.03,0.092,0.064,0.053,0.019,0.014,0.004
24,Allston,1774,0.378,0.035,0.074,0.057,0.051,0.091,0.009,0.03,0.003,0.003,0.0,0.621,0.046,0.293,0.079,0.048,0.03,0.007,0.03,0.041,0.003,0.0
25,Harbor Islands,27,0.593,0.0,0.037,0.0,0.111,0.185,0.148,0.074,0.074,0.0,0.0,0.407,0.0,0.185,0.111,0.0,0.074,0.0,0.037,0.0,0.0,0.0
