,WARD_PRECI,Total,Non-Hispanic/Latino,Hispanic/Latino
221,0103,3499.0,1749.0,1750.0
222,0106,3633.0,1192.0,2442.0
223,0109,1749.0,548.0,1200.0
224,0107,3371.0,1198.0,2171.0
225,0101,1194.0,830.0,363.0
226,0114,1562.0,763.0,799.0
227,0112,2668.0,1279.0,1389.0
228,0511,2113.0,1985.0,128.0
229,0505,1185.0,1113.0,73.0
230,0110,2591.0,819.0,1772.0
231,0111,1933.0,1113.0,821.0
232,1004,1725.0,1353.0,373.0
233,0802,4465.0,3840.0,624.0
234,2011,972.0,910.0,62.0
235,2008,1669.0,1509.0,160.0
236,0410,6966.0,6080.0,887.0
237,0407,2788.0,2443.0,345.0
238,1008,2935.0,2469.0,466.0
239,0301,1719.0,1630.0,89.0
240,0507,2596.0,2434.0,161.0
241,0508,2737.0,2450.0,286.0
242,0506,2635.0,2472.0,163.0
243,0509,4273.0,3842.0,429.0
244,1812,2559.0,1770.0,789.0
245,1823,1766.0,1417.0,349.0
246,2003,4149.0,3373.0,775.0
247,1816,3550.0,2567.0,984.0
248,1817,2525.0,1836.0,689.0
249,1818,3574.0,2591.0,982.0
250,0502A,1605.0,1356.0,248.0
251,0115,99.0,71.0,28.0
252,0104,2319.0,953.0,1364.0
253,2002,2650.0,2003.0,649.0
