,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
226,0114,602.0,291.0,0.0,19.0,41.0,21.0,30.0,47.0,40.0,24.0,17.0,16.0,311.0,30.0,11.0,24.0,35.0,28.0,28.0,31.0,30.0,32.0,21.0
227,0112,1008.0,487.0,0.0,33.0,69.0,37.0,46.0,78.0,64.0,41.0,30.0,30.0,521.0,56.0,19.0,41.0,59.0,46.0,46.0,50.0,50.0,60.0,31.0
228,0511,1765.0,827.0,11.0,34.0,199.0,144.0,80.0,58.0,101.0,55.0,56.0,4.0,938.0,0.0,67.0,201.0,159.0,127.0,96.0,82.0,77.0,44.0,21.0
229,0505,1022.0,452.0,3.0,11.0,54.0,85.0,40.0,50.0,69.0,40.0,33.0,0.0,569.0,0.0,12.0,103.0,72.0,84.0,70.0,63.0,55.0,35.0,21.0
230,0110,606.0,329.0,2.0,19.0,38.0,71.0,53.0,26.0,41.0,29.0,4.0,2.0,276.0,8.0,16.0,29.0,43.0,31.0,50.0,34.0,19.0,7.0,25.0
231,0111,876.0,429.0,0.0,18.0,53.0,17.0,73.0,72.0,82.0,35.0,16.0,7.0,448.0,0.0,9.0,31.0,46.0,48.0,56.0,70.0,49.0,13.0,57.0
232,1004,545.0,218.0,0.0,116.0,39.0,15.0,7.0,7.0,6.0,3.0,16.0,6.0,327.0,78.0,94.0,31.0,13.0,2.0,0.0,22.0,26.0,22.0,39.0
233,0802,2081.0,1227.0,1.0,88.0,182.0,211.0,159.0,368.0,106.0,78.0,10.0,0.0,856.0,0.0,38.0,165.0,212.0,147.0,44.0,135.0,20.0,4.0,1.0
234,2011,808.0,366.0,9.0,13.0,32.0,33.0,31.0,57.0,73.0,39.0,17.0,6.0,441.0,11.0,5.0,11.0,31.0,55.0,78.0,62.0,39.0,15.0,8.0
235,2008,1382.0,655.0,3.0,12.0,73.0,52.0,142.0,77.0,93.0,90.0,13.0,9.0,727.0,30.0,17.0,31.0,78.0,124.0,114.0,110.0,58.0,29.0,21.0
236,0410,3935.0,1479.0,619.0,584.0,107.0,54.0,15.0,26.0,26.0,6.0,20.0,13.0,2457.0,1120.0,994.0,106.0,43.0,9.0,5.0,35.0,37.0,28.0,50.0
237,0407,1506.0,791.0,230.0,264.0,90.0,31.0,36.0,32.0,43.0,27.0,26.0,8.0,715.0,229.0,262.0,59.0,40.0,49.0,18.0,3.0,25.0,21.0,4.0
238,1008,1586.0,792.0,0.0,155.0,143.0,170.0,90.0,31.0,46.0,75.0,19.0,11.0,796.0,0.0,137.0,124.0,105.0,85.0,47.0,78.0,72.0,61.0,46.0
239,0301,1407.0,708.0,19.0,37.0,174.0,88.0,77.0,73.0,97.0,68.0,43.0,8.0,697.0,15.0,59.0,148.0,101.0,62.0,52.0,73.0,88.0,35.0,16.0
240,0507,2191.0,952.0,29.0,73.0,111.0,155.0,63.0,106.0,130.0,96.0,66.0,8.0,1240.0,40.0,79.0,174.0,140.0,114.0,125.0,208.0,172.0,71.0,11.0
241,0508,2098.0,1001.0,61.0,78.0,158.0,129.0,179.0,90.0,131.0,51.0,31.0,21.0,1096.0,36.0,81.0,258.0,208.0,147.0,86.0,89.0,83.0,32.0,13.0
242,0506,2227.0,967.0,28.0,73.0,113.0,157.0,65.0,107.0,134.0,99.0,67.0,7.0,1259.0,39.0,77.0,181.0,146.0,116.0,129.0,209.0,172.0,72.0,12.0
243,0509,3117.0,1422.0,160.0,140.0,220.0,169.0,213.0,115.0,181.0,74.0,43.0,20.0,1696.0,107.0,264.0,338.0,276.0,198.0,116.0,142.0,95.0,48.0,23.0
244,1812,813.0,356.0,0.0,13.0,36.0,39.0,6.0,83.0,60.0,60.0,3.0,11.0,457.0,14.0,9.0,26.0,58.0,50.0,78.0,73.0,42.0,39.0,10.0
245,1823,479.0,192.0,0.0,11.0,18.0,23.0,22.0,30.0,34.0,38.0,8.0,3.0,287.0,0.0,0.0,26.0,46.0,11.0,44.0,38.0,61.0,32.0,4.0
246,2003,1355.0,579.0,0.0,26.0,42.0,60.0,69.0,95.0,112.0,95.0,25.0,13.0,776.0,0.0,3.0,65.0,101.0,50.0,111.0,119.0,139.0,86.0,28.0
247,1816,1075.0,577.0,25.0,9.0,33.0,37.0,65.0,91.0,108.0,71.0,50.0,2.0,498.0,0.0,12.0,16.0,59.0,56.0,87.0,65.0,90.0,37.0,22.0
248,1817,790.0,421.0,17.0,7.0,25.0,28.0,52.0,67.0,77.0,48.0,36.0,2.0,369.0,0.0,10.0,12.0,44.0,45.0,64.0,47.0,65.0,26.0,18.0
249,1818,840.0,394.0,8.0,4.0,27.0,18.0,43.0,60.0,81.0,75.0,20.0,3.0,446.0,1.0,17.0,20.0,40.0,48.0,83.0,58.0,58.0,41.0,27.0
250,0502A,820.0,395.0,6.0,81.0,62.0,103.0,58.0,7.0,37.0,16.0,0.0,20.0,425.0,20.0,99.0,119.0,80.0,39.0,8.0,32.0,0.0,9.0,0.0
251,0115,38.0,25.0,0.0,0.0,3.0,3.0,5.0,4.0,8.0,1.0,0.0,0.0,13.0,0.0,2.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
252,0104,733.0,348.0,21.0,25.0,51.0,77.0,46.0,42.0,39.0,15.0,6.0,0.0,384.0,31.0,23.0,97.0,60.0,23.0,20.0,23.0,17.0,28.0,3.0
253,2002,1566.0,729.0,3.0,17.0,76.0,67.0,116.0,145.0,84.0,68.0,25.0,17.0,836.0,12.0,23.0,62.0,94.0,145.0,106.0,105.0,64.0,56.0,28.0
