,Ward/Precinct,CC Ballots 2009,CC Ballots 2019,M Ballots 2009,M Ballots 2017,Registered Voters 2009,Registered Voters 2017,Registered Voters 2019,CC Voter Turnout 2009,CC Voter Turnout 2019,M Voter Turnout 2009,M Voter Turnout 2017,CC % Net Change,M % Net Change,CC Net Change,M Net Change,Median Income 2009,Median Income 2017/19,% Change in Median Income,Neighborhood
32,0403,340,224,340,425.0,1310,1247.0,1294,0.26,0.17,0.26,0.34,-0.09,0.08000000000000002,-116,85.0,68974,113051,0.64,Back Bay
33,0404,560,300,560,465.0,1943,1797.0,1871,0.29,0.16,0.29,0.26,-0.12999999999999998,-0.02999999999999997,-260,-95.0,65386,101041,0.55,Back Bay
34,0405,323,217,323,343.0,1550,1520.0,1484,0.21,0.15,0.21,0.23,-0.06,0.020000000000000018,-106,20.0,44298,70496,0.59,Fenway
35,0406,305,220,305,277.0,1354,1327.0,1333,0.23,0.17,0.23,0.21,-0.06,-0.020000000000000018,-85,-28.0,44811,58412,0.3,Fenway
36,0407,262,191,262,251.0,1701,1357.0,1344,0.15,0.14,0.15,0.18,-0.009999999999999981,0.03,-71,-11.0,22300,32806,0.47,Back Bay
37,0408,234,201,234,263.0,1578,1437.0,1456,0.15,0.14,0.15,0.18,-0.009999999999999981,0.03,-33,29.0,23459,29437,0.25,Mission Hill
38,0409,112,73,112,121.0,1048,1115.0,1058,0.11,0.07,0.11,0.11,-0.039999999999999994,0.0,-39,9.0,19034,25456,0.34,Roxbury
39,0410,42,38,42,61.0,945,781.0,569,0.04,0.07,0.04,0.08,0.030000000000000006,0.04,-4,19.0,25630,36321,0.42,Mission Hill
40,0501,1057,720,1057,1266.0,3990,4518.0,4397,0.26,0.16,0.26,0.28,-0.1,0.020000000000000018,-337,209.0,61652,89603,0.45,Beacon Hill
41,0502,377,337,377,254.0,2449,1456.0,2532,0.15,0.13,0.15,0.17,-0.01999999999999999,0.020000000000000018,-40,-123.0,38733,55561,0.43,Fenway
42,0503,459,395,459,353.0,1702,1697.0,1665,0.27,0.24,0.27,0.21,-0.030000000000000027,-0.060000000000000026,-64,-106.0,88182,115506,0.31,Back Bay
43,0504,398,333,398,370.0,2135,2186.0,2183,0.19,0.15,0.19,0.17,-0.04000000000000001,-0.01999999999999999,-65,-28.0,80667,106211,0.32,West End
44,0505,221,205,221,237.0,655,680.0,686,0.34,0.3,0.34,0.35,-0.040000000000000036,0.009999999999999953,-16,16.0,124396,120922,-0.03,Back Bay
45,0506,420,313,420,364.0,1843,1809.0,1793,0.23,0.17,0.23,0.2,-0.06,-0.03,-107,-56.0,112953,135261,0.2,Beacon Hill
46,0507,520,367,520,489.0,2133,2122.0,2132,0.24,0.17,0.24,0.23,-0.06999999999999998,-0.009999999999999981,-153,-31.0,107906,134231,0.24,Back Bay
47,0508,478,328,478,410.0,2026,1909.0,1939,0.24,0.17,0.24,0.21,-0.06999999999999998,-0.03,-150,-68.0,101435,125362,0.24,Back Bay
48,0509,470,361,470,450.0,2893,2663.0,2676,0.16,0.13,0.16,0.17,-0.03,0.010000000000000009,-109,-20.0,55244,74989,0.36,Fenway
49,0510,286,216,286,289.0,2380,1967.0,1777,0.12,0.12,0.12,0.15,0.0,0.03,-70,3.0,34374,48910,0.42,Back Bay
50,0511,382,298,382,328.0,1173,1167.0,1137,0.33,0.26,0.33,0.28,-0.07,-0.04999999999999999,-84,-54.0,105245,112005,0.06,Back Bay
51,0601,683,494,683,974.0,2533,5112.0,6026,0.27,0.08,0.27,0.19,-0.19,-0.08000000000000002,-189,291.0,61758,112993,0.83,South Boston
52,0602,387,187,387,376.0,1171,1458.0,1528,0.33,0.12,0.33,0.26,-0.21000000000000002,-0.07,-200,-11.0,59740,99368,0.66,South Boston
53,0603,471,196,471,407.0,1430,1989.0,2075,0.33,0.09,0.33,0.2,-0.24000000000000002,-0.13,-275,-64.0,59740,99368,0.66,South Boston
54,0604,541,227,541,483.0,1552,1923.0,1946,0.35,0.12,0.35,0.25,-0.22999999999999998,-0.09999999999999998,-314,-58.0,84159,137604,0.64,South Boston
55,0605,544,253,544,455.0,1413,1736.0,1861,0.38,0.14,0.38,0.26,-0.24,-0.12,-291,-89.0,90474,136173,0.51,South Boston
56,0606,644,340,644,545.0,1362,1604.0,1595,0.47,0.21,0.47,0.34,-0.26,-0.12999999999999995,-304,-99.0,86038,137045,0.59,South Boston
57,0607,587,318,587,494.0,1389,1751.0,1809,0.42,0.18,0.42,0.28,-0.24,-0.13999999999999996,-269,-93.0,88506,136311,0.54,South Boston
58,0608,650,293,650,477.0,1422,1565.0,1630,0.46,0.18,0.46,0.3,-0.28,-0.16000000000000003,-357,-173.0,88506,136311,0.54,South Boston
59,0609,668,302,668,495.0,1374,1505.0,1500,0.49,0.2,0.49,0.33,-0.29,-0.15999999999999998,-366,-173.0,86538,136448,0.58,South Boston
60,0701,610,346,610,537.0,1262,1324.0,1343,0.48,0.26,0.48,0.41,-0.21999999999999997,-0.07,-264,-73.0,85154,135860,0.6,South Boston
61,0702,695,314,695,557.0,1563,1737.0,1869,0.44,0.17,0.44,0.32,-0.27,-0.12,-381,-138.0,86038,137045,0.59,South Boston
62,0703,881,391,881,669.0,1871,2002.0,2046,0.47,0.19,0.47,0.33,-0.27999999999999997,-0.13999999999999996,-490,-212.0,52346,86903,0.66,South Boston
63,0704,552,193,552,426.0,1598,1748.0,1763,0.35,0.11,0.35,0.24,-0.24,-0.10999999999999999,-359,-126.0,61564,99450,0.62,South Boston
64,0705,403,190,403,397.0,1238,1594.0,1681,0.33,0.11,0.33,0.25,-0.22000000000000003,-0.08000000000000002,-213,-6.0,45166,72876,0.61,Dorchester
65,0706,421,199,421,367.0,1296,1419.0,1474,0.32,0.14,0.32,0.26,-0.18,-0.06,-222,-54.0,45006,80478,0.79,Dorchester
66,0707,288,165,288,319.0,943,1223.0,1308,0.31,0.13,0.31,0.26,-0.18,-0.04999999999999999,-123,31.0,44673,76308,0.71,Dorchester
67,0708,317,181,317,349.0,926,1177.0,1272,0.34,0.14,0.34,0.3,-0.2,-0.040000000000000036,-136,32.0,39722,68012,0.71,Roxbury
68,0709,333,177,333,325.0,1005,1182.0,1152,0.33,0.15,0.33,0.27,-0.18000000000000002,-0.06,-156,-8.0,45288,56207,0.24,Roxbury
69,0710,330,116,330,279.0,1236,1361.0,1399,0.27,0.08,0.27,0.2,-0.19,-0.07,-214,-51.0,42764,58833,0.38,Roxbury
70,0801,222,171,222,337.0,911,1268.0,1381,0.24,0.12,0.24,0.27,-0.12,0.030000000000000027,-51,115.0,46327,71383,0.54,Downtown
71,0802,456,327,456,557.0,2045,2781.0,2971,0.22,0.11,0.22,0.2,-0.11,-0.01999999999999999,-129,101.0,42727,59958,0.4,Roxbury
72,0803,264,142,264,259.0,1131,1540.0,1390,0.23,0.1,0.23,0.17,-0.13,-0.06,-122,-5.0,31245,41273,0.32,South End
73,0804,150,89,150,195.0,604,695.0,706,0.25,0.13,0.25,0.28,-0.12,0.030000000000000027,-61,45.0,19394,26271,0.35,Roxbury
74,0805,347,163,347,370.0,1239,1298.0,1321,0.28,0.12,0.28,0.29,-0.16000000000000003,0.009999999999999953,-184,23.0,36798,41507,0.13,Dorchester
75,0806,134,53,134,120.0,446,476.0,513,0.3,0.1,0.3,0.25,-0.19999999999999998,-0.04999999999999999,-81,-14.0,40396,41132,0.02,Dorchester
76,0807,255,120,255,228.0,901,977.0,1033,0.28,0.12,0.28,0.23,-0.16000000000000003,-0.05000000000000002,-135,-27.0,38075,38902,0.02,Roxbury
77,0901,473,297,473,631.0,1854,1894.0,1973,0.26,0.15,0.26,0.33,-0.11000000000000001,0.07,-176,158.0,61769,82912,0.34,South End
78,0902,470,310,470,549.0,1937,2220.0,2272,0.24,0.14,0.24,0.25,-0.09999999999999998,0.010000000000000009,-160,79.0,46406,59607,0.28,Roxbury
79,0903,648,397,648,680.0,2777,3040.0,3168,0.23,0.13,0.23,0.22,-0.1,-0.010000000000000009,-251,32.0,28701,38816,0.35,Back Bay
80,0904,390,229,390,424.0,1868,2123.0,2110,0.21,0.11,0.21,0.2,-0.09999999999999999,-0.009999999999999981,-161,34.0,21250,26942,0.27,Mission Hill
81,0905,595,410,595,668.0,1823,2035.0,2044,0.33,0.2,0.33,0.33,-0.13,0.0,-185,73.0,28959,32150,0.11,Roxbury
82,1001,227,214,227,259.0,845,964.0,973,0.27,0.22,0.27,0.27,-0.05000000000000002,0.0,-13,32.0,26222,41014,0.56,Longwood
83,1002,248,149,248,185.0,1098,944.0,945,0.23,0.16,0.23,0.2,-0.07,-0.03,-99,-63.0,33121,45979,0.39,Mission Hill
84,1003,221,128,221,166.0,1063,968.0,987,0.21,0.13,0.21,0.17,-0.07999999999999999,-0.03999999999999998,-93,-55.0,32691,46722,0.43,Longwood
85,1004,493,345,493,397.0,1655,1738.0,1828,0.3,0.19,0.3,0.23,-0.10999999999999999,-0.06999999999999998,-148,-96.0,37028,44802,0.21,Longwood
86,1005,304,188,304,241.0,1188,1175.0,1174,0.26,0.16,0.26,0.21,-0.1,-0.05000000000000002,-116,-63.0,31936,42066,0.32,Roxbury
87,1006,267,147,267,294.0,1157,1321.0,1365,0.23,0.11,0.23,0.22,-0.12000000000000001,-0.010000000000000009,-120,27.0,45805,66026,0.44,Mission Hill
88,1007,393,253,393,406.0,1610,1842.0,1875,0.24,0.13,0.24,0.22,-0.10999999999999999,-0.01999999999999999,-140,13.0,38854,55240,0.42,Mission Hill
89,1008,398,358,398,489.0,1660,1814.0,1953,0.24,0.18,0.24,0.27,-0.06,0.030000000000000027,-40,91.0,41250,52792,0.28,Mission Hill
90,1009,521,374,521,545.0,1807,2038.0,2105,0.29,0.18,0.29,0.27,-0.10999999999999999,-0.019999999999999962,-147,24.0,74771,90651,0.21,Jamaica Plain
91,1101,278,163,278,272.0,831,905.0,958,0.33,0.17,0.33,0.3,-0.16,-0.030000000000000027,-115,-6.0,31580,36200,0.15,Jamaica Plain
92,1102,405,290,405,488.0,1308,1542.0,1583,0.31,0.18,0.31,0.32,-0.13,0.010000000000000009,-115,83.0,32582,35196,0.08,Jamaica Plain
93,1103,292,166,292,321.0,1081,1229.0,1269,0.27,0.13,0.27,0.26,-0.14,-0.010000000000000009,-126,29.0,28275,26812,-0.05,Roxbury
94,1104,454,330,454,559.0,1616,2003.0,2108,0.28,0.16,0.28,0.28,-0.12000000000000002,0.0,-124,105.0,31904,42976,0.35,Roxbury
95,1105,443,270,443,459.0,1485,1566.0,1630,0.3,0.17,0.3,0.29,-0.12999999999999998,-0.010000000000000009,-173,16.0,39669,46111,0.16,Roxbury
96,1106,380,278,380,446.0,1103,1201.0,1208,0.34,0.23,0.34,0.37,-0.11000000000000001,0.02999999999999997,-102,66.0,70941,93900,0.32,Jamaica Plain
97,1107,502,330,502,529.0,1562,1631.0,1668,0.32,0.2,0.32,0.32,-0.12,0.0,-172,27.0,70941,93900,0.32,Roxbury
98,1108,496,401,496,582.0,1501,1734.0,1893,0.33,0.21,0.33,0.34,-0.12000000000000002,0.010000000000000009,-95,86.0,56386,79840,0.42,Roxbury
99,1109,393,263,393,409.0,978,987.0,1005,0.4,0.26,0.4,0.41,-0.14,0.009999999999999953,-130,16.0,72250,96105,0.33,Jamaica Plain
100,1110,416,311,416,445.0,1412,1368.0,1380,0.29,0.23,0.29,0.33,-0.05999999999999997,0.040000000000000036,-105,29.0,68921,93882,0.36,Jamaica Plain
101,1201,486,323,486,543.0,1485,1745.0,1735,0.33,0.19,0.33,0.31,-0.14,-0.020000000000000018,-163,57.0,31784,32847,0.03,Roxbury
102,1202,610,321,610,555.0,2013,2165.0,2173,0.3,0.15,0.3,0.26,-0.15,-0.03999999999999998,-289,-55.0,29242,30977,0.06,Dorchester
103,1203,299,185,299,315.0,916,934.0,944,0.33,0.2,0.33,0.34,-0.13,0.010000000000000009,-114,16.0,33337,32131,-0.04,Roxbury
104,1204,269,177,269,305.0,985,1153.0,1187,0.27,0.15,0.27,0.26,-0.12000000000000002,-0.010000000000000009,-92,36.0,42409,37689,-0.11,Roxbury
105,1205,279,173,279,250.0,754,687.0,705,0.37,0.25,0.37,0.36,-0.12,-0.010000000000000009,-106,-29.0,36296,29964,-0.17,Roxbury
106,1206,247,164,247,305.0,755,910.0,926,0.33,0.18,0.33,0.34,-0.15000000000000002,0.010000000000000009,-83,58.0,32856,32949,0.0,Dorchester
107,1207,600,333,600,637.0,2242,2503.0,2568,0.27,0.13,0.27,0.25,-0.14,-0.020000000000000018,-267,37.0,33317,43014,0.29,Mattapan
108,1208,186,105,186,193.0,733,805.0,858,0.25,0.12,0.25,0.24,-0.13,-0.010000000000000009,-81,7.0,26602,26390,-0.01,Roxbury
109,1209,296,169,296,304.0,867,1003.0,1030,0.34,0.16,0.34,0.3,-0.18000000000000002,-0.040000000000000036,-127,8.0,30579,31982,0.05,Roxbury
110,1301,388,199,388,397.0,1263,1513.0,1497,0.31,0.13,0.31,0.26,-0.18,-0.04999999999999999,-189,9.0,35389,38737,0.09,Dorchester
111,1302,114,64,114,130.0,539,607.0,590,0.21,0.11,0.21,0.21,-0.09999999999999999,0.0,-50,16.0,35915,43819,0.22,Dorchester
112,1303,287,139,287,246.0,1580,1282.0,1439,0.18,0.1,0.18,0.19,-0.07999999999999999,0.010000000000000009,-148,-41.0,40830,58290,0.43,South Boston
113,1304,242,135,242,240.0,948,1078.0,1075,0.26,0.13,0.26,0.22,-0.13,-0.04000000000000001,-107,-2.0,26623,38371,0.44,Roxbury
114,1305,250,136,250,266.0,808,1020.0,1063,0.31,0.13,0.31,0.26,-0.18,-0.04999999999999999,-114,16.0,41668,56838,0.36,Dorchester
115,1306,399,211,399,408.0,1260,1356.0,1410,0.32,0.15,0.32,0.3,-0.17,-0.020000000000000018,-188,9.0,59039,80203,0.36,Dorchester
116,1307,421,237,421,475.0,1199,1461.0,1474,0.35,0.16,0.35,0.33,-0.18999999999999997,-0.019999999999999962,-184,54.0,56399,80870,0.43,Dorchester
117,1308,347,201,347,382.0,1164,1309.0,1374,0.3,0.15,0.3,0.29,-0.15,-0.010000000000000009,-146,35.0,56399,80870,0.43,Dorchester
118,1309,411,210,411,403.0,1198,1323.0,1355,0.34,0.15,0.34,0.3,-0.19000000000000003,-0.040000000000000036,-201,-8.0,59039,80203,0.36,Dorchester
119,1310,755,477,755,769.0,1600,1643.0,1708,0.47,0.28,0.47,0.47,-0.18999999999999995,0.0,-278,14.0,51135,68510,0.34,Dorchester
120,1401,435,238,435,449.0,1980,2544.0,2632,0.22,0.09,0.22,0.18,-0.13,-0.04000000000000001,-197,14.0,31237,39059,0.25,Roxbury
121,1402,577,294,577,592.0,2171,2539.0,2547,0.27,0.12,0.27,0.23,-0.15000000000000002,-0.04000000000000001,-283,15.0,30929,41258,0.33,Dorchester
122,1403,307,130,307,280.0,1166,1270.0,1285,0.26,0.1,0.26,0.22,-0.16,-0.04000000000000001,-177,-27.0,26518,30475,0.15,Dorchester
123,1404,375,135,375,299.0,1346,1523.0,1555,0.28,0.09,0.28,0.2,-0.19000000000000003,-0.08000000000000002,-240,-76.0,37690,41265,0.09,Dorchester
124,1405,245,134,245,241.0,970,1074.0,1118,0.25,0.12,0.25,0.22,-0.13,-0.03,-111,-4.0,37376,49674,0.33,Dorchester
125,1406,289,116,289,272.0,931,1069.0,1110,0.31,0.1,0.31,0.25,-0.21,-0.06,-173,-17.0,26414,31514,0.19,Dorchester
126,1407,295,119,295,235.0,1122,1166.0,1181,0.26,0.1,0.26,0.2,-0.16,-0.06,-176,-60.0,27578,32148,0.17,Dorchester
127,1408,336,178,336,331.0,953,1142.0,1178,0.35,0.15,0.35,0.29,-0.19999999999999998,-0.06,-158,-5.0,48303,55052,0.14,Roslindale
128,1409,240,98,240,227.0,1133,1283.0,1342,0.21,0.07,0.21,0.18,-0.13999999999999999,-0.03,-142,-13.0,24291,31125,0.28,Roxbury
129,1410,336,152,336,318.0,1182,1319.0,1386,0.28,0.11,0.28,0.24,-0.17000000000000004,-0.040000000000000036,-184,-18.0,30160,38506,0.28,Dorchester
130,1411,181,121,181,263.0,852,1158.0,1259,0.21,0.1,0.21,0.23,-0.10999999999999999,0.020000000000000018,-60,82.0,32907,42190,0.28,Roxbury
131,1412,179,74,179,193.0,668,724.0,731,0.27,0.1,0.27,0.27,-0.17,0.0,-105,14.0,32136,40964,0.27,Dorchester
132,1413,259,113,259,288.0,938,1098.0,1079,0.28,0.1,0.28,0.26,-0.18000000000000002,-0.020000000000000018,-146,29.0,37376,49674,0.33,Mattapan
133,1414,319,155,319,313.0,1058,1226.0,1253,0.3,0.12,0.3,0.26,-0.18,-0.03999999999999998,-164,-6.0,38950,44658,0.15,Dorchester
134,1501,339,129,339,281.0,1331,1585.0,1554,0.25,0.08,0.25,0.18,-0.16999999999999998,-0.07,-210,-58.0,41704,50218,0.2,Dorchester
135,1502,240,79,240,195.0,895,1083.0,1054,0.27,0.07,0.27,0.18,-0.2,-0.09000000000000002,-161,-45.0,45808,45986,0.0,Dorchester
136,1503,164,53,164,121.0,584,726.0,743,0.28,0.07,0.28,0.17,-0.21000000000000002,-0.11000000000000001,-111,-43.0,46799,43634,-0.07,Dorchester
137,1504,407,191,407,400.0,1678,1980.0,1978,0.24,0.1,0.24,0.2,-0.13999999999999999,-0.03999999999999998,-216,-7.0,52656,62924,0.2,Dorchester
138,1505,268,149,268,291.0,1107,1329.0,1348,0.24,0.11,0.24,0.22,-0.13,-0.01999999999999999,-119,23.0,45555,48793,0.07,Dorchester
139,1506,250,152,250,250.0,736,780.0,790,0.34,0.19,0.34,0.32,-0.15000000000000002,-0.020000000000000018,-98,0.0,50251,66121,0.32,Dorchester
140,1507,238,122,238,262.0,897,1082.0,1115,0.27,0.11,0.27,0.24,-0.16000000000000003,-0.030000000000000027,-116,24.0,46799,43634,-0.07,Dorchester
141,1508,234,129,234,249.0,867,978.0,993,0.27,0.13,0.27,0.25,-0.14,-0.020000000000000018,-105,15.0,46448,61682,0.33,Dorchester
142,1509,288,153,288,266.0,948,1032.0,1117,0.3,0.14,0.3,0.26,-0.15999999999999998,-0.03999999999999998,-135,-22.0,44605,52620,0.18,Dorchester
143,1601,325,154,325,290.0,1038,1142.0,1162,0.31,0.13,0.31,0.25,-0.18,-0.06,-171,-35.0,46448,61682,0.33,Dorchester
144,1602,283,161,283,303.0,732,872.0,914,0.39,0.18,0.39,0.35,-0.21000000000000002,-0.040000000000000036,-122,20.0,58744,80646,0.37,Dorchester
145,1603,437,215,437,388.0,1356,1462.0,1479,0.32,0.15,0.32,0.27,-0.17,-0.04999999999999999,-222,-49.0,46226,65798,0.42,Dorchester
146,1604,385,200,385,362.0,1229,1293.0,1328,0.31,0.15,0.31,0.28,-0.16,-0.02999999999999997,-185,-23.0,48692,66084,0.36,Dorchester
147,1605,490,268,490,417.0,1346,1408.0,1487,0.36,0.18,0.36,0.3,-0.18,-0.06,-222,-73.0,55303,74545,0.35,Dorchester
148,1606,499,294,499,526.0,1700,1827.0,1931,0.29,0.15,0.29,0.29,-0.13999999999999999,0.0,-205,27.0,53678,75335,0.4,Dorchester
149,1607,603,350,603,556.0,1201,1239.0,1246,0.5,0.28,0.5,0.45,-0.21999999999999997,-0.04999999999999999,-253,-47.0,59038,81877,0.39,Dorchester
150,1608,587,416,587,596.0,1236,1409.0,1421,0.47,0.29,0.47,0.42,-0.18,-0.04999999999999999,-171,9.0,57204,78464,0.37,Dorchester
151,1609,781,466,781,670.0,1371,1498.0,1543,0.57,0.3,0.57,0.45,-0.26999999999999996,-0.11999999999999994,-315,-111.0,61622,88309,0.43,Dorchester
152,1610,496,257,496,442.0,1164,1341.0,1338,0.43,0.19,0.43,0.33,-0.24,-0.09999999999999998,-239,-54.0,61892,87912,0.42,Dorchester
153,1611,646,391,646,603.0,1307,1466.0,1475,0.49,0.27,0.49,0.41,-0.21999999999999997,-0.08000000000000002,-255,-43.0,59584,85165,0.43,Mattapan
154,1612,808,534,808,698.0,1271,1192.0,1195,0.64,0.45,0.64,0.59,-0.19,-0.050000000000000044,-274,-110.0,64291,92214,0.43,Dorchester
155,1701,282,113,282,266.0,1116,1209.0,1252,0.25,0.09,0.25,0.22,-0.16,-0.03,-169,-16.0,37152,51088,0.38,Dorchester
156,1702,219,109,219,209.0,768,826.0,849,0.29,0.13,0.29,0.25,-0.15999999999999998,-0.03999999999999998,-110,-10.0,45322,64448,0.42,Dorchester
157,1703,496,315,496,538.0,1578,1821.0,1832,0.31,0.17,0.31,0.3,-0.13999999999999999,-0.010000000000000009,-181,42.0,40044,55574,0.39,Dorchester
158,1704,703,352,703,637.0,1781,1827.0,1909,0.39,0.18,0.39,0.35,-0.21000000000000002,-0.040000000000000036,-351,-66.0,53888,74014,0.37,Mattapan
159,1705,171,97,171,196.0,744,877.0,909,0.23,0.11,0.23,0.22,-0.12000000000000001,-0.010000000000000009,-74,25.0,35527,45855,0.29,Dorchester
160,1706,432,222,432,384.0,1227,1336.0,1315,0.35,0.17,0.35,0.29,-0.17999999999999997,-0.06,-210,-48.0,43073,62355,0.45,Dorchester
161,1707,184,94,184,187.0,632,728.0,770,0.29,0.12,0.29,0.26,-0.16999999999999998,-0.02999999999999997,-90,3.0,39141,48372,0.24,Dorchester
162,1708,345,152,345,328.0,1071,1210.0,1288,0.32,0.12,0.32,0.27,-0.2,-0.04999999999999999,-193,-17.0,45496,58805,0.29,Dorchester
163,1709,366,256,366,345.0,846,904.0,957,0.43,0.27,0.43,0.38,-0.15999999999999998,-0.04999999999999999,-110,-21.0,49768,64054,0.29,Dorchester
164,1710,408,168,408,432.0,1459,1672.0,1702,0.28,0.1,0.28,0.26,-0.18000000000000002,-0.020000000000000018,-240,24.0,46838,57703,0.23,Mattapan
165,1711,149,102,149,171.0,519,633.0,685,0.29,0.15,0.29,0.27,-0.13999999999999999,-0.019999999999999962,-47,22.0,53449,72536,0.36,Dorchester
