,WARD_PRECI,CVAP
0,0113,1455.0
1,0102,1035.0
2,0105,1117.0
3,0203,1039.0
4,0205,1104.0
5,0204,1220.0
6,0206,972.0
7,0303,2709.0
8,0304,1748.0
9,0307,3161.0
10,0402,4152.0
11,0401,1583.0
12,0403,1257.0
13,0405,1930.0
14,0406,2051.0
15,0404,1911.0
16,0408,5260.0
17,0409,4032.0
18,0504,1876.0
19,0503,2101.0
20,0501,4783.0
21,0902,2177.0
22,0901,2196.0
23,0502,2666.0
24,0603,1354.0
25,0605,1783.0
26,0606,1497.0
27,0602,1822.0
28,0608,1450.0
29,0702,1670.0
30,0706,992.0
31,0805,1112.0
32,0803,1729.0
33,1201,1775.0
34,0905,3157.0
35,1002,1655.0
36,1001,777.0
37,0904,2874.0
38,0903,3290.0
39,0804,900.0
40,0806,1372.0
41,0709,1052.0
42,0710,1604.0
43,0807,590.0
44,1006,1534.0
45,1003,1741.0
46,1101,1414.0
47,1007,1474.0
48,1209,1199.0
49,1103,1063.0
50,1105,1324.0
51,1106,1395.0
52,1107,1756.0
53,1104,2269.0
54,1206,1043.0
55,1204,1204.0
56,1205,608.0
57,1301,1288.0
58,1306,1326.0
59,1308,1411.0
60,1304,1225.0
61,1302,564.0
62,1307,980.0
63,1309,1539.0
64,1305,1149.0
65,1401,2864.0
66,1406,1094.0
67,1404,1660.0
68,1403,1224.0
69,1503,754.0
70,1501,1738.0
71,1502,947.0
72,1504,1909.0
73,1505,1115.0
74,1507,793.0
75,1508,895.0
76,1506,923.0
77,1509,1237.0
78,1009,1600.0
79,1908,713.0
80,1906,1937.0
81,1901,1459.0
82,2104,1251.0
83,2105,2258.0
84,2107,1558.0
85,2108,1772.0
86,2106,1440.0
87,2110,1313.0
88,2115,918.0
89,2202,2003.0
90,2203,2173.0
91,2207,1467.0
92,2213,967.0
93,2204,1151.0
94,2210,1692.0
95,1108,2236.0
96,0705,2523.0
97,2209,980.0
98,2111,1857.0
99,2113,2433.0
100,2206,912.0
101,2109,2591.0
102,2101,2691.0
103,1005,2207.0
104,0704,1632.0
105,0708,1893.0
106,1203,753.0
107,1202,2016.0
108,1102,1536.0
109,1904,1686.0
110,1905,1265.0
111,1903,1490.0
112,1402,2738.0
113,1407,1265.0
114,1409,1209.0
115,1413,1054.0
116,1412,706.0
117,1410,2002.0
118,1405,1094.0
119,1414,1577.0
120,1601,1086.0
121,1701,1280.0
122,1702,796.0
123,1607,1782.0
124,1605,1283.0
125,1603,1200.0
126,1609,853.0
127,1706,1137.0
128,1709,1173.0
129,1711,593.0
130,1604,983.0
131,1606,1388.0
132,1608,835.0
133,1611,1941.0
134,1705,985.0
135,1708,1639.0
136,1707,860.0
137,1710,1458.0
138,1712,806.0
139,1704,2300.0
140,1802,1583.0
141,1821,2082.0
142,1807,2142.0
143,1808,3339.0
144,1809,1682.0
145,1810,2136.0
146,1811,1264.0
147,1813,898.0
148,1814,1019.0
149,1822,2024.0
150,1805,1371.0
151,1806,1549.0
152,1815,1467.0
153,1819,2564.0
154,1911,1234.0
155,1913,1298.0
156,1912,882.0
157,2004,1378.0
158,2009,1627.0
159,2007,1137.0
160,2019,725.0
161,2006,1935.0
162,2020,1301.0
163,2013,686.0
164,2016,1456.0
165,2010,1871.0
166,2005,2779.0
167,1703,1816.0
168,1110,985.0
169,1109,925.0
170,1902,1933.0
171,2017,3435.0
172,2015,1585.0
173,1910,2084.0
174,1801,2319.0
175,1714,1073.0
176,1804,1709.0
177,2012,1249.0
178,2014,1054.0
179,1820,2356.0
180,2018,1027.0
181,2001,1481.0
182,1207,2666.0
183,1411,1405.0
184,1907,2941.0
185,1803,2058.0
186,1408,1257.0
187,1909,828.0
188,1208,860.0
189,0207,1510.0
190,0202,2240.0
191,0306,5808.0
192,0302,1901.0
193,2103,1954.0
194,2114,937.0
195,2201,6518.0
196,2205,1054.0
197,2212,1779.0
198,2211,1697.0
199,2208,2076.0
200,2116,5495.0
201,2112,1767.0
202,0510,4351.0
203,2102,3326.0
204,1310,1732.0
205,1303,1374.0
206,1610,1145.0
207,1713,1900.0
208,1612,1704.0
209,1602,2767.0
210,0604,1888.0
211,0607,1999.0
212,0701,1902.0
213,0609,1928.0
214,0707,1267.0
215,0703,2560.0
216,0308,5349.0
217,0801,1998.0
218,0601,3906.0
219,0305,3654.0
220,0201,2668.0
221,0108,1182.0
222,0103,1572.0
223,0106,1137.0
224,0109,576.0
225,0107,1201.0
226,0101,707.0
227,0114,718.0
228,0112,1179.0
229,0511,1718.0
230,0505,848.0
231,0110,821.0
232,0111,1226.0
233,1004,1111.0
234,0802,3364.0
235,2011,749.0
236,2008,1195.0
237,0410,5540.0
238,0407,2235.0
239,1008,2083.0
240,0301,1539.0
241,0507,2172.0
242,0508,2442.0
243,0506,2190.0
244,0509,3523.0
245,1812,1748.0
246,1823,951.0
247,2003,2384.0
248,1816,2230.0
249,1817,1602.0
250,1818,2131.0
251,0502A,1079.0
252,0115,64.0
253,0104,612.0
254,2002,1799.0
