,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
0,0102,1410.0,734.0,2.0,51.0,106.0,79.0,125.0,135.0,26.0,8.0,0.0,0.0,676.0,1.0,103.0,54.0,50.0,103.0,103.0,21.0,18.0,1.0,2.0
1,0105,2812.0,1663.0,0.0,96.0,198.0,244.0,328.0,253.0,154.0,55.0,0.0,0.0,1148.0,9.0,68.0,67.0,88.0,203.0,178.0,60.0,76.0,5.0,0.0
2,0203,144.0,46.0,2.0,1.0,6.0,0.0,12.0,3.0,5.0,0.0,0.0,0.0,100.0,0.0,11.0,11.0,8.0,5.0,5.0,7.0,2.0,9.0,0.0
3,0205,178.0,39.0,0.0,1.0,9.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,139.0,0.0,26.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0204,251.0,73.0,3.0,1.0,10.0,0.0,15.0,5.0,8.0,0.0,0.0,0.0,178.0,0.0,27.0,23.0,12.0,8.0,8.0,5.0,0.0,0.0,0.0
5,0206,135.0,43.0,0.0,1.0,20.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,91.0,0.0,15.0,11.0,7.0,0.0,0.0,3.0,4.0,0.0,0.0
6,0303,193.0,106.0,0.0,38.0,16.0,13.0,23.0,1.0,16.0,0.0,0.0,0.0,85.0,1.0,35.0,23.0,8.0,4.0,0.0,0.0,0.0,0.0,7.0
7,0304,143.0,68.0,1.0,18.0,24.0,4.0,6.0,2.0,10.0,0.0,0.0,0.0,75.0,0.0,5.0,29.0,1.0,4.0,1.0,2.0,1.0,0.0,28.0
8,0307,1057.0,429.0,24.0,53.0,45.0,27.0,27.0,71.0,12.0,43.0,3.0,0.0,628.0,44.0,24.0,46.0,33.0,183.0,31.0,0.0,16.0,9.0,18.0
9,0402,315.0,79.0,0.0,11.0,47.0,2.0,2.0,5.0,0.0,3.0,0.0,0.0,236.0,1.0,0.0,53.0,105.0,16.0,0.0,1.0,0.0,5.0,32.0
10,0401,137.0,90.0,1.0,6.0,27.0,0.0,26.0,12.0,1.0,2.0,2.0,0.0,49.0,0.0,0.0,15.0,4.0,3.0,0.0,0.0,6.0,2.0,0.0
11,0403,116.0,62.0,0.0,5.0,30.0,0.0,13.0,3.0,1.0,2.0,0.0,0.0,53.0,0.0,0.0,16.0,10.0,8.0,0.0,0.0,3.0,3.0,0.0
12,0405,461.0,306.0,44.0,114.0,39.0,28.0,21.0,34.0,4.0,1.0,0.0,0.0,153.0,22.0,14.0,13.0,5.0,24.0,24.0,8.0,0.0,0.0,1.0
13,0406,455.0,294.0,39.0,99.0,19.0,13.0,28.0,55.0,23.0,9.0,0.0,0.0,162.0,16.0,38.0,13.0,14.0,20.0,33.0,8.0,0.0,0.0,0.0
14,0404,216.0,111.0,0.0,4.0,2.0,35.0,31.0,1.0,11.0,0.0,0.0,0.0,105.0,0.0,6.0,56.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0
15,0408,676.0,302.0,101.0,111.0,23.0,0.0,7.0,39.0,6.0,10.0,0.0,4.0,373.0,120.0,149.0,22.0,9.0,19.0,7.0,16.0,24.0,0.0,0.0
16,0409,1017.0,449.0,94.0,132.0,50.0,5.0,22.0,54.0,34.0,18.0,3.0,3.0,568.0,102.0,119.0,42.0,8.0,94.0,35.0,81.0,40.0,0.0,2.0
17,0504,124.0,58.0,0.0,1.0,29.0,4.0,8.0,0.0,14.0,0.0,0.0,0.0,66.0,0.0,2.0,7.0,30.0,7.0,0.0,8.0,11.0,0.0,0.0
18,0503,173.0,111.0,0.0,7.0,47.0,38.0,16.0,0.0,0.0,3.0,0.0,0.0,62.0,0.0,17.0,8.0,23.0,7.0,4.0,0.0,3.0,0.0,0.0
19,0501,406.0,324.0,23.0,65.0,66.0,1.0,28.0,81.0,3.0,14.0,20.0,0.0,84.0,32.0,5.0,9.0,4.0,4.0,2.0,1.0,5.0,19.0,3.0
20,0902,491.0,94.0,1.0,3.0,5.0,10.0,13.0,20.0,13.0,8.0,7.0,0.0,397.0,33.0,17.0,37.0,34.0,46.0,9.0,34.0,21.0,32.0,1.0
21,0901,612.0,223.0,14.0,30.0,15.0,20.0,11.0,58.0,1.0,27.0,0.0,0.0,390.0,33.0,11.0,28.0,18.0,119.0,23.0,0.0,15.0,1.0,9.0
22,0502,548.0,263.0,15.0,44.0,37.0,55.0,58.0,32.0,0.0,0.0,0.0,0.0,283.0,25.0,37.0,83.0,29.0,34.0,32.0,19.0,0.0,0.0,0.0
23,0603,77.0,21.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,9.0,17.0,13.0,0.0,0.0,14.0,0.0,0.0
24,0605,95.0,84.0,0.0,4.0,52.0,4.0,7.0,13.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,6.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
25,0606,98.0,58.0,0.0,11.0,7.0,13.0,6.0,0.0,0.0,4.0,0.0,0.0,41.0,0.0,0.0,22.0,0.0,6.0,8.0,0.0,5.0,0.0,0.0
26,0602,646.0,262.0,4.0,7.0,13.0,24.0,15.0,31.0,4.0,10.0,0.0,0.0,385.0,12.0,18.0,13.0,49.0,90.0,38.0,58.0,15.0,20.0,0.0
27,0608,32.0,13.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,3.0,0.0,5.0,4.0,0.0,0.0,0.0
28,0702,67.0,29.0,0.0,4.0,2.0,4.0,2.0,7.0,0.0,3.0,2.0,0.0,37.0,0.0,0.0,19.0,0.0,2.0,3.0,0.0,14.0,0.0,0.0
29,0706,328.0,195.0,3.0,8.0,55.0,2.0,31.0,6.0,7.0,6.0,0.0,0.0,132.0,0.0,10.0,30.0,0.0,8.0,29.0,6.0,9.0,0.0,0.0
30,0805,423.0,212.0,2.0,52.0,14.0,8.0,40.0,17.0,17.0,12.0,4.0,6.0,210.0,5.0,24.0,22.0,16.0,36.0,34.0,23.0,11.0,2.0,4.0
31,0803,847.0,394.0,10.0,49.0,35.0,14.0,32.0,21.0,18.0,14.0,31.0,0.0,456.0,0.0,25.0,45.0,58.0,51.0,85.0,38.0,11.0,1.0,0.0
32,1201,856.0,334.0,22.0,42.0,27.0,17.0,30.0,30.0,15.0,21.0,9.0,0.0,522.0,13.0,47.0,48.0,32.0,94.0,56.0,28.0,22.0,0.0,0.0
33,0905,706.0,287.0,41.0,83.0,8.0,5.0,20.0,14.0,13.0,14.0,13.0,0.0,419.0,27.0,41.0,33.0,34.0,54.0,75.0,49.0,24.0,12.0,0.0
34,1002,493.0,269.0,28.0,102.0,33.0,8.0,9.0,33.0,27.0,8.0,2.0,0.0,224.0,24.0,27.0,25.0,0.0,42.0,24.0,45.0,14.0,0.0,0.0
35,1001,362.0,177.0,26.0,50.0,25.0,4.0,9.0,22.0,17.0,5.0,2.0,0.0,185.0,21.0,18.0,16.0,0.0,39.0,18.0,42.0,11.0,0.0,0.0
36,0904,1251.0,578.0,65.0,121.0,33.0,26.0,39.0,36.0,27.0,26.0,29.0,0.0,674.0,42.0,56.0,69.0,56.0,72.0,116.0,88.0,44.0,6.0,0.0
37,0903,1475.0,666.0,33.0,150.0,35.0,79.0,68.0,51.0,34.0,25.0,24.0,0.0,808.0,33.0,33.0,115.0,89.0,77.0,87.0,75.0,69.0,16.0,0.0
38,0804,570.0,258.0,5.0,20.0,6.0,8.0,23.0,9.0,10.0,12.0,30.0,0.0,313.0,0.0,16.0,30.0,41.0,31.0,58.0,27.0,11.0,0.0,0.0
39,0806,489.0,270.0,10.0,62.0,44.0,12.0,31.0,20.0,21.0,7.0,3.0,0.0,220.0,5.0,24.0,18.0,19.0,53.0,45.0,7.0,5.0,0.0,0.0
40,0709,158.0,68.0,0.0,17.0,10.0,7.0,0.0,6.0,6.0,0.0,6.0,0.0,89.0,0.0,16.0,17.0,4.0,5.0,5.0,19.0,8.0,0.0,0.0
41,0710,592.0,333.0,0.0,91.0,26.0,23.0,68.0,50.0,18.0,23.0,3.0,18.0,258.0,0.0,35.0,36.0,13.0,5.0,42.0,64.0,30.0,7.0,12.0
42,0807,218.0,103.0,2.0,21.0,16.0,3.0,11.0,7.0,9.0,2.0,2.0,0.0,115.0,2.0,9.0,12.0,12.0,22.0,20.0,5.0,2.0,0.0,0.0
43,1006,956.0,396.0,5.0,15.0,46.0,52.0,41.0,17.0,40.0,11.0,18.0,0.0,560.0,23.0,9.0,59.0,26.0,64.0,43.0,63.0,36.0,36.0,19.0
44,1003,307.0,206.0,4.0,105.0,16.0,6.0,2.0,17.0,24.0,5.0,0.0,0.0,101.0,4.0,21.0,18.0,1.0,14.0,13.0,0.0,9.0,0.0,4.0
45,1101,491.0,209.0,18.0,41.0,11.0,0.0,18.0,16.0,16.0,38.0,7.0,2.0,282.0,0.0,24.0,7.0,10.0,48.0,43.0,37.0,31.0,24.0,2.0
46,1007,1082.0,543.0,12.0,23.0,84.0,62.0,60.0,38.0,43.0,12.0,24.0,9.0,538.0,17.0,19.0,57.0,33.0,71.0,58.0,54.0,40.0,24.0,15.0
47,1209,639.0,261.0,7.0,6.0,30.0,43.0,35.0,7.0,20.0,28.0,0.0,3.0,378.0,3.0,30.0,33.0,26.0,25.0,39.0,54.0,37.0,0.0,13.0
48,1103,513.0,227.0,8.0,4.0,9.0,26.0,6.0,30.0,30.0,24.0,5.0,1.0,286.0,0.0,15.0,16.0,26.0,13.0,49.0,58.0,11.0,22.0,1.0
49,1105,727.0,305.0,26.0,14.0,23.0,36.0,42.0,16.0,15.0,43.0,2.0,8.0,423.0,5.0,51.0,37.0,21.0,46.0,50.0,63.0,32.0,21.0,4.0
50,1106,691.0,287.0,13.0,9.0,20.0,67.0,68.0,10.0,7.0,6.0,0.0,12.0,404.0,9.0,48.0,55.0,31.0,52.0,17.0,76.0,11.0,0.0,5.0
51,1107,733.0,314.0,7.0,31.0,35.0,43.0,75.0,18.0,4.0,17.0,0.0,6.0,419.0,5.0,34.0,57.0,26.0,35.0,37.0,53.0,21.0,21.0,5.0
52,1104,1307.0,549.0,56.0,29.0,41.0,39.0,52.0,34.0,33.0,105.0,6.0,13.0,757.0,5.0,91.0,51.0,27.0,76.0,113.0,101.0,71.0,54.0,7.0
53,1206,522.0,257.0,8.0,12.0,17.0,35.0,35.0,12.0,18.0,17.0,0.0,4.0,264.0,9.0,12.0,16.0,14.0,40.0,17.0,38.0,14.0,0.0,0.0
54,1204,693.0,358.0,10.0,21.0,6.0,27.0,50.0,23.0,0.0,32.0,0.0,0.0,335.0,23.0,12.0,21.0,23.0,77.0,8.0,32.0,22.0,0.0,0.0
55,1205,302.0,113.0,15.0,16.0,11.0,3.0,16.0,14.0,7.0,8.0,3.0,0.0,188.0,4.0,23.0,12.0,4.0,36.0,28.0,10.0,11.0,0.0,0.0
56,1301,1066.0,573.0,18.0,96.0,37.0,24.0,73.0,121.0,70.0,49.0,0.0,0.0,493.0,9.0,8.0,45.0,59.0,53.0,82.0,53.0,37.0,18.0,0.0
57,1306,435.0,203.0,10.0,15.0,40.0,15.0,13.0,42.0,16.0,2.0,5.0,0.0,233.0,0.0,10.0,23.0,39.0,16.0,41.0,27.0,13.0,4.0,0.0
58,1308,166.0,91.0,0.0,11.0,19.0,28.0,14.0,12.0,0.0,0.0,0.0,0.0,75.0,13.0,0.0,31.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0
59,1304,939.0,485.0,11.0,56.0,27.0,27.0,82.0,71.0,55.0,28.0,0.0,0.0,455.0,16.0,15.0,27.0,61.0,64.0,76.0,37.0,28.0,21.0,0.0
60,1302,482.0,258.0,6.0,41.0,16.0,11.0,35.0,54.0,32.0,21.0,0.0,0.0,224.0,4.0,3.0,20.0,28.0,23.0,38.0,21.0,17.0,9.0,0.0
61,1307,119.0,60.0,0.0,11.0,11.0,15.0,7.0,7.0,1.0,0.0,2.0,0.0,59.0,6.0,5.0,20.0,0.0,2.0,3.0,10.0,2.0,0.0,0.0
62,1309,356.0,176.0,8.0,17.0,33.0,27.0,20.0,29.0,6.0,2.0,2.0,0.0,182.0,8.0,3.0,29.0,22.0,14.0,24.0,18.0,6.0,3.0,0.0
63,1305,568.0,277.0,7.0,21.0,27.0,19.0,43.0,34.0,27.0,8.0,2.0,0.0,292.0,9.0,15.0,17.0,44.0,39.0,51.0,27.0,16.0,12.0,0.0
64,1401,1616.0,835.0,61.0,144.0,54.0,47.0,57.0,69.0,59.0,61.0,5.0,0.0,781.0,20.0,34.0,33.0,59.0,158.0,99.0,144.0,36.0,18.0,0.0
65,1406,665.0,365.0,4.0,72.0,67.0,17.0,40.0,32.0,6.0,17.0,0.0,0.0,299.0,12.0,20.0,3.0,17.0,73.0,27.0,16.0,22.0,5.0,0.0
66,1404,927.0,483.0,31.0,25.0,36.0,42.0,18.0,62.0,48.0,25.0,1.0,17.0,443.0,9.0,27.0,56.0,15.0,86.0,33.0,66.0,29.0,4.0,0.0
67,1403,782.0,419.0,3.0,72.0,65.0,23.0,38.0,33.0,9.0,19.0,2.0,0.0,363.0,10.0,18.0,5.0,20.0,77.0,36.0,26.0,25.0,9.0,0.0
