,Ward/Precinct,CC Ballots 2009,CC Ballots 2019,M Ballots 2009,M Ballots 2017,CVAP 2009,CVAP 2017,CVAP 2019,CC Voter Turnout 2009,CC Voter Turnout 2019,M Voter Turnout 2009,M Voter Turnout 2017,CC % Net Change,M % Net Change,CC Net Change,M Net Change,Neighborhood
123,1404,375,135,375,299.0,1353.0,1716.0,1716.0,0.28,0.08,0.28,0.17,-0.2,-0.11000000000000001,-240,-76.0,Dorchester
124,1405,245,134,245,241.0,937.0,1064.0,1064.0,0.26,0.13,0.26,0.23,-0.13,-0.03,-111,-4.0,Dorchester
125,1406,289,116,289,272.0,1053.0,1094.0,1094.0,0.27,0.11,0.27,0.25,-0.16000000000000003,-0.020000000000000018,-173,-17.0,Dorchester
126,1407,295,119,295,235.0,1117.0,1360.0,1360.0,0.26,0.09,0.26,0.17,-0.17,-0.09,-176,-60.0,Dorchester
127,1408,336,178,336,331.0,889.0,1166.0,1166.0,0.38,0.15,0.38,0.28,-0.23,-0.09999999999999998,-158,-5.0,Roslindale
128,1409,240,98,240,227.0,1045.0,1300.0,1300.0,0.23,0.08,0.23,0.17,-0.15000000000000002,-0.06,-142,-13.0,Roxbury
129,1410,336,152,336,318.0,1278.0,2165.0,2165.0,0.26,0.07,0.26,0.15,-0.19,-0.11000000000000001,-184,-18.0,Dorchester
130,1411,181,121,181,263.0,888.0,1504.0,1504.0,0.2,0.08,0.2,0.17,-0.12000000000000001,-0.03,-60,82.0,Roxbury
131,1412,179,74,179,193.0,494.0,765.0,765.0,0.36,0.1,0.36,0.25,-0.26,-0.10999999999999999,-105,14.0,Dorchester
132,1413,259,113,259,288.0,903.0,1147.0,1147.0,0.29,0.1,0.29,0.25,-0.18999999999999997,-0.03999999999999998,-146,29.0,Mattapan
133,1414,319,155,319,313.0,1211.0,1504.0,1504.0,0.26,0.1,0.26,0.21,-0.16,-0.05000000000000002,-164,-6.0,Dorchester
134,1501,339,129,339,281.0,1462.0,1784.0,1784.0,0.23,0.07,0.23,0.16,-0.16,-0.07,-210,-58.0,Dorchester
135,1502,240,79,240,195.0,818.0,891.0,891.0,0.29,0.09,0.29,0.22,-0.19999999999999998,-0.06999999999999998,-161,-45.0,Dorchester
136,1503,164,53,164,121.0,638.0,693.0,693.0,0.26,0.08,0.26,0.17,-0.18,-0.09,-111,-43.0,Dorchester
137,1504,407,191,407,400.0,1677.0,1930.0,1930.0,0.24,0.1,0.24,0.21,-0.13999999999999999,-0.03,-216,-7.0,Dorchester
138,1505,268,149,268,291.0,1155.0,1326.0,1326.0,0.23,0.11,0.23,0.22,-0.12000000000000001,-0.010000000000000009,-119,23.0,Dorchester
139,1506,250,152,250,250.0,834.0,915.0,915.0,0.3,0.17,0.3,0.27,-0.12999999999999998,-0.02999999999999997,-98,0.0,Dorchester
140,1507,238,122,238,262.0,784.0,810.0,810.0,0.3,0.15,0.3,0.32,-0.15,0.020000000000000018,-116,24.0,Dorchester
141,1508,234,129,234,249.0,910.0,1083.0,1083.0,0.26,0.12,0.26,0.23,-0.14,-0.03,-105,15.0,Dorchester
142,1509,288,153,288,266.0,1173.0,1246.0,1246.0,0.25,0.12,0.25,0.21,-0.13,-0.04000000000000001,-135,-22.0,Dorchester
143,1601,325,154,325,290.0,1005.0,1145.0,1145.0,0.32,0.13,0.32,0.25,-0.19,-0.07,-171,-35.0,Dorchester
144,1602,283,161,283,303.0,2567.0,2887.0,2887.0,0.11,0.06,0.11,0.1,-0.05,-0.009999999999999995,-122,20.0,Dorchester
145,1603,437,215,437,388.0,888.0,1181.0,1181.0,0.49,0.18,0.49,0.33,-0.31,-0.15999999999999998,-222,-49.0,Dorchester
146,1604,385,200,385,362.0,871.0,1093.0,1093.0,0.44,0.18,0.44,0.33,-0.26,-0.10999999999999999,-185,-23.0,Dorchester
147,1605,490,268,490,417.0,1161.0,1390.0,1390.0,0.42,0.19,0.42,0.3,-0.22999999999999998,-0.12,-222,-73.0,Dorchester
148,1606,499,294,499,526.0,1212.0,1556.0,1556.0,0.41,0.19,0.41,0.34,-0.21999999999999997,-0.06999999999999995,-205,27.0,Dorchester
149,1607,603,350,603,556.0,1539.0,2035.0,2035.0,0.39,0.17,0.39,0.27,-0.22,-0.12,-253,-47.0,Dorchester
150,1608,587,416,587,596.0,776.0,841.0,841.0,0.76,0.49,0.76,0.71,-0.27,-0.050000000000000044,-171,9.0,Dorchester
151,1609,781,466,781,670.0,889.0,896.0,896.0,0.88,0.52,0.88,0.75,-0.36,-0.13,-315,-111.0,Dorchester
152,1610,496,257,496,442.0,1086.0,1107.0,1107.0,0.46,0.23,0.46,0.4,-0.23,-0.06,-239,-54.0,Dorchester
153,1611,646,391,646,603.0,1826.0,1963.0,1963.0,0.35,0.2,0.35,0.31,-0.14999999999999997,-0.03999999999999998,-255,-43.0,Mattapan
154,1612,808,534,808,698.0,1776.0,1789.0,1789.0,0.45,0.3,0.45,0.39,-0.15000000000000002,-0.06,-274,-110.0,Dorchester
155,1701,282,113,282,266.0,1206.0,1408.0,1408.0,0.23,0.08,0.23,0.19,-0.15000000000000002,-0.04000000000000001,-169,-16.0,Dorchester
156,1702,219,109,219,209.0,831.0,1003.0,1003.0,0.26,0.11,0.26,0.21,-0.15000000000000002,-0.05000000000000002,-110,-10.0,Dorchester
157,1703,496,315,496,538.0,1783.0,1977.0,1977.0,0.28,0.16,0.28,0.27,-0.12000000000000002,-0.010000000000000009,-181,42.0,Dorchester
158,1704,703,352,703,637.0,1827.0,2487.0,2487.0,0.38,0.14,0.38,0.26,-0.24,-0.12,-351,-66.0,Mattapan
159,1705,171,97,171,196.0,781.0,996.0,996.0,0.22,0.1,0.22,0.2,-0.12,-0.01999999999999999,-74,25.0,Dorchester
160,1706,432,222,432,384.0,966.0,1169.0,1169.0,0.45,0.19,0.45,0.33,-0.26,-0.12,-210,-48.0,Dorchester
161,1707,184,94,184,187.0,877.0,1100.0,1100.0,0.21,0.09,0.21,0.17,-0.12,-0.03999999999999998,-90,3.0,Dorchester
162,1708,345,152,345,328.0,1153.0,1608.0,1608.0,0.3,0.09,0.3,0.2,-0.21,-0.09999999999999998,-193,-17.0,Dorchester
163,1709,366,256,366,345.0,829.0,1157.0,1157.0,0.44,0.22,0.44,0.3,-0.22,-0.14,-110,-21.0,Dorchester
164,1710,408,168,408,432.0,1372.0,1770.0,1770.0,0.3,0.09,0.3,0.24,-0.21,-0.06,-240,24.0,Mattapan
165,1711,149,102,149,171.0,454.0,632.0,632.0,0.33,0.16,0.33,0.27,-0.17,-0.06,-47,22.0,Dorchester
166,1712,333,150,333,324.0,750.0,955.0,955.0,0.44,0.16,0.44,0.34,-0.28,-0.09999999999999998,-183,-9.0,Dorchester
167,1713,570,299,570,518.0,1770.0,1968.0,1968.0,0.32,0.15,0.32,0.26,-0.17,-0.06,-271,-52.0,Mattapan
168,1714,362,290,362,483.0,1003.0,1241.0,1241.0,0.36,0.23,0.36,0.39,-0.12999999999999998,0.030000000000000027,-72,121.0,Dorchester
169,1801,574,346,574,611.0,2241.0,2882.0,2882.0,0.26,0.12,0.26,0.21,-0.14,-0.05000000000000002,-228,37.0,Dorchester
170,1802,432,197,432,382.0,1444.0,1706.0,1706.0,0.3,0.12,0.3,0.22,-0.18,-0.07999999999999999,-235,-50.0,Dorchester
171,1803,519,264,519,486.0,1848.0,1902.0,1902.0,0.28,0.14,0.28,0.26,-0.14,-0.020000000000000018,-255,-33.0,Roslindale
172,1804,479,259,479,445.0,1652.0,1901.0,1901.0,0.29,0.14,0.29,0.23,-0.14999999999999997,-0.05999999999999997,-220,-34.0,Hyde Park
173,1805,565,314,565,545.0,1197.0,1395.0,1395.0,0.47,0.23,0.47,0.39,-0.23999999999999996,-0.07999999999999996,-251,-20.0,Mattapan
174,1806,601,354,601,599.0,1353.0,1577.0,1577.0,0.44,0.22,0.44,0.38,-0.22,-0.06,-247,-2.0,Mattapan
175,1807,454,277,454,451.0,1903.0,2229.0,2229.0,0.24,0.12,0.24,0.2,-0.12,-0.03999999999999998,-177,-3.0,Jamaica Plain
176,1808,838,385,838,692.0,2967.0,3475.0,3475.0,0.28,0.11,0.28,0.2,-0.17000000000000004,-0.08000000000000002,-453,-146.0,Roslindale
177,1809,590,346,590,499.0,1676.0,1844.0,1844.0,0.35,0.19,0.35,0.27,-0.15999999999999998,-0.07999999999999996,-244,-91.0,Hyde Park
178,1810,760,598,760,751.0,1883.0,2299.0,2299.0,0.4,0.26,0.4,0.33,-0.14,-0.07,-162,-9.0,Roslindale
179,1811,371,236,371,350.0,1230.0,1597.0,1597.0,0.3,0.15,0.3,0.22,-0.15,-0.07999999999999999,-135,-21.0,West Roxbury
180,1812,602,321,602,480.0,1531.0,1845.0,1845.0,0.39,0.17,0.39,0.26,-0.22,-0.13,-281,-122.0,West Roxbury
