,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
182,1411,585.0,287.0,19.0,27.0,15.0,30.0,77.0,30.0,15.0,10.0,0.0,0.0,297.0,1.0,38.0,23.0,28.0,40.0,46.0,20.0,18.0,2.0,3.0
183,1907,1219.0,556.0,33.0,12.0,94.0,23.0,81.0,52.0,60.0,58.0,5.0,0.0,663.0,49.0,61.0,27.0,62.0,75.0,39.0,74.0,24.0,18.0,1.0
184,1803,380.0,155.0,1.0,1.0,7.0,1.0,21.0,14.0,8.0,9.0,0.0,0.0,223.0,0.0,6.0,19.0,15.0,61.0,17.0,6.0,1.0,0.0,0.0
185,1408,473.0,269.0,2.0,31.0,22.0,14.0,53.0,46.0,21.0,11.0,0.0,0.0,203.0,0.0,5.0,13.0,19.0,43.0,13.0,40.0,8.0,16.0,0.0
186,1909,181.0,67.0,0.0,3.0,5.0,10.0,16.0,8.0,2.0,0.0,0.0,0.0,114.0,1.0,5.0,17.0,16.0,0.0,5.0,11.0,4.0,7.0,0.0
187,1208,423.0,197.0,0.0,37.0,8.0,33.0,22.0,8.0,15.0,0.0,0.0,0.0,226.0,10.0,35.0,4.0,15.0,18.0,39.0,35.0,5.0,0.0,0.0
188,0207,50.0,34.0,0.0,12.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
189,0202,842.0,398.0,7.0,45.0,36.0,64.0,42.0,20.0,29.0,9.0,0.0,0.0,443.0,15.0,37.0,44.0,13.0,71.0,39.0,54.0,33.0,0.0,0.0
190,0306,585.0,297.0,11.0,15.0,38.0,85.0,50.0,34.0,25.0,0.0,0.0,0.0,287.0,35.0,27.0,30.0,62.0,54.0,32.0,0.0,2.0,14.0,0.0
191,0302,33.0,22.0,0.0,8.0,2.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,7.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
192,2103,393.0,220.0,11.0,85.0,20.0,19.0,39.0,10.0,10.0,0.0,0.0,0.0,173.0,7.0,71.0,42.0,4.0,11.0,11.0,3.0,6.0,0.0,0.0
193,2114,82.0,39.0,1.0,21.0,12.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,10.0,16.0,7.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0
194,2201,1396.0,616.0,57.0,101.0,147.0,60.0,48.0,55.0,23.0,3.0,0.0,0.0,782.0,217.0,165.0,167.0,60.0,42.0,27.0,19.0,21.0,2.0,0.0
195,2205,272.0,161.0,1.0,1.0,23.0,12.0,24.0,23.0,0.0,4.0,0.0,0.0,112.0,1.0,11.0,18.0,38.0,19.0,0.0,2.0,0.0,0.0,0.0
196,2212,419.0,166.0,0.0,15.0,23.0,13.0,12.0,8.0,0.0,12.0,0.0,0.0,253.0,3.0,41.0,20.0,30.0,36.0,4.0,1.0,9.0,0.0,0.0
197,2211,193.0,75.0,0.0,7.0,22.0,11.0,0.0,9.0,1.0,3.0,8.0,0.0,118.0,0.0,36.0,26.0,5.0,5.0,9.0,5.0,11.0,0.0,0.0
198,2208,240.0,117.0,3.0,7.0,34.0,4.0,2.0,0.0,22.0,6.0,0.0,0.0,122.0,8.0,11.0,20.0,16.0,0.0,0.0,27.0,0.0,26.0,0.0
199,2116,459.0,228.0,45.0,129.0,18.0,8.0,0.0,27.0,0.0,0.0,0.0,0.0,232.0,66.0,133.0,19.0,8.0,0.0,0.0,2.0,0.0,0.0,4.0
200,2112,155.0,73.0,0.0,38.0,26.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,18.0,26.0,16.0,8.0,0.0,0.0,0.0,13.0,0.0,0.0
201,0510,611.0,332.0,84.0,86.0,35.0,50.0,14.0,4.0,0.0,13.0,0.0,0.0,278.0,73.0,87.0,28.0,17.0,37.0,7.0,17.0,3.0,0.0,1.0
202,2102,465.0,218.0,84.0,81.0,39.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,247.0,116.0,77.0,35.0,8.0,0.0,6.0,2.0,1.0,1.0,0.0
203,1310,276.0,126.0,20.0,12.0,7.0,5.0,17.0,10.0,2.0,4.0,0.0,0.0,149.0,8.0,20.0,0.0,17.0,34.0,14.0,4.0,8.0,8.0,0.0
204,1303,560.0,264.0,59.0,36.0,1.0,12.0,4.0,21.0,6.0,1.0,0.0,0.0,297.0,24.0,44.0,0.0,28.0,92.0,11.0,11.0,18.0,10.0,0.0
205,1610,41.0,19.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,7.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0
206,1713,37.0,17.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,21.0,0.0,5.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
207,1612,56.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,15.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0
208,1602,275.0,168.0,0.0,27.0,6.0,30.0,5.0,22.0,52.0,1.0,0.0,11.0,106.0,7.0,12.0,1.0,0.0,7.0,16.0,32.0,0.0,12.0,13.0
209,0604,77.0,35.0,0.0,1.0,4.0,3.0,0.0,20.0,0.0,1.0,1.0,0.0,43.0,0.0,0.0,10.0,2.0,7.0,0.0,0.0,10.0,0.0,0.0
210,0607,80.0,38.0,0.0,1.0,7.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,43.0,0.0,5.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0
211,0701,31.0,13.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,4.0,2.0,7.0,1.0,0.0,0.0,3.0,0.0,0.0
212,0609,57.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,35.0,0.0,19.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
213,0707,1014.0,467.0,1.0,7.0,22.0,36.0,28.0,17.0,54.0,7.0,0.0,13.0,547.0,12.0,65.0,23.0,52.0,83.0,119.0,46.0,11.0,0.0,0.0
214,0703,89.0,29.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,4.0,3.0,0.0,60.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0
215,0308,448.0,171.0,21.0,18.0,26.0,54.0,17.0,9.0,8.0,4.0,3.0,3.0,276.0,81.0,56.0,5.0,42.0,8.0,28.0,3.0,9.0,12.0,0.0
216,0801,638.0,303.0,0.0,26.0,36.0,12.0,26.0,60.0,20.0,8.0,5.0,1.0,336.0,1.0,10.0,34.0,23.0,78.0,45.0,22.0,31.0,6.0,0.0
217,0601,544.0,232.0,10.0,41.0,22.0,11.0,22.0,14.0,0.0,3.0,0.0,0.0,311.0,10.0,18.0,19.0,17.0,68.0,65.0,26.0,10.0,0.0,0.0
218,0305,469.0,243.0,8.0,13.0,17.0,22.0,75.0,28.0,9.0,0.0,0.0,0.0,225.0,0.0,5.0,52.0,66.0,29.0,30.0,0.0,6.0,2.0,0.0
219,0201,230.0,67.0,0.0,3.0,31.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,1.0,33.0,0.0,3.0,18.0,1.0,1.0,4.0,0.0
220,0108,1821.0,946.0,12.0,122.0,77.0,108.0,176.0,116.0,23.0,9.0,0.0,10.0,874.0,19.0,77.0,96.0,114.0,164.0,99.0,36.0,27.0,0.0,3.0
