,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
103,0704,101.0,45.0,2.0,2.0,7.0,8.0,2.0,7.0,0.0,8.0,10.0,0.0,56.0,0.0,6.0,7.0,4.0,0.0,17.0,9.0,1.0,6.0,0.0
104,0708,200.0,76.0,0.0,0.0,19.0,5.0,19.0,11.0,11.0,6.0,0.0,0.0,125.0,0.0,1.0,28.0,7.0,8.0,2.0,28.0,30.0,18.0,0.0
105,1203,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0
106,1202,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0
107,1102,53.0,31.0,0.0,2.0,4.0,17.0,0.0,0.0,2.0,5.0,0.0,0.0,20.0,0.0,1.0,1.0,5.0,1.0,0.0,7.0,2.0,0.0,0.0
108,1904,116.0,46.0,0.0,1.0,10.0,5.0,15.0,1.0,2.0,0.0,4.0,6.0,72.0,1.0,5.0,15.0,11.0,20.0,6.0,0.0,3.0,5.0,0.0
109,1905,80.0,34.0,3.0,0.0,2.0,1.0,12.0,6.0,1.0,0.0,2.0,8.0,47.0,2.0,2.0,2.0,4.0,15.0,7.0,3.0,3.0,3.0,0.0
110,1903,83.0,31.0,0.0,0.0,4.0,1.0,11.0,2.0,3.0,0.0,2.0,7.0,53.0,7.0,7.0,4.0,3.0,17.0,6.0,0.0,5.0,2.0,0.0
111,1402,35.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,2.0,4.0,4.0,14.0,0.0,0.0,0.0,0.0
112,1407,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
113,1409,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
