,Ward Precinct ,JOHN R CONNOLLY,MARTY J WALSH,LEE BUCKLEY (WRITE-IN),DAVID JAMES WYATT (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
216,2012.0,445.0,239.0,0.0,0.0,2.0,686.0,2.0,688.0,1022.0,1249.0,1656.6790270627423,0.897,0.019,0.0,0.054,0.018
217,2013.0,392.0,215.0,0.0,0.0,5.0,612.0,3.0,615.0,948.0,686.0,910.5772173255638,0.888,0.018,0.0,0.064,0.018
218,2014.0,436.0,211.0,0.0,0.0,3.0,650.0,0.0,650.0,958.0,1054.0,1436.1446014948767,0.883,0.023,0.0,0.03,0.045
219,2015.0,471.0,448.0,0.0,0.0,4.0,923.0,4.0,927.0,1875.0,1585.0,2294.445051674238,0.645,0.203,0.0,0.086,0.049
220,2016.0,556.0,478.0,0.0,0.0,7.0,1041.0,8.0,1049.0,1805.0,1456.0,2011.7640440931937,0.896,0.02,0.0,0.084,0.0
221,2017.0,729.0,420.0,0.0,1.0,2.0,1152.0,6.0,1158.0,1881.0,3435.0,4604.415668654059,0.853,0.012,0.0,0.102,0.02
222,2018.0,378.0,188.0,0.0,0.0,0.0,566.0,1.0,567.0,969.0,1027.0,1362.8922415595673,0.897,0.019,0.0,0.054,0.018
223,2019.0,374.0,253.0,0.0,0.0,7.0,634.0,7.0,641.0,973.0,725.0,958.6640018446672,0.89,0.029,0.0,0.051,0.017
224,2020.0,543.0,281.0,0.0,0.0,3.0,827.0,3.0,830.0,1682.0,1301.0,1740.435130927608,0.86,0.013,0.0,0.095,0.019
225,2101.0,189.0,102.0,0.0,0.0,1.0,292.0,0.0,292.0,1758.0,2691.0,3550.5085860254235,0.662,0.028,0.001,0.249,0.037
226,2102.0,37.0,21.0,0.0,0.0,0.0,58.0,0.0,58.0,1357.0,3326.0,4209.543625771543,0.641,0.05,0.001,0.228,0.032
227,2103.0,70.0,66.0,0.0,0.0,0.0,136.0,2.0,138.0,1308.0,1954.0,2584.46748810037,0.597,0.102,0.001,0.213,0.055
228,2104.0,67.0,57.0,0.0,0.0,0.0,124.0,1.0,125.0,1038.0,1251.0,1713.3599456335148,0.604,0.067,0.002,0.144,0.114
229,2105.0,117.0,83.0,0.0,0.0,0.0,200.0,3.0,203.0,1464.0,2258.0,2965.112739657259,0.634,0.076,0.0,0.193,0.064
230,2106.0,173.0,133.0,0.0,0.0,2.0,308.0,1.0,309.0,1101.0,1440.0,1890.6732500176288,0.665,0.063,0.003,0.187,0.055
231,2107.0,135.0,128.0,0.0,0.0,0.0,263.0,1.0,264.0,1466.0,1558.0,2090.1671500816883,0.634,0.08,0.004,0.186,0.055
232,2108.0,127.0,112.0,0.0,0.0,0.0,239.0,2.0,241.0,1692.0,1772.0,2359.018132631843,0.643,0.06,0.01,0.224,0.018
233,2109.0,168.0,149.0,0.0,0.0,0.0,317.0,3.0,320.0,1850.0,2591.0,3551.9698900332373,0.623,0.104,0.007,0.181,0.045
234,2110.0,167.0,126.0,0.0,0.0,0.0,293.0,2.0,295.0,1335.0,1313.0,1542.9433397463747,0.766,0.057,0.013,0.111,0.017
235,2111.0,199.0,134.0,0.0,0.0,3.0,336.0,0.0,336.0,1684.0,1857.0,2471.440412825434,0.722,0.026,0.0,0.213,0.007
236,2112.0,227.0,181.0,0.0,0.0,5.0,413.0,11.0,424.0,1602.0,1767.0,1992.3425107736052,0.799,0.048,0.016,0.09,0.009
237,2113.0,381.0,343.0,0.0,0.0,2.0,726.0,11.0,737.0,2067.0,2433.0,3139.73737748263,0.747,0.023,0.002,0.178,0.008
238,2114.0,106.0,61.0,0.0,0.0,1.0,168.0,0.0,168.0,927.0,937.0,1054.1629717917451,0.802,0.045,0.014,0.097,0.009
239,2115.0,144.0,73.0,0.0,0.0,0.0,217.0,0.0,217.0,1196.0,918.0,1069.2803254002097,0.82,0.019,0.007,0.09,0.01
240,2116.0,287.0,176.0,0.0,0.0,2.0,465.0,2.0,467.0,1637.0,5495.0,6154.074392556991,0.817,0.025,0.002,0.128,0.009
241,2201.0,219.0,228.0,0.0,0.0,5.0,452.0,1.0,453.0,1880.0,6518.0,8533.827859071713,0.671,0.062,0.0,0.159,0.062
242,2202.0,253.0,262.0,0.0,0.0,3.0,518.0,9.0,527.0,2008.0,2003.0,2741.495061882365,0.612,0.062,0.001,0.142,0.125
243,2203.0,267.0,201.0,0.0,0.0,0.0,468.0,4.0,472.0,1615.0,2173.0,2771.592914916975,0.691,0.051,0.001,0.193,0.047
244,2204.0,241.0,155.0,0.0,0.0,3.0,399.0,2.0,401.0,1100.0,1151.0,1490.8798964524112,0.772,0.038,0.0,0.138,0.042
245,2205.0,149.0,111.0,0.0,0.0,4.0,264.0,5.0,269.0,948.0,1054.0,1431.0294381050535,0.639,0.049,0.0,0.145,0.15
246,2206.0,124.0,123.0,0.0,0.0,0.0,247.0,0.0,247.0,972.0,912.0,1156.6443854008237,0.706,0.026,0.003,0.209,0.042
247,2207.0,235.0,218.0,0.0,0.0,2.0,455.0,2.0,457.0,1422.0,1467.0,1806.4481548169065,0.814,0.04,0.0,0.085,0.036
248,2208.0,221.0,186.0,0.0,0.0,0.0,407.0,1.0,408.0,1279.0,2076.0,2732.2930504899905,0.736,0.038,0.0,0.182,0.016
249,2209.0,208.0,133.0,0.0,0.0,0.0,341.0,0.0,341.0,1283.0,980.0,1307.857411945463,0.715,0.027,0.0,0.218,0.003
250,2210.0,274.0,268.0,0.0,0.0,2.0,544.0,0.0,544.0,1532.0,1692.0,2120.5283449561853,0.732,0.066,0.0,0.133,0.048
251,2211.0,196.0,161.0,0.0,0.0,3.0,360.0,1.0,361.0,1065.0,1697.0,2084.9995112359043,0.813,0.039,0.0,0.084,0.041
252,2212.0,178.0,189.0,0.0,0.0,0.0,367.0,3.0,370.0,1144.0,1779.0,2253.248252988788,0.651,0.089,0.0,0.151,0.098
253,2213.0,165.0,148.0,0.0,0.0,1.0,314.0,1.0,315.0,852.0,967.0,1248.2400807091617,0.791,0.019,0.0,0.133,0.057
