CANDIDATES,1,2,3,4,5,6,7,8,9,TOTAL
MICHAEL F FLAHERTY,52,32,32,87,56,95,33,85,96,568
ALEJANDRA NICOLE STGUILLEN,32,16,12,44,29,27,36,28,47,271
MICHELLE WU,64,43,28,80,69,78,62,72,96,592
JULIA MEJIA,69,36,26,85,77,43,58,56,64,514
ERIN J MURPHY,8,11,6,32,19,51,18,31,42,218
ALTHEA GARRISON,34,29,19,67,55,29,33,42,45,353
DAVID HALBERT,16,9,9,32,33,26,21,17,45,208
ANNISSA ESSAIBI GEORGE,60,42,25,84,65,74,56,56,64,526
ALL OTHERS,5,0,0,0,1,1,0,1,3,11
VOTES CAST,340,218,157,511,404,424,317,388,502,3261
BLANKS,176,98,55,253,192,184,171,128,110,1367
BALLOTS CAST,129,79,53,191,149,152,122,129,153,1157
