CANDIDATES,1,2,3,4,5,6,7,8,9,TOTAL
MICHAEL F FLAHERTY,107,143,65,67,74,73,176,41,65,811
ALEJANDRA NICOLE STGUILLEN,77,92,48,47,41,33,87,31,46,502
MICHELLE WU,191,203,99,109,82,94,175,58,103,1114
JULIA MEJIA,115,138,69,66,65,51,150,55,81,790
ERIN J MURPHY,29,16,8,8,16,9,37,9,9,141
ALTHEA GARRISON,115,122,71,83,68,60,114,35,79,747
DAVID HALBERT,58,62,35,27,32,35,55,12,22,338
ANNISSA ESSAIBI GEORGE,128,149,64,70,62,70,143,48,80,814
ALL OTHERS,4,1,1,4,15,1,5,0,4,35
VOTES CAST,824,926,460,481,455,426,942,289,489,5292
BLANKS,468,358,280,227,237,230,390,131,187,2508
BALLOTS CAST,323,321,185,177,173,164,333,105,169,1950
