CANDIDATES,1,2,3,4,5,6,7,TOTAL
MICHAEL F FLAHERTY,76,127,57,44,79,27,49,459
ALEJANDRA NICOLE STGUILLEN,73,136,30,19,30,14,38,340
MICHELLE WU,113,235,86,43,81,24,65,647
JULIA MEJIA,73,111,50,43,86,29,55,447
ERIN J MURPHY,36,74,9,6,15,1,16,157
ALTHEA GARRISON,28,53,54,34,59,13,58,299
DAVID HALBERT,48,92,29,9,27,8,27,240
ANNISSA ESSAIBI GEORGE,73,185,64,41,62,22,52,499
ALL OTHERS,3,6,3,0,3,2,0,17
VOTES CAST,523,1019,382,239,442,140,360,3105
BLANKS,161,289,186,117,210,72,120,1155
BALLOTS CAST,171,327,142,89,163,53,120,1065
