CANDIDATES,1,2,3,4,5,TOTAL
MICHAEL F FLAHERTY,120,149,188,129,180,766
ALEJANDRA NICOLE STGUILLEN,107,117,156,70,139,589
MICHELLE WU,158,225,247,124,291,1045
JULIA MEJIA,174,131,198,101,192,796
ERIN J MURPHY,38,46,63,30,35,212
ALTHEA GARRISON,52,55,113,78,164,462
DAVID HALBERT,66,55,87,39,76,323
ANNISSA ESSAIBI GEORGE,107,178,217,88,239,829
ALL OTHERS,2,2,6,8,0,18
VOTES CAST,824,958,1275,667,1316,5040
BLANKS,364,282,313,249,324,1532
BALLOTS CAST,297,310,397,229,410,1643
