CANDIDATES,1,2,3,4,5,6,7,8,9,TOTAL
MICHAEL F FLAHERTY,123,62,61,127,81,52,89,158,109,862
ALEJANDRA NICOLE STGUILLEN,71,58,68,142,86,78,103,171,260,1037
MICHELLE WU,106,96,79,198,123,109,135,264,285,1395
JULIA MEJIA,84,50,37,157,89,99,181,175,234,1106
ERIN J MURPHY,22,21,20,85,18,15,18,38,48,285
ALTHEA GARRISON,47,43,25,41,43,25,34,97,53,408
DAVID HALBERT,30,28,21,89,43,31,51,83,116,492
ANNISSA ESSAIBI GEORGE,98,64,62,93,106,67,88,191,198,967
ALL OTHERS,0,0,3,1,0,0,3,1,5,13
VOTES CAST,581,422,376,933,589,476,702,1178,1308,6565
BLANKS,275,174,136,447,163,112,310,254,188,2059
BALLOTS CAST,214,149,128,345,188,147,253,358,374,2156
