CANDIDATES,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,TOTAL
MICHAEL F FLAHERTY,79,12,29,35,64,103,70,54,52,114,77,164,270,48,58,111,1340
ALEJANDRA NICOLE STGUILLEN,70,15,53,75,79,67,64,103,115,97,95,153,256,51,80,108,1481
MICHELLE WU,134,22,75,107,132,167,135,160,160,169,161,219,355,89,142,171,2398
JULIA MEJIA,64,12,43,75,73,52,81,102,105,93,104,94,164,42,75,99,1278
ERIN J MURPHY,43,4,12,13,27,55,32,19,33,51,46,40,60,23,31,43,532
ALTHEA GARRISON,47,7,18,27,34,52,36,48,35,54,54,53,92,38,36,63,694
DAVID HALBERT,44,7,23,23,46,27,46,60,75,62,57,65,120,25,46,73,799
ANNISSA ESSAIBI GEORGE,98,15,52,68,95,122,96,105,114,120,114,172,230,73,97,129,1700
ALL OTHERS,0,0,2,1,2,0,1,3,1,6,2,0,2,3,1,1,25
VOTES CAST,579,94,307,424,552,645,561,654,690,766,710,960,1549,392,566,798,10247
BLANKS,137,14,33,60,104,187,135,114,86,134,202,192,551,44,98,190,2281
BALLOTS CAST,179,27,85,121,164,208,174,192,194,225,228,288,525,109,166,247,3132
