CANDIDATES,1,2,3,4,5,6,7,8,9,10,TOTAL
MICHAEL F FLAHERTY,275,254,311,136,124,160,131,96,97,72,1656
ALEJANDRA NICOLE STGUILLEN,23,30,35,30,29,36,32,49,54,30,348
MICHELLE WU,84,91,124,77,91,91,76,83,85,71,873
JULIA MEJIA,17,25,25,34,29,48,70,50,53,65,416
ERIN J MURPHY,154,157,171,81,77,75,43,57,66,19,900
ALTHEA GARRISON,118,94,113,57,52,42,29,43,40,46,634
DAVID HALBERT,16,23,27,18,19,28,15,39,24,17,226
ANNISSA ESSAIBI GEORGE,153,148,146,80,72,99,80,112,115,63,1068
ALL OTHERS,7,3,7,2,0,4,3,2,4,1,33
VOTES CAST,847,825,959,515,493,583,479,531,538,384,6154
BLANKS,537,431,605,257,267,213,181,193,170,80,2934
BALLOTS CAST,346,314,391,193,190,199,165,181,177,116,2272
