CANDIDATES,1,2,3,4,5,6,7,8,9,TOTAL
THOMAS M MENINO,139,141,111,350,139,161,297,222,258,1818
MICHAEL F FLAHERTY,88,102,106,135,156,100,95,170,260,1212
WILLIAM FEEGBEH (WRITE-IN),0,0,0,0,0,0,0,0,0,0
ALL OTHERS,0,0,1,1,0,3,1,1,1,8
VOTES CAST,227,243,218,486,295,264,393,393,519,3038
BLANKS,0,5,3,7,9,3,0,5,2,34
BALLOTS CAST,227,248,221,493,304,267,393,398,521,3072
