CANDIDATES,1,2,3,4,5,6,7,8,9,10,TOTAL
THOMAS M MENINO,308,339,185,294,158,173,141,131,79,16,1824
MICHAEL F FLAHERTY,281,298,153,260,161,128,115,103,30,25,1554
WILLIAM FEEGBEH (WRITE-IN),0,0,0,0,0,0,0,0,0,0,0
ALL OTHERS,0,2,0,1,2,2,3,0,1,0,11
VOTES CAST,589,639,338,555,321,303,259,234,110,41,3389
BLANKS,4,4,2,5,2,2,3,0,2,1,25
BALLOTS CAST,593,643,340,560,323,305,262,234,112,42,3414
