CANDIDATES,1,2,3,4,5,6,7,8,9,10,11,12,13,TOTAL
THOMAS M MENINO,169,478,186,231,262,289,292,199,139,373,209,284,226,3337
MICHAEL F FLAHERTY,279,330,227,306,270,363,299,179,200,257,79,185,151,3125
WILLIAM FEEGBEH (WRITE-IN),0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL OTHERS,1,2,1,1,1,2,6,0,1,3,2,1,2,23
VOTES CAST,449,810,414,538,533,654,597,378,340,633,290,470,379,6485
BLANKS,5,13,4,5,9,7,6,3,5,3,4,8,1,73
BALLOTS CAST,454,823,418,543,542,661,603,381,345,636,294,478,380,6558
