CANDIDATES,1,2,3,4,5,6,7,8,9,10,TOTAL
THOMAS M MENINO,154,272,206,295,291,167,235,225,164,189,2198
MICHAEL F FLAHERTY,114,128,82,150,142,207,252,263,227,219,1784
WILLIAM FEEGBEH (WRITE-IN),0,0,0,0,0,0,0,0,0,0,0
ALL OTHERS,6,3,0,3,2,1,8,2,1,2,28
VOTES CAST,274,403,288,448,435,375,495,490,392,410,4010
BLANKS,4,2,4,6,8,5,7,6,1,6,49
BALLOTS CAST,278,405,292,454,443,380,502,496,393,416,4059
