CANDIDATES,1,2,3,4,5,6,7,8,9,TOTAL
THOMAS M MENINO,330,403,210,179,201,178,447,124,206,2278
MICHAEL F FLAHERTY,148,203,89,86,75,64,140,62,86,953
WILLIAM FEEGBEH (WRITE-IN),0,0,0,0,0,0,0,0,0,0
ALL OTHERS,3,0,0,0,0,1,1,0,1,6
VOTES CAST,481,606,299,265,276,243,588,186,293,3237
BLANKS,5,4,0,4,3,4,12,0,3,35
BALLOTS CAST,486,610,299,269,279,247,600,186,296,3272
