CANDIDATES,1,2,3,4,5,6,7,8,9,10,TOTAL
THOMAS M MENINO,184,201,273,168,130,161,154,111,168,246,1796
MICHAEL F FLAHERTY,422,489,597,377,270,258,130,201,163,81,2988
WILLIAM FEEGBEH (WRITE-IN),0,0,0,0,0,0,0,0,0,0,0
ALL OTHERS,1,3,4,4,3,1,0,2,0,0,18
VOTES CAST,607,693,874,549,403,420,284,314,331,327,4802
BLANKS,3,2,7,3,0,1,4,3,2,3,28
BALLOTS CAST,610,695,881,552,403,421,288,317,333,330,4830
