CANDIDATES,1,2,3,4,5,6,7,TOTAL
THOMAS M MENINO,309,304,225,192,227,357,186,1800
MICHAEL F FLAHERTY,399,340,311,198,327,382,286,2243
WILLIAM FEEGBEH (WRITE-IN),0,0,0,0,0,0,0,0
ALL OTHERS,0,1,2,1,3,3,1,11
VOTES CAST,708,645,538,391,557,742,473,4054
BLANKS,4,1,2,5,1,5,2,20
BALLOTS CAST,712,646,540,396,558,747,475,4074
