CANDIDATES,1,2,3,4,5,6,7,TOTAL
THOMAS M MENINO,156,252,185,105,255,100,171,1224
MICHAEL F FLAHERTY,64,200,77,42,87,29,81,580
WILLIAM FEEGBEH (WRITE-IN),0,0,0,0,0,0,0,0
ALL OTHERS,1,1,1,0,1,0,0,4
VOTES CAST,221,453,263,147,343,129,252,1808
BLANKS,1,3,1,3,4,5,3,20
BALLOTS CAST,222,456,264,150,347,134,255,1828
