CANDIDATES,1,2,3,4,5,6,7,8,9,TOTAL
THOMAS M MENINO,233,193,116,281,190,133,165,174,174,1659
MICHAEL F FLAHERTY,101,42,45,121,74,110,71,59,113,736
WILLIAM FEEGBEH (WRITE-IN),0,0,0,0,0,0,0,0,0,0
ALL OTHERS,0,1,1,3,1,3,0,0,0,9
VOTES CAST,334,236,162,405,265,246,236,233,287,2404
BLANKS,5,4,2,2,3,4,2,1,1,24
BALLOTS CAST,339,240,164,407,268,250,238,234,288,2428
