CANDIDATES,1,2,3,4,5,6,7,8,9,TOTAL
THOMAS M MENINO,222,123,118,165,137,205,158,153,171,1452
MICHAEL F FLAHERTY,457,258,344,372,397,434,420,488,493,3663
WILLIAM FEEGBEH (WRITE-IN),0,0,0,0,0,0,0,0,0,0
ALL OTHERS,1,0,2,2,5,0,2,3,1,16
VOTES CAST,680,381,464,539,539,639,580,644,665,5131
BLANKS,3,6,7,2,5,5,7,6,3,44
BALLOTS CAST,683,387,471,541,544,644,587,650,668,5175
