CANDIDATES,1,2,3,4,5,6,7,8,9,10,TOTAL
THOMAS M MENINO,294,85,190,176,163,250,166,192,212,338,2066
MICHAEL F FLAHERTY,91,28,97,65,82,134,251,154,198,408,1508
WILLIAM FEEGBEH (WRITE-IN),0,0,0,0,0,0,0,0,0,0,0
ALL OTHERS,0,0,0,0,1,1,1,1,0,1,5
VOTES CAST,385,113,287,241,246,385,418,347,410,747,3579
BLANKS,3,1,0,1,4,14,3,0,1,8,35
BALLOTS CAST,388,114,287,242,250,399,421,347,411,755,3614
