CANDIDATES,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,TOTAL
THOMAS M MENINO,71,9,54,39,55,138,95,58,147,207,144,291,575,48,79,224,2234
MICHAEL F FLAHERTY,131,17,71,51,90,141,90,91,86,82,142,118,154,74,96,180,1614
WILLIAM FEEGBEH (WRITE-IN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL OTHERS,0,0,2,2,1,2,0,1,0,0,0,2,1,0,0,1,12
VOTES CAST,202,26,127,92,146,281,185,150,233,289,286,411,730,122,175,405,3860
BLANKS,3,0,1,2,2,3,0,5,0,1,0,1,4,0,3,4,29
BALLOTS CAST,205,26,128,94,148,284,185,155,233,290,286,412,734,122,178,409,3889
