CANDIDATES,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
THOMAS M MENINO,215,146,325,477,134,255,140,253,241,281,88,249,306,224,3334
MICHAEL F FLAHERTY,63,71,165,222,37,169,43,89,122,125,58,83,259,132,1638
WILLIAM FEEGBEH (WRITE-IN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL OTHERS,0,0,2,2,0,2,1,1,0,1,0,0,1,5,15
VOTES CAST,278,217,492,701,171,426,184,343,363,407,146,332,566,361,4987
BLANKS,4,2,4,2,0,6,0,2,3,1,3,1,4,1,33
BALLOTS CAST,282,219,496,703,171,432,184,345,366,408,149,333,570,362,5020
