CANDIDATES,1,2,3,4,5,6,7,8,TOTAL
THOMAS M MENINO,616,194,206,293,360,402,502,622,3195
MICHAEL F FLAHERTY,490,201,189,221,380,344,475,300,2600
WILLIAM FEEGBEH (WRITE-IN),0,0,0,0,0,0,0,0,0
ALL OTHERS,2,0,0,1,5,2,7,2,19
VOTES CAST,1108,395,395,515,745,748,984,924,5814
BLANKS,5,3,5,3,7,7,2,17,49
BALLOTS CAST,1113,398,400,518,752,755,986,941,5863
