CANDIDATES,1,2,3,4,5,6,7,8,9,TOTAL
STEPHEN J MURPHY,93,63,59,113,69,147,66,82,118,810
DOUG BENNETT,21,13,19,38,16,38,5,23,43,216
FELIX G ARROYO,150,95,61,142,100,71,117,84,126,946
TITO JACKSON,179,125,66,190,150,44,139,74,106,1073
TOMAS GONZALEZ,66,19,30,64,33,31,62,32,53,390
JOHN R CONNOLLY,77,39,40,95,53,108,50,57,93,612
ANDREW P KENNEALLY,24,6,10,41,25,55,24,31,33,249
AYANNA S PRESSLEY,135,92,62,141,112,83,108,71,114,918
ALL OTHERS,7,2,4,2,0,2,1,1,3,22
VOTES CAST,752,454,351,826,558,579,572,455,689,5236
BLANKS,604,506,305,802,514,421,380,481,463,4476
BALLOTS CAST,339,240,164,407,268,250,238,234,288,2428
