CANDIDATES,1,2,3,4,5,6,7,TOTAL
STEPHEN J MURPHY,65,189,75,31,83,46,68,557
DOUG BENNETT,23,68,11,8,19,13,11,153
FELIX G ARROYO,119,209,111,60,154,74,102,829
TITO JACKSON,69,141,133,87,150,37,115,732
TOMAS GONZALEZ,47,81,41,25,66,27,39,326
JOHN R CONNOLLY,82,230,59,30,49,35,38,523
ANDREW P KENNEALLY,30,73,11,8,17,12,15,166
AYANNA S PRESSLEY,68,198,102,44,123,39,98,672
ALL OTHERS,4,9,3,0,3,2,3,24
VOTES CAST,507,1198,546,293,664,285,489,3982
BLANKS,381,626,510,307,724,251,531,3330
BALLOTS CAST,222,456,264,150,347,134,255,1828
