CANDIDATES,1,2,3,4,5,6,7,8,9,10,TOTAL
STEPHEN J MURPHY,100,30,98,61,74,171,251,203,242,429,1659
DOUG BENNETT,32,6,23,12,22,73,79,71,75,138,531
FELIX G ARROYO,162,62,128,134,107,167,136,111,167,246,1420
TITO JACKSON,208,56,85,129,86,113,76,66,87,129,1035
TOMAS GONZALEZ,62,24,73,57,33,76,68,52,61,87,593
JOHN R CONNOLLY,72,22,76,28,73,164,224,173,222,474,1528
ANDREW P KENNEALLY,28,12,24,10,12,69,103,78,81,195,612
AYANNA S PRESSLEY,148,51,99,128,82,164,158,133,148,300,1411
ALL OTHERS,1,0,2,2,1,7,2,3,4,4,26
VOTES CAST,813,263,608,561,490,1004,1097,890,1087,2002,8815
BLANKS,739,193,540,407,510,592,587,498,557,1018,5641
BALLOTS CAST,388,114,287,242,250,399,421,347,411,755,3614
