WP,Ward,Precinct,,MARTIN J KEOGH,"JACK F KELLY, III",ANNISSA ESSAIBI GEORGE,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,MICHELLE WU,STEPHEN J MURPHY,JEFFREY MICHAEL ROSS,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities  (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,White plurality (Y/N),Black plurality (Y/N),Hispanic plurality (Y/N),Asian plurality (Y/N),Year
407,407,407,36,29,36,66,105,175,212,87,131,0,841,487,332,1474,4109,2808,291,10,745,2,114,139,4109,2631,276,329,6,742,2,12,111,7.082015089,0.243368216,18.1309321,0.048673643,2.774397664,3.382818204,8.00681431,68.33779508,Y,N,N,N,2013
408,408,408,37,50,55,44,110,120,149,95,104,4,731,465,299,1529,4521,3301,284,8,701,2,111,114,4521,3106,266,331,6,696,1,20,95,6.281796063,0.176952002,15.50541916,0.044238,2.455209025,2.521566025,7.321389073,73.01481973,Y,N,N,N,2013
409,409,409,38,19,18,16,48,63,52,26,40,2,284,344,157,1194,4347,3085,411,13,450,3,223,162,4347,2822,368,573,6,447,3,9,119,9.454796411,0.299056821,10.35196687,0.069013112,5.129974695,3.726708075,13.18150449,70.96848401,Y,N,N,N,2013
410,410,410,39,13,13,20,25,38,49,22,19,4,203,105,77,840,5545,4247,359,6,601,5,155,172,5545,4098,328,350,3,592,4,19,151,6.474301172,0.108205591,10.83859333,0.090171326,2.795311091,3.101893598,6.311992786,76.5915239,Y,N,N,N,2013
501,501,501,40,140,246,176,421,728,942,372,454,9,3488,3000,1622,4416,6467,4012,300,8,1921,1,103,122,6467,3858,277,288,7,1920,1,18,98,4.638936137,0.123704964,29.7046544,0.01546312,1.592701407,1.886500696,4.453378692,62.03803928,Y,N,N,N,2013
502,502,502,41,24,36,36,71,119,120,64,85,2,557,423,245,1307,4207,3131,194,8,606,2,130,136,4207,2904,178,401,5,601,2,11,105,4.611362016,0.190159258,14.40456382,0.047539815,3.090087949,3.232707392,9.531732826,74.42357975,Y,N,N,N,2013
503,503,503,42,53,114,96,243,350,390,185,306,4,1741,1127,717,1703,1873,1744,20,0,92,0,8,9,1873,1695,17,58,0,92,0,3,8,1.067805659,0,4.911906033,0,0.427122264,0.480512547,3.096636412,93.1126535,Y,N,N,N,2013
504,504,504,43,75,91,82,216,283,337,191,209,4,1488,1260,687,2219,2702,2405,70,2,153,1,29,42,2702,2324,68,106,2,152,1,12,37,2.590673575,0.074019245,5.662472243,0.037009623,1.073279053,1.554404145,3.923019985,89.00814212,Y,N,N,N,2013
505,505,505,44,29,43,40,104,125,177,90,134,5,747,561,327,660,677,636,4,1,21,0,1,14,677,624,4,17,1,21,0,1,9,0.59084195,0.147710487,3.101920236,0,0.147710487,2.067946824,2.511078287,93.94387001,Y,N,N,N,2013
506,506,506,45,56,101,67,196,262,340,187,251,8,1468,1052,630,1753,2212,1965,77,3,114,0,21,32,2212,1896,65,104,3,114,0,4,26,3.481012658,0.13562387,5.153707052,0,0.949367089,1.446654611,4.701627486,88.83363472,Y,N,N,N,2013
507,507,507,46,77,121,99,239,290,401,209,287,8,1731,1281,753,2185,2626,2323,54,2,175,1,26,45,2626,2231,50,126,2,175,1,3,38,2.056359482,0.076161462,6.664127951,0.038080731,0.99009901,1.713632902,4.798172125,88.46153846,Y,N,N,N,2013
508,508,508,47,63,94,115,217,302,397,203,300,8,1699,933,658,1974,2585,2200,65,1,214,0,34,71,2585,2108,63,125,1,212,0,15,61,2.51450677,0.03868472,8.278529981,0,1.315280464,2.746615087,4.835589942,85.10638298,Y,N,N,N,2013
509,509,509,48,58,89,116,227,317,406,217,272,11,1713,1151,716,2854,4112,3372,89,3,513,0,53,82,4112,3174,84,262,3,506,0,13,70,2.164396887,0.072957198,12.47568093,0,1.288910506,1.994163424,6.371595331,82.00389105,Y,N,N,N,2013
510,510,510,49,46,73,55,134,155,194,126,157,9,949,735,421,2180,6184,4078,207,15,1529,0,110,245,6184,3749,197,478,12,1517,0,21,210,3.347347995,0.242561449,24.72509702,0,1.778783959,3.961836999,7.729624838,65.94437257,Y,N,N,N,2013
511,511,511,50,45,93,56,163,235,275,146,185,5,1203,861,516,1200,1322,1222,11,0,68,0,7,14,1322,1179,11,51,0,67,0,2,12,0.832072617,0,5.143721634,0,0.529500756,1.059001513,3.857791225,92.43570348,Y,N,N,N,2013
601,601,601,51,172,189,214,570,362,434,398,214,10,2563,1949,1128,3411,4089,3123,260,7,332,2,253,112,4089,2899,190,582,4,330,2,16,66,6.358522866,0.171191,8.119344583,0.048911714,6.187331866,2.739056004,14.23330888,76.37564197,Y,N,N,N,2013
602,602,602,52,81,99,72,290,105,114,174,58,0,993,779,443,1206,1387,1089,85,1,102,0,90,20,1387,1055,66,143,1,97,0,11,14,6.128334535,0.072098053,7.354001442,0,6.488824802,1.441961067,10.31002163,78.5147801,Y,N,N,N,2013
603,603,603,53,144,127,110,390,146,162,264,86,1,1430,942,593,1617,1848,1711,22,10,78,1,8,18,1848,1686,19,38,7,78,1,3,16,1.19047619,0.541125541,4.220779221,0.054112554,0.432900433,0.974025974,2.056277056,92.58658009,Y,N,N,N,2013
604,604,604,54,126,180,104,415,171,164,261,90,8,1519,1025,636,1667,1801,1666,14,4,77,0,12,28,1801,1646,14,40,2,77,0,2,20,0.777345919,0.222098834,4.275402554,0,0.666296502,1.554691838,2.22098834,92.50416435,Y,N,N,N,2013
605,605,605,55,109,189,106,438,120,137,226,88,3,1416,1228,661,1537,1678,1617,8,2,31,1,11,8,1678,1598,7,28,1,31,1,5,7,0.476758045,0.119189511,1.847437426,0.059594756,0.655542312,0.476758045,1.668653159,96.3647199,Y,N,N,N,2013
606,606,606,56,116,227,132,614,125,167,357,77,4,1819,1381,800,1491,1503,1459,14,1,13,0,6,10,1503,1453,12,12,1,13,0,4,8,0.931470393,0.066533599,0.864936793,0,0.399201597,0.665335995,0.798403194,97.07252162,Y,N,N,N,2013
607,607,607,57,122,183,122,490,115,120,269,77,3,1501,1219,680,1469,1526,1491,7,1,12,2,3,10,1526,1477,7,20,1,12,1,0,8,0.458715596,0.065530799,0.786369594,0.131061599,0.196592398,0.655307995,1.31061599,97.70642202,Y,N,N,N,2013
608,608,608,58,111,187,146,536,114,133,305,82,2,1616,1192,702,1494,1545,1518,3,1,10,0,3,10,1545,1512,3,10,1,9,0,0,10,0.194174757,0.064724919,0.647249191,0,0.194174757,0.647249191,0.647249191,98.25242718,Y,N,N,N,2013
609,609,609,59,115,191,123,565,98,116,266,76,2,1552,1376,732,1450,1572,1543,17,2,1,0,4,5,1572,1530,15,18,2,1,0,1,5,1.081424936,0.127226463,0.063613232,0,0.254452926,0.318066158,1.145038168,98.15521628,Y,N,N,N,2013
701,701,701,60,137,181,129,486,98,119,268,55,5,1478,1138,654,1273,1363,1343,2,0,12,0,3,3,1363,1334,2,12,0,12,0,0,3,0.146735143,0,0.880410858,0,0.220102715,0.220102715,0.880410858,98.53264857,Y,N,N,N,2013
702,702,702,61,166,203,146,560,136,153,306,83,5,1758,1254,753,1704,1769,1733,9,0,16,1,1,9,1769,1719,9,15,0,16,1,0,9,0.508762012,0,0.9044658,0.056529112,0.056529112,0.508762012,0.847936687,97.96495195,Y,N,N,N,2013
703,703,703,62,148,265,159,684,176,204,368,105,3,2112,1624,934,1968,2133,2048,15,2,32,0,18,18,2133,2019,15,48,2,31,0,2,16,0.70323488,0.093764651,1.500234412,0,0.843881857,0.843881857,2.250351617,96.01500234,Y,N,N,N,2013
704,704,704,63,110,186,129,470,151,178,274,103,6,1607,1185,698,1708,1829,1576,69,2,75,0,64,43,1829,1540,57,115,2,75,0,20,20,3.772553308,0.109349371,4.100601422,0,3.49917988,2.351011482,6.287588846,86.16730454,Y,N,N,N,2013
705,705,705,64,91,106,73,342,114,124,208,69,2,1129,839,492,1363,1905,1407,177,5,157,2,107,50,1905,1338,138,229,3,154,2,17,24,9.291338583,0.262467192,8.241469816,0.104986877,5.6167979,2.624671916,12.02099738,73.85826772,Y,N,N,N,2013
706,706,706,65,65,88,78,258,102,123,138,63,6,921,699,405,1217,1586,1074,160,5,152,1,145,49,1586,992,130,289,1,150,1,6,17,10.08827238,0.315258512,9.583858764,0.063051702,9.142496847,3.089533417,18.22194199,67.71752837,Y,N,N,N,2013
707,707,707,66,51,50,78,249,123,151,142,41,2,887,721,402,1114,1496,572,404,14,224,3,200,79,1496,363,312,561,6,224,2,5,23,27.00534759,0.935828877,14.97326203,0.200534759,13.36898396,5.280748663,37.5,38.23529412,Y,N,N,N,2013
708,708,708,67,82,91,225,267,129,110,136,54,3,1097,795,473,1064,1487,1173,97,3,137,0,59,18,1487,1132,94,99,3,137,0,6,16,6.523201076,0.201748487,9.213180901,0,3.967720242,1.210490921,6.657700067,78.88365837,Y,N,N,N,2013
709,709,709,68,71,74,262,224,124,142,123,67,2,1089,703,448,1111,1551,993,159,11,221,1,128,38,1551,937,147,150,7,221,1,60,28,10.25145068,0.709219858,14.2488717,0.064474533,8.252740168,2.450032237,9.671179884,64.02321083,Y,N,N,N,2013
710,710,710,69,77,67,109,159,159,120,92,65,3,851,817,417,1344,1847,325,584,6,47,2,686,197,1847,206,540,377,3,46,1,504,170,31.61884136,0.32485111,2.544667028,0.108283703,37.14131023,10.66594478,20.41147807,17.59610179,N,Y,N,N,2013
801,801,801,70,40,33,37,88,109,155,73,99,3,637,803,360,1115,1484,598,376,3,176,4,265,62,1484,436,334,489,3,176,4,13,29,25.33692722,0.202156334,11.85983827,0.269541779,17.85714286,4.177897574,32.95148248,40.29649596,Y,N,N,N,2013
802,802,802,71,54,62,96,209,291,401,148,248,7,1516,1072,647,2364,4588,2484,1212,19,598,1,189,85,4588,1889,1174,819,14,597,1,33,61,26.41673932,0.414123801,13.03400174,0.02179599,4.119442023,1.852659111,17.85091543,54.14123801,Y,N,N,N,2013
803,803,803,72,30,30,44,108,156,126,72,73,17,656,636,323,1412,1269,266,715,10,52,0,169,57,1269,180,658,325,6,51,0,21,28,56.34357762,0.788022065,4.097714736,0,13.31757289,4.491725768,25.6107171,20.96138692,N,Y,N,N,2013
804,804,804,73,17,14,40,62,114,70,49,33,5,404,416,205,700,664,75,392,5,11,0,142,39,664,21,352,239,5,11,0,19,17,59.03614458,0.753012048,1.656626506,0,21.38554217,5.873493976,35.9939759,11.29518072,N,Y,N,N,2013
805,805,805,74,42,31,102,136,199,164,87,70,8,839,993,458,1320,1638,124,659,8,40,4,613,190,1638,59,610,290,4,38,3,477,157,40.23199023,0.488400488,2.442002442,0.244200244,37.42368742,11.5995116,17.7045177,7.57020757,N,Y,N,N,2013
806,806,806,75,27,23,37,61,59,77,39,26,5,354,274,157,444,681,144,214,0,10,0,256,57,681,105,186,115,0,10,0,215,50,31.42437592,0,1.468428781,0,37.5917768,8.370044053,16.88693098,21.14537445,N,Y,N,N,2013
807,807,807,76,31,17,47,88,146,119,75,46,8,577,579,289,943,1084,183,635,11,10,0,156,89,1084,71,580,326,5,10,0,38,54,58.57933579,1.014760148,0.922509225,0,14.39114391,8.210332103,30.07380074,16.88191882,N,Y,N,N,2013
901,901,901,77,74,69,80,195,262,324,140,185,8,1337,1271,652,1813,2092,1030,302,11,436,1,248,64,2092,748,247,633,3,435,0,4,22,14.43594646,0.52581262,20.84130019,0.047801147,11.85468451,3.059273423,30.2581262,49.23518164,Y,N,N,N,2013
902,902,902,78,59,68,91,193,333,436,187,281,5,1653,1171,706,2041,2267,1548,353,4,209,0,93,60,2267,1426,334,249,2,209,0,4,43,15.57123952,0.17644464,9.219232466,0,4.102337891,2.646669607,10.98367887,68.28407587,Y,N,N,N,2013
903,903,903,79,99,71,128,209,399,433,204,253,17,1813,1591,851,2962,3652,1396,1415,13,204,3,428,193,3652,1069,1228,1041,8,203,1,18,84,38.74589266,0.355969332,5.585980285,0.082146769,11.7196057,5.284775465,28.50492881,38.22562979,N,Y,N,N,2013
904,904,904,80,28,28,52,109,209,153,79,91,8,757,903,415,2174,4580,2516,1102,31,402,0,354,175,4580,2235,981,834,16,401,0,23,90,24.06113537,0.676855895,8.777292576,0,7.729257642,3.820960699,18.20960699,54.93449782,Y,N,N,N,2013
905,905,905,81,66,44,110,176,486,326,180,184,18,1590,1270,715,1992,2282,357,1491,29,51,0,211,143,2282,226,1380,507,14,50,0,22,83,65.33742331,1.270815074,2.234881683,0,9.246275197,6.266432954,22.2173532,15.64417178,N,Y,N,N,2013
1001,1001,1001,82,45,35,44,121,121,104,84,122,2,678,586,316,846,888,264,261,11,138,0,172,42,888,159,232,333,9,138,0,0,17,29.39189189,1.238738739,15.54054054,0,19.36936937,4.72972973,37.5,29.72972973,N,N,Y,N,2013
1002,1002,1002,83,57,47,59,130,150,136,88,124,9,800,360,290,1061,2579,1462,331,9,581,1,126,69,2579,1354,290,298,4,581,1,9,42,12.83443195,0.34897247,22.52811167,0.038774719,4.885614579,2.675455603,11.55486623,56.68863901,Y,N,N,N,2013
1003,1003,1003,84,30,35,39,108,89,102,91,70,3,567,365,233,1005,2020,1403,193,12,256,3,83,70,2020,1306,166,228,6,256,3,5,50,9.554455446,0.594059406,12.67326733,0.148514851,4.108910891,3.465346535,11.28712871,69.45544554,Y,N,N,N,2013
1004,1004,1004,85,106,72,78,178,185,218,131,199,13,1180,1148,582,1667,2606,1298,421,19,561,3,209,95,2606,1128,367,477,13,556,3,5,57,16.15502686,0.729086723,21.52724482,0.115118956,8.019953952,3.645433615,18.30391404,49.80813507,Y,N,N,N,2013
1005,1005,1005,86,49,41,65,145,208,163,100,112,5,888,516,351,1229,2078,1539,228,7,135,0,97,72,2078,1448,208,225,3,135,0,8,51,10.97208855,0.336862368,6.496631376,0,4.667949952,3.464870067,10.82771896,74.06159769,Y,N,N,N,2013
1006,1006,1006,87,60,38,54,103,161,168,63,96,0,743,633,344,1199,1706,606,564,12,133,0,285,106,1706,386,472,665,1,130,0,6,46,33.05978898,0.703399766,7.796014068,0,16.70574443,6.213364596,38.98007034,35.52168816,N,N,Y,N,2013
1007,1007,1007,88,63,36,56,131,176,185,103,93,7,850,1014,466,1751,1809,582,580,26,43,0,435,143,1809,234,457,1030,5,42,0,14,27,32.06191266,1.437258154,2.37700387,0,24.04643449,7.904919845,56.93753455,32.17247098,N,N,Y,N,2013
1008,1008,1008,89,97,67,106,194,261,295,146,189,4,1359,853,553,1703,2779,1583,582,4,394,2,122,92,2779,1407,538,385,4,390,1,7,47,20.94278517,0.143936668,14.17776178,0.071968334,4.39006837,3.310543361,13.85390428,56.96293631,Y,N,N,N,2013
1009,1009,1009,90,118,69,167,230,413,462,163,265,4,1891,1069,740,1950,2265,1646,182,13,145,0,206,73,2265,1417,141,520,1,145,0,11,30,8.035320088,0.573951435,6.401766004,0,9.094922737,3.222958057,22.9580574,72.67108168,Y,N,N,N,2013
1101,1101,1101,91,18,14,69,80,233,164,67,100,12,757,523,320,838,912,357,429,3,31,0,58,34,912,307,392,150,3,31,0,6,23,47.03947368,0.328947368,3.399122807,0,6.359649123,3.728070175,16.44736842,39.14473684,N,Y,N,N,2013
1102,1102,1102,92,55,33,85,139,356,210,119,123,10,1130,994,531,1401,1651,230,1090,25,21,2,196,87,1651,113,1016,442,8,21,2,11,38,66.02059358,1.514233798,1.27195639,0.121138704,11.87159297,5.269533616,26.77165354,13.93095094,N,Y,N,N,2013
1103,1103,1103,93,34,22,74,90,250,149,84,68,9,780,724,376,1128,1385,196,891,9,13,1,195,80,1385,90,786,445,6,13,1,12,32,64.33212996,0.649819495,0.938628159,0.072202166,14.07942238,5.776173285,32.1299639,14.15162455,N,Y,N,N,2013
1104,1104,1104,94,84,43,116,195,333,307,156,146,21,1401,1203,651,1849,2245,736,813,37,44,0,457,158,2245,406,709,1027,12,41,0,10,40,36.21380846,1.648106904,1.959910913,0,20.35634744,7.037861915,45.74610245,32.78396437,N,N,Y,N,2013
