,Ward/Precinct,MICHAEL F FLAHERTY,ALEJANDRA NICOLE STGUILLEN,MICHELLE WU,JULIA MEJIA,ERIN J MURPHY,ALTHEA GARRISON,DAVID HALBERT,ANNISSA ESSAIBI GEORGE,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
205,2001,155,184,285,159,99,94,106,199,3,1284,332,404,1557,1646.0,2006.833426924503,0.885,0.033,0.0,0.035,0.021
206,2002,169,205,338,161,118,76,130,233,3,1433,271,426,1651,1911.0,2651.480500636345,0.715,0.107,0.012,0.035,0.086
207,2003,159,72,143,65,85,95,30,143,6,798,250,262,1732,2626.0,4149.047866984668,0.417,0.437,0.0,0.06,0.054
208,2004,121,285,395,214,81,51,167,241,1,1556,248,451,1239,1535.0,1868.6510831415785,0.887,0.034,0.0,0.034,0.022
209,2005,237,91,187,64,195,103,51,187,3,1118,418,384,1614,2714.0,3735.7900050425706,0.766,0.071,0.0,0.107,0.036
210,2006,291,173,320,70,196,131,90,299,1,1571,429,500,1685,1941.0,2583.6529639953355,0.824,0.018,0.0,0.084,0.013
211,2007,149,132,206,75,100,68,58,171,7,966,258,306,1038,1215.0,1527.3068522625078,0.882,0.032,0.001,0.039,0.021
212,2008,149,138,259,114,96,69,80,209,1,1115,209,331,1225,1295.0,1669.114980982541,0.849,0.029,0.0,0.015,0.071
213,2009,180,141,273,116,106,79,95,196,4,1190,326,379,1344,1738.0,2343.0393091909045,0.777,0.067,0.006,0.022,0.087
214,2010,289,136,253,67,223,135,62,274,2,1441,403,461,1943,1825.0,2457.835973029677,0.805,0.085,0.0,0.069,0.038
215,2011,120,96,156,69,99,83,49,154,5,831,221,263,832,728.0,971.7670528217028,0.87,0.049,0.0,0.054,0.026
216,2012,162,140,185,56,134,82,68,176,7,1010,290,325,1063,1246.0,1662.5939764793438,0.876,0.026,0.002,0.045,0.018
217,2013,134,111,142,41,106,73,41,141,2,791,221,253,1006,693.0,921.139122544981,0.86,0.029,0.002,0.053,0.019
218,2014,164,87,180,54,158,79,65,197,4,988,288,319,970,1023.0,1367.4930298696547,0.87,0.049,0.0,0.054,0.026
219,2015,205,77,178,71,128,95,44,152,2,952,348,325,1855,1629.0,2394.5571647111155,0.579,0.261,0.0,0.087,0.05
220,2016,233,119,204,47,178,136,46,211,1,1175,409,396,1894,1403.0,1952.0288304455344,0.809,0.024,0.0,0.116,0.023
221,2017,236,138,250,68,218,121,68,256,10,1365,383,437,2004,3681.0,4807.525338648023,0.801,0.041,0.0,0.084,0.022
222,2018,100,105,134,52,97,55,49,150,1,743,209,238,1003,1024.0,1367.5584422675165,0.876,0.027,0.002,0.045,0.018
223,2019,152,85,145,40,122,88,32,152,1,817,259,269,1006,730.0,971.5631423898172,0.847,0.025,0.001,0.065,0.016
224,2020,205,122,207,69,166,84,75,210,9,1147,309,364,1835,1380.0,1807.2725646093656,0.811,0.039,0.0,0.079,0.021
225,2101,79,70,134,64,43,47,44,98,0,579,137,179,1832,3059.0,4016.756997291724,0.668,0.037,0.006,0.218,0.021
226,2102,12,15,22,12,4,7,7,15,0,94,14,27,715,3272.0,4288.437958344318,0.646,0.043,0.002,0.24,0.026
227,2103,29,53,75,43,12,18,23,52,2,307,33,85,1360,1725.0,2433.7397708211024,0.577,0.047,0.002,0.276,0.066
228,2104,35,75,107,75,13,27,23,68,1,424,60,121,1064,1177.0,1619.4747983135328,0.579,0.058,0.006,0.207,0.13
229,2105,64,79,132,73,27,34,46,95,2,552,104,164,1678,1881.0,3178.8157339894083,0.489,0.081,0.0,0.321,0.071
230,2106,103,67,167,52,55,52,27,122,0,645,187,208,1085,1566.0,2173.61061163255,0.622,0.053,0.003,0.199,0.1
231,2107,70,64,135,81,32,36,46,96,1,561,135,174,1593,1551.0,2371.794746345953,0.55,0.078,0.005,0.252,0.086
232,2108,54,103,160,102,19,48,60,105,3,654,114,192,1800,2059.0,2706.929439718237,0.654,0.084,0.009,0.192,0.028
233,2109,52,115,160,105,33,35,75,114,1,690,86,194,1843,2959.0,4158.791885005992,0.603,0.064,0.01,0.195,0.109
234,2110,114,97,169,93,51,54,62,120,6,766,134,225,1510,1404.0,1823.676525880008,0.717,0.033,0.011,0.182,0.032
235,2111,77,95,161,104,46,54,57,114,2,710,202,228,1757,2094.0,2672.629160312633,0.752,0.035,0.0,0.168,0.017
236,2112,164,153,219,94,40,53,65,172,0,960,192,288,1679,1871.0,2376.5986448860717,0.741,0.03,0.012,0.178,0.012
237,2113,270,256,355,164,60,92,120,230,2,1549,551,525,2075,2639.0,3331.111261156977,0.754,0.032,0.002,0.158,0.019
238,2114,48,51,89,42,23,38,25,73,3,392,44,109,1033,964.0,1206.4338834776051,0.749,0.029,0.011,0.171,0.014
239,2115,58,80,142,75,31,36,46,97,1,566,98,166,1296,861.0,1031.2304583862876,0.769,0.026,0.007,0.129,0.023
240,2116,111,108,171,99,43,63,73,129,1,798,190,247,1588,4774.0,5411.723850709563,0.807,0.025,0.002,0.116,0.029
241,2201,163,133,257,136,92,62,87,187,11,1128,372,375,2013,6618.0,8766.089705585624,0.605,0.073,0.002,0.219,0.061
242,2202,185,137,261,137,112,82,80,206,4,1204,424,407,2583,2187.0,3007.167316863044,0.588,0.064,0.004,0.205,0.118
243,2203,184,113,265,110,98,91,65,221,1,1148,500,412,1970,2444.0,3239.042262813673,0.722,0.045,0.0,0.135,0.067
244,2204,163,124,231,80,105,66,64,172,2,1007,393,350,1313,1342.0,1746.6280564106132,0.698,0.089,0.0,0.132,0.057
245,2205,80,67,124,64,41,30,35,74,0,515,205,180,1243,1631.0,2265.377180600134,0.601,0.076,0.0,0.212,0.09
246,2206,92,55,127,59,46,42,25,90,4,540,188,182,1172,1078.0,1335.317849612797,0.718,0.039,0.0,0.147,0.073
247,2207,185,130,242,87,95,75,57,171,3,1045,411,364,1641,1760.0,2216.5287080564794,0.75,0.059,0.0,0.096,0.053
248,2208,134,64,145,43,71,54,41,122,0,674,294,242,1247,2427.0,3215.1036726301195,0.728,0.049,0.0,0.143,0.043
249,2209,111,86,161,62,56,45,45,177,2,745,367,278,1362,1185.0,1521.485286016828,0.766,0.017,0.0,0.128,0.041
250,2210,146,125,245,98,74,82,50,207,3,1030,346,344,1583,1904.0,2603.5399349943496,0.726,0.056,0.0,0.113,0.063
251,2211,152,69,157,64,74,69,28,128,2,743,253,249,1068,2046.0,2548.658136712654,0.754,0.058,0.0,0.087,0.058
252,2212,155,86,155,69,85,71,38,135,0,794,334,282,1257,2052.0,2984.7423319590707,0.678,0.063,0.0,0.132,0.09
253,2213,114,73,138,54,56,47,38,102,0,622,266,222,948,1182.0,1415.4183526842066,0.72,0.094,0.0,0.087,0.077
